wf_name,inp_size,ms_1_A1,ms_2_A1,ms_1_A2,ms_2_A2,ms_1_A3,ms_2_A3,ms_1_A4,ms_2_A4,ms_1_A5,ms_2_A5,size,deviations
atacseq_30000.dot,14091675276,1596304149.55809,1754081151.22774,1594847108.37012,2152673194.87711,1595242763.26708,359210030.064953,1595154892.96302,763027747.105878,1593094160.48066,407728271.11598,30000,False
chipseq_15000.dot,41366257414,2464777611.37455,2824716062.86246,2464348745.38921,2823100566.35223,2454981916.515,1204540902.35687,2465649226.79946,1442949636.11003,2464133705.45959,1221516341.39376,15000,False
methylseq_15000.dot,6761426956,568024905.763842,568983221.724436,568024905.763842,568983304.056315,568024905.763842,748346357.149812,568024905.763842,568983993.663297,568024905.764215,709723830.929813,15000,False
atacseq_15000.dot,3908761308,258084057.182241,321611992.788877,254847867.81317,341349063.827045,257188810.025587,190172197.043727,258021326.620476,211052049.099314,269514535.828009,191779448.436427,15000,False
eager,19075314980,2206378.29022098,2137662.62654807,1750157.62928399,1699886.04128364,1686502.76401913,1591132.86391477,912690.703178241,1808937.33766888,935922.023803105,1808937.33766888,100,False
eager_1000.dot,25705994498,29629588.7605328,42600699.565789,29818299.4079416,44792668.0339255,28463907.6103823,11315013.561281,30883806.8064731,6903500.79165504,32393629.3457026,7860670.16269125,1000,False
eager_20000.dot,8330435694,427525402.977796,588454930.617404,424873631.222637,455153709.771453,413590767.641969,365613960.102269,427951387.906868,472364117.606651,416228942.436426,353245403.232973,20000,False
eager_25000.dot,14754556884,423441531.639122,805304490.013821,422594173.276443,697585402.520456,404689720.626101,188869487.499249,418097844.962766,206200150.524873,420853055.541941,202617942.197483,25000,False
methylseq_1000.dot,110641579976,265442678.311565,265240086.880358,265442678.311565,265240086.880358,265442678.311565,282910380.865969,265442678.311565,265240086.880358,265442678.311565,269484815.570684,1000,False
chipseq_200.dot,5058052541,3155990.2975679,2483400.80896391,3820179.11881253,3452651.12814188,3202274.42299319,2100382.16158913,3206878.06977585,2123689.39479583,3171455.72812203,2123440.86998336,200,False
atacseq_30000.dot,11809629756,1017901802.74975,1054347660.57536,979076323.963354,1043870396.9297,992565992.063697,218186609.190169,978716126.615196,334459483.852068,1009292545.43309,248411672.034835,30000,False
methylseq_1000.dot,6273818718,16577333.1343806,16594149.0548578,16577333.1343806,16594144.0735871,16577354.5265096,20234020.7285749,16577333.1343806,16594161.8876619,16577344.6347379,18556078.8704518,1000,False
chipseq_4000.dot,41366257414,648687274.514294,709435528.932386,649591484.077395,709425622.905015,648498362.97147,323814817.619234,649010449.069255,467329419.984074,647863492.686025,325161666.19503,4000,False
atacseq_2000.dot,14091675276,107048739.541852,108782449.446444,106641327.176892,135950148.909366,106655392.37142,24540172.5294219,106707339.081116,45032207.7984135,106263548.094864,24898052.8024692,2000,False
atacseq_1000.dot,11809629756,23173726.2053876,29799404.4781901,23512687.3564572,28244620.450113,22996052.9064288,7141005.37974516,23042599.2511078,7280508.85899038,22253141.5874758,6670503.1000618,1000,False
methylseq_200.dot,17027257018,17370621.7702448,17379142.1238793,17370621.7702448,17379147.4963793,17370650.1075558,17389610.0127831,17370621.7702448,17379147.5051321,17370638.1910843,20843823.0970907,200,False
methylseq_30000.dot,110641579976,7590703769.73041,7615252261.88822,7590703769.73041,7615252261.88822,7590703769.73041,8033428111.96797,7590703769.73041,7615252490.04723,7590703769.73041,8213752012.39051,30000,False
methylseq_8000.dot,110641579976,2032784114.06294,2040174463.00582,2032784114.06294,2040174463.00582,2032784114.06294,2172762953.04496,2032784114.06294,2040174509.06857,2032784114.06294,2187572441.77724,8000,False
methylseq_20000.dot,6761426956,758725034.267595,759995921.045628,758725034.267595,759995919.155544,758725045.144008,937991741.349253,758725034.267595,759996516.061466,758725046.79401,949019888.009848,20000,False
atacseq_8000.dot,3908761308,141265089.148209,168126549.011218,136365017.645437,176324039.130532,135577787.789849,98712922.8899435,137222992.295342,106893182.95372,139562021.078309,100768919.936075,8000,False
methylseq_8000.dot,17027257018,766445344.691455,767375179.472995,766445344.691455,767375179.472995,766445344.691455,962122140.142492,766445344.691455,767375217.802213,766445344.691455,1142963116.69235,8000,False
atacseq_10000.dot,14091675276,534832899.263322,565930688.478307,534785791.081744,699477961.616444,534938884.665887,118671010.875524,535152841.737571,247265574.847243,534669657.849477,134231811.965789,10000,False
atacseq_20000.dot,11809629756,674301841.48949,701607389.830814,653268854.914485,693336575.494419,661020343.472071,145037732.418278,660101391.430696,220131130.027166,676876703.27977,164646595.26892,20000,False
atacseq_30000.dot,3908761308,531585314.826837,650394345.298518,500237704.806757,702184300.368173,498988138.570562,390207149.10421,522203622.736727,442885787.139764,544567356.237705,386932883.572286,30000,False
eager_2000.dot,25705994498,68060624.8150077,108523556.017315,68838386.8874503,96073452.2643237,64281072.1030006,17241705.7280496,67365515.4434095,17775920.6165144,66710145.0894454,19166067.680319,2000,False
eager_1000.dot,14754556884,17572870.8748505,20440281.3748683,16458604.9825655,17347460.7724649,16240451.6110089,5825631.86475591,14445001.7987755,4708997.12650494,14352171.7148803,6490247.82607154,1000,False
atacseq_30000.dot,11187378708,932067209.206318,1035138746.5105,883238636.287404,1005438043.97548,898853877.025363,202029155.884543,882587258.271206,315329442.899079,893576198.803981,231225989.928696,30000,False
methylseq_10000.dot,8885797810,496538311.271902,497358993.27606,496538309.37592,497358885.28909,496538315.379698,580885963.645973,496538310.08588,497359134.387822,496538320.660081,744274012.229545,10000,False
atacseq_4000.dot,11809629756,126205391.327902,135306825.465834,126041224.082807,133193223.777544,125949690.762921,29511981.3119739,126672195.074557,40228777.6428897,122520408.701446,29604551.2875291,4000,False
atacseq_1000.dot,14091675276,51893465.5493457,48935476.4263419,52437790.8575348,64230296.341954,51056328.3641487,10764486.3878678,51084733.2218668,20643061.6085658,50805604.2136476,11307204.6299614,1000,False
methylseq_4000.dot,6273818718,78948378.133151,79102962.4171628,78948378.133151,79102962.4221659,78948378.1329055,96790116.8070506,78948378.133151,79103031.5112703,78948378.133151,102591780.545463,4000,False
chipseq_1000.dot,4605965334,26946628.3617397,33786043.2426225,25880486.0115213,28117468.3360981,25199350.6290836,15671463.0010947,25542746.2110112,22765019.7303988,26988066.2107209,19855486.2515698,1000,False
atacseq_200.dot,11809629756,221756.461535114,206423.998859087,222575.844540783,208903.533876654,223321.927539639,210383.763956306,225140.662785114,208147.900462843,225591.164395005,210634.378796177,200,False
eager_8000.dot,19075314980,180167915.922258,317002932.059431,176389622.369463,275623433.935048,172615051.5475,89428378.8313498,175080964.210028,86015242.0238957,174155355.046372,101615582.683008,8000,False
methylseq_10000.dot,110641579976,2539308717.78543,2546840767.63547,2539308717.78543,2546840767.63547,2539308717.78543,2712686378.77607,2539308717.78543,2546840841.17944,2539308717.78543,2734473418.84177,10000,False
methylseq_2000.dot,22500260922,42071429.5511063,42355981.2904612,42071429.5511063,42355981.2904612,42071429.5510325,50227637.4854054,42071429.5511063,42356005.3528541,42071429.5511063,47414689.8300985,2000,False
chipseq_200.dot,32978181418,28952136.3717041,33292170.684201,28952136.3717041,33505741.5276879,25804286.9841864,21712241.9871148,28774046.5320703,31469380.519931,28631772.070201,20095381.4617858,200,False
chipseq_2000.dot,4605965334,57421138.1855436,69268669.9784485,57558482.1784387,65719742.8685507,58117086.6151967,40353205.5603917,57454610.0876237,51634463.3418593,56759887.5471202,50565788.5724303,2000,False
methylseq_30000.dot,8885797810,1498571397.80419,1501085575.48229,1498571397.80419,1501085741.70719,1498571397.80419,1884155014.32034,1498571397.80419,1501086566.44758,1498571397.80419,1876896914.53057,30000,False
eager_20000.dot,19075314980,456311937.037945,798389507.003808,447613019.437224,697403758.578924,435064949.263902,241446084.787389,445863880.480606,215964335.107419,443719479.962993,257986841.074288,20000,False
atacseq_8000.dot,11809629756,248804345.121814,277768503.19108,249616944.196558,271226191.62309,251488524.713728,57580762.2391115,248602284.222011,86101986.5169732,249338024.392293,64708642.3734716,8000,False
eager_30000.dot,19100037384,680187012.047661,1221098653.58359,684381191.603327,1051965130.58782,665875896.72614,349123576.415175,676277645.497289,324053100.001902,681841988.316412,390344768.603808,30000,False
chipseq_200.dot,4807293396,2994045.72266486,2409277.25967098,3676898.99487917,3259572.05891475,2007192.83981477,1995876.95227409,3041033.69066537,2719193.84494756,3011326.9690427,2015012.70616138,200,False
chipseq_200.dot,3793245764,56167.9110000001,749638.944232714,56167.9110000001,633346.950738445,56167.911,56167.911,56167.9110000001,56167.9110000001,56167.9110000001,56167.911,200,False
eager_8000.dot,19132169434,181997628.640266,319020119.61011,179518486.743334,275556811.724684,173247625.558493,89157815.7903329,179689805.788206,86611477.93334,175370332.226457,101539217.735984,8000,False
atacseq_10000.dot,11187378708,297144464.091535,333350831.443875,298046476.290959,321789262.678232,297159409.10013,66124834.0044461,292885486.693505,100801827.639394,300060145.677463,74851712.9458146,10000,False
chipseq_20000.dot,4807293396,639857080.701977,806949599.401956,635880721.537178,846964878.348434,639442336.481466,472126866.352144,638469540.882317,545449875.985352,660077231.439823,430642247.144106,20000,False
chipseq_10000.dot,5058052541,343602176.376593,476290347.946543,347468175.252861,466645519.747738,350303084.101916,260419423.664062,350241867.019968,310001395.467984,346573011.894879,320470732.74815,10000,False
atacseq,3908761308,55562.4026291754,29956.8083490457,61610.002630626,32908.7449740457,47181.8490998564,34536.204682091,58068.2717677692,34940.586817165,55811.544556282,34940.586817165,100,False
atacseq_4000.dot,11187378708,119102191.413987,131189496.674744,118239508.126285,127495142.077833,120655331.810664,25081292.5349968,118383129.452729,36465555.3798244,121816732.543402,27374845.7606416,4000,False
chipseq_4000.dot,32978181418,801627647.928454,891039557.205978,800843620.871737,880287104.402135,802206438.066337,469182459.571946,799996328.328689,816543635.913406,801334691.301628,468116518.360848,4000,False
eager_4000.dot,19075314980,90870255.3159132,150494505.523617,89453153.1408521,133997682.521235,86742023.4695909,45380693.1605641,89543551.9901503,43035713.7992457,86288788.3523449,48986238.1271542,4000,False
methylseq_4000.dot,17027257018,381505566.942365,381966233.614223,381505566.942365,381966233.614223,381505566.942365,486294853.018425,381505566.942365,381966260.175184,381505566.942365,569727636.117118,4000,False
chipseq_1000.dot,41366257414,153585445.963057,169223232.224839,153403563.266971,169338357.948912,152523612.069762,82808136.9996421,153081026.093214,108667107.141076,152625303.221142,81758135.0576673,1000,False
atacseq_10000.dot,3908761308,175720758.816487,211129949.971792,170584767.155582,222341172.826782,167194161.351287,122898879.560977,171100257.445049,135527743.878268,178662951.701092,124882306.876757,10000,False
eager_1000.dot,19100037384,24148459.2679393,28513403.9562514,22830680.460971,24604874.9116921,21737769.4623192,10778852.3694588,22885241.1308356,9734518.03565516,21510126.1119869,9911789.38762027,1000,False
eager_25000.dot,25705994498,843631596.474377,1298893017.89085,881148854.249444,1196636494.4688,849728290.924893,185736954.897904,869450540.512767,228132133.899278,851265680.108409,228570370.446698,25000,False
chipseq_25000.dot,41366257414,4108567802.53976,4780920031.46604,4113160518.85903,4777222766.05096,4097569476.69355,2006481356.82731,4108044127.21701,2688657157.4887,4098830250.40389,2040301678.80093,25000,False
atacseq,14091675276,3010560.32565464,2801411.717984,3010560.32565464,2804039.72776561,769933.528283452,693313.438971321,2173302.36768542,2066360.8585961,1313224.33018284,693313.438971321,100,False
methylseq_15000.dot,11897958606,1008496757.82983,1010093900.64094,1008496757.82983,1010093900.64552,1008496760.6738,1515919981.14596,1008496757.82983,1010094063.77795,1008496770.16464,1260577384.92846,15000,False
atacseq_30000.dot,2223941232,378781096.951596,385167287.297985,355045463.569755,414398307.949391,325304760.087488,152123491.125268,338886773.326036,219444510.754613,371993635.342609,181869625.300851,30000,False
methylseq_1000.dot,11897958606,65479529.8676151,65572121.2992906,65479529.8676151,65572124.2510234,65479532.7131151,94754639.3715642,65479529.8676151,65572146.0192105,65479542.2036915,80172407.0720751,1000,False
atacseq_2000.dot,3908761308,29375602.3534839,41249465.7195416,28885178.6301165,39994770.7914875,27769073.1440262,21865292.0624406,28044053.9656875,21520726.6895803,27785258.3238408,20100751.6238748,2000,False
methylseq,11897958606,18441.8166653709,18427.5635,18441.8166653709,18427.5635,18441.8166653709,18433.2545,18441.8166653709,18427.5635,18441.8166653709,18438.9764325321,100,False
chipseq_25000.dot,5058052541,865386250.645839,1215205646.7139,866034942.332,1178815371.00423,861483012.822815,702850682.942976,863422886.617765,801348620.684744,901709380.126674,660875883.902313,25000,False
methylseq_15000.dot,110641579976,3801369885.34992,3812800311.19466,3801369885.34992,3812800311.19466,3801369885.34992,4041719742.35538,3801369885.34992,3812800412.10447,3801369885.34992,4402627186.84613,15000,False
methylseq_15000.dot,17027257018,1442691267.24129,1444457239.47095,1442691267.24129,1444457239.47095,1442691267.24129,2167763704.51325,1442691267.24129,1444457318.80927,1442691267.24129,2157374225.92154,15000,False
eager,14754556884,561018.393167068,505630.98743924,258318.169595571,233930.090368385,243339.576775144,199924.015789395,224093.770221339,200736.126756005,243339.576775144,179949.096250709,100,False
chipseq_2000.dot,32978181418,390487320.311611,441669262.4484,392100295.853038,437290803.751175,392546490.133136,234571391.617609,391306904.076324,406245244.185224,392912286.658015,231194024.428801,2000,False
eager_2000.dot,19100037384,47299322.3721778,72534324.4719305,47533613.4306746,63661798.2854663,45144976.5210714,22051610.4859245,45199888.4094497,21721199.5756603,45429982.3400789,22805533.6366072,2000,False
atacseq_20000.dot,14091675276,1104793069.78582,1158089730.60786,1104527575.10174,1423143188.12504,1103976722.59035,236877196.410112,1103958641.66303,505128937.47488,1103108049.89288,271256644.656507,20000,False
atacseq_20000.dot,2223941232,247417943.641484,258526780.215667,229635282.885205,271929083.414465,210095701.912357,98552183.4116399,226268968.544151,142648637.072031,250479950.365685,120953636.728622,20000,False
chipseq_2000.dot,5058052541,67433010.5913781,90056445.3768725,66289399.8213457,85176261.5322816,63945014.6080763,48023396.9321108,66039179.885943,56141987.4069183,64786662.719819,45390284.7178386,2000,False
methylseq_20000.dot,11897958606,1345462164.57903,1347591727.87322,1345462164.57903,1347591686.47467,1345462164.57903,1945834406.22328,1345462164.57903,1347591993.70478,1345462164.57903,1680790708.04436,20000,False
atacseq_25000.dot,14091675276,1344397792.13797,1454822192.62336,1343970760.43687,1785652631.31225,1343711281.53143,296170796.485201,1344019249.17816,632631286.582886,1342674922.66472,339058271.979623,25000,False
atacseq_4000.dot,14091675276,224925482.69549,219343805.402919,224326056.24186,273189252.663456,224367840.636276,47322956.4298787,224153220.609242,93392998.0823697,224725298.757811,50995909.148577,4000,False
eager_200.dot,25705994498,2010959.07383027,3318096.72797279,1916868.18185556,3145045.91078714,2006900.02406749,3075132.80120139,2385010.49791093,1891344.24796992,2385010.62718354,2248062.53166101,200,False
chipseq_15000.dot,4605965334,456924939.200211,582488891.556604,448098230.881042,533452260.862929,467018676.258282,327009226.026687,447492320.417275,432336983.893674,466448844.504874,364986789.801087,15000,False
atacseq_15000.dot,14091675276,802936263.729802,862560293.974434,792766271.333497,1060274236.58209,802450528.696743,177048800.170387,792785238.75726,374222958.100603,799662319.839738,203455018.560606,15000,False
methylseq_200.dot,110641579976,56849220.9549982,55656600.0971805,56849220.9549982,55656600.0971805,56849220.9549976,64556973.5354213,56849220.9549982,55656600.0971805,56849220.9549982,52689746.3136915,200,False
methylseq,6273818718,9950.21661322558,9936.834125,9950.21661322558,9936.834125,9950.21661322558,9940.947125,9950.21661322558,9936.834125,9950.21661322558,9948.16394889471,100,False
atacseq_15000.dot,11187378708,479326809.483345,514695490.652594,465456468.180031,497556649.965216,464735246.23095,100414737.049,465589002.644776,153948078.209105,458757983.059898,114372476.736914,15000,False
eager,25705994498,1980446.95413917,3004809.41560048,1885370.14440849,3004809.41167488,1914686.21981799,3004809.41167488,1891935.25422866,1975632.08700291,1891935.25422866,1926779.57118036,100,False
methylseq_4000.dot,8885797810,195031743.032696,195351513.355188,195031743.032696,195351513.355188,195031743.032696,264332578.582053,195031743.032696,195351621.972581,195031743.032696,244343486.154371,4000,False
methylseq_20000.dot,110641579976,5064975263.83789,5081046515.67568,5064975263.83789,5081046515.67568,5064975263.83789,5273920240.88581,5064975263.83789,5081046658.93364,5064975263.83789,5474153737.4348,20000,False
chipseq_2000.dot,41366257414,319670915.697083,349493956.584831,319621175.669589,348483535.341224,319047777.023531,163883336.368202,319436135.176952,237630600.01022,318835693.598737,162836274.465394,2000,False
chipseq_15000.dot,32978181418,3061859969.20187,3472419158.4276,3061422748.63628,3427569498.96083,3058946331.68063,1770281677.03062,3061594428.14921,3210563355.44036,3062620520.89213,1769003708.67185,15000,False
chipseq_8000.dot,5058052541,274859534.776403,380109787.475312,275247535.204128,372109540.69064,277844046.584808,215069894.075301,279091092.545143,246032397.574525,275873020.105752,208900870.64961,8000,False
methylseq_8000.dot,8885797810,395433678.268725,396089352.030206,395433678.268725,396089350.00532,395433678.268725,474156020.45476,395433678.268725,396089542.648099,395433678.268725,494132590.692446,8000,False
chipseq_8000.dot,41366257414,1313749747.99798,1464320274.47051,1314829775.31393,1462527609.27025,1311284542.91889,648173653.991869,1314774326.69981,936581336.496724,1305140265.46948,650903820.687012,8000,False
methylseq_8000.dot,6273818718,162662388.307131,163213993.479037,162662388.307131,163213990.890268,162662392.071448,200107458.213675,162662388.30838,163209116.182622,162662295.394009,196429957.463431,8000,False
eager_15000.dot,19100037384,340310726.240263,604676347.11121,336427950.498969,524032142.872617,327080405.995837,175370513.941154,332762887.637787,162713545.202215,331557000.212883,194259847.680363,15000,False
chipseq_30000.dot,4807293396,996689657.379745,1217584394.08789,983698037.680787,1264254609.77509,960262529.189082,711803808.477224,987427900.859552,817180831.723336,967926615.57339,648970645.342436,30000,False
methylseq_30000.dot,6761426956,1138762624.61045,1140682046.39322,1138762624.61045,1140682188.91329,1138762624.61045,1431813044.86481,1138762624.61045,1140683081.4589,1138762624.61045,1426300564.58378,30000,False
chipseq_1000.dot,32978181418,186235464.457658,215519720.879223,186671058.311301,214977156.23861,185669081.798728,114367416.302971,186131719.284915,196066982.058824,185791871.440314,113287032.469621,1000,False
chipseq_30000.dot,4605965334,973714005.240855,1169659742.9701,924393543.131517,1068513761.63962,957780981.631846,673141550.713488,980654942.9434,875532059.525542,972706890.385584,701827612.140788,30000,False
methylseq_10000.dot,6273818718,204722702.895916,205281040.725946,204722702.895916,205280995.047653,204722749.447104,250986751.774609,204722702.895818,205281143.665735,204722609.981174,249666008.918179,10000,False
methylseq_25000.dot,6761426956,949430880.620294,951043380.42627,949430880.620294,951043528.40237,949430880.620294,1203528872.60143,949430880.620294,951044220.77575,949430880.620294,1186992989.65568,25000,False
chipseq_10000.dot,4605965334,300591838.858007,387609964.559865,306284939.76098,353633403.390234,308133105.179495,217113841.283278,306457571.426752,285247919.656679,320505544.547246,293702207.05742,10000,False
methylseq,22500260922,127455.682323359,127438.67936679,127455.682323359,127438.67936679,127455.682323359,127447.968325124,127455.682323359,127438.67936679,127455.682323359,127451.047344812,100,False
methylseq,110641579976,19083317.1858612,19083288.5698596,19083317.1858612,19083288.5698596,19083317.1858612,19083305.3227388,19083317.1858612,19083288.5698596,19083317.1858612,19083290.9111644,100,False
