vertex	start_bl	finish_bl	proc_bl	variant_bl	vertex1	start_heft	finish_heft	proc_heft	variant_heft
trim_galore_00000192	0	8887618.95	35	1	trim_galore_00000192	0	8887618.95	35	1
trim_galore_00000168	0	8887618.95	34	1	trim_galore_00000168	0	8887618.95	34	1
trim_galore_00000072	0	8887618.95	33	1	trim_galore_00000072	0	8887618.95	33	1
trim_galore_00000084	0	8887618.95	32	1	trim_galore_00000084	0	8887618.95	32	1
trim_galore_00000096	0	8887618.95	31	1	trim_galore_00000096	0	8887618.95	31	1
trim_galore_00000060	0	8887618.95	30	1	trim_galore_00000060	0	8887618.95	30	1
trim_galore_00000108	31278147.830069	187676987.936262	35	2	trim_galore_00000108	8887618.95	17775237.9	35	1
trim_galore_00000048	31278147.830069	187676987.936262	34	2	trim_galore_00000048	8887618.95	17775237.9	34	1
trim_galore_00000180	31278147.830069	187676987.936262	33	2	trim_galore_00000180	8887618.95	17775237.9	33	1
trim_galore_00000036	31278147.830069	187676987.936262	32	2	trim_galore_00000036	8887618.95	17775237.9	32	1
trim_galore_00000120	31278147.830069	187676987.936262	31	2	trim_galore_00000120	8887618.95	17775237.9	31	1
trim_galore_00000156	31278147.830069	187676987.936262	30	2	trim_galore_00000156	8887618.95	17775237.9	30	1
trim_galore_00000024	210067516.816331	366466356.922525	35	2	trim_galore_00000024	17775237.9	26662856.85	35	1
trim_galore_00000132	210067516.816331	366466356.922525	34	2	trim_galore_00000132	17775237.9	26662856.85	34	1
trim_galore_00000144	210067516.816331	366466356.922525	33	2	trim_galore_00000144	17775237.9	26662856.85	33	1
trim_galore_00000003	210067516.816331	366466356.922525	32	2	trim_galore_00000003	17775237.9	26662856.85	32	1
bismark_align_00000111	187676987.936262	193864700.961262	31	1	bismark_align_00000111	17775237.9	23962950.925	31	1
bismark_align_00000159	193864700.961262	200052413.986262	31	1	bismark_align_00000159	26662856.85	32850569.875	34	1
bismark_align_00000123	366466356.922525	372654069.947525	34	1	bismark_align_00000123	32850569.875	39038282.9	34	1
bismark_align_00000099	232551145.608584	238738858.633584	31	1	bismark_align_00000099	26662856.85	32850569.875	35	1
bismark_align_00000135	366466356.922525	372654069.947525	33	1	bismark_align_00000135	26662856.85	32850569.875	33	1
bismark_align_00000087	255034774.400836	261222487.425836	31	1	bismark_align_00000087	23962950.925	30150663.95	31	1
bismark_align_00000147	187676987.936262	193864700.961262	30	1	bismark_align_00000147	17775237.9	23962950.925	30	1
bismark_align_00000075	193864700.961262	200052413.986262	30	1	bismark_align_00000075	26662856.85	32850569.875	32	1
bismark_align_00000004	366466356.922525	372654069.947525	32	1	bismark_align_00000004	32850569.875	39038282.9	32	1
bismark_align_00000015	366466356.922525	372654069.947525	35	1	bismark_align_00000015	32850569.875	39038282.9	35	1
bismark_align_00000027	232551145.608584	238738858.633584	30	1	bismark_align_00000027	39038282.9	45225995.925	32	1
bismark_align_00000183	255034774.400836	261222487.425836	30	1	bismark_align_00000183	39038282.9	45225995.925	35	1
bismark_align_00000039	277518403.193088	283706116.218088	31	1	bismark_align_00000039	39038282.9	45225995.925	34	1
bismark_align_00000051	277518403.193088	283706116.218088	30	1	bismark_align_00000051	23962950.925	30150663.95	30	1
bismark_align_00000063	300002031.985341	306189745.010341	31	1	bismark_align_00000063	32850569.875	39038282.9	33	1
bismark_align_00000171	300002031.985341	306189745.010341	30	1	bismark_align_00000171	39038282.9	45225995.925	33	1
fastqc_00000104	0	1093624.9375	11	1	fastqc_00000104	0	1093624.9375	11	1
fastqc_00000056	0	1093624.9375	10	1	fastqc_00000056	0	1093624.9375	10	1
fastqc_00000044	0	1093624.9375	9	1	fastqc_00000044	0	1093624.9375	9	1
fastqc_00000116	0	1093624.9375	8	1	fastqc_00000116	0	1093624.9375	8	1
fastqc_00000032	0	1093624.9375	7	1	fastqc_00000032	0	1093624.9375	7	1
fastqc_00000092	0	1093624.9375	6	1	fastqc_00000092	0	1093624.9375	6	1
fastqc_00000068	1093624.9375	2187249.875	11	1	fastqc_00000068	1093624.9375	2187249.875	11	1
fastqc_00000128	1093624.9375	2187249.875	10	1	fastqc_00000128	1093624.9375	2187249.875	10	1
fastqc_00000020	1093624.9375	2187249.875	9	1	fastqc_00000020	1093624.9375	2187249.875	9	1
fastqc_00000140	1093624.9375	2187249.875	8	1	fastqc_00000140	1093624.9375	2187249.875	8	1
fastqc_00000080	1093624.9375	2187249.875	7	1	fastqc_00000080	1093624.9375	2187249.875	7	1
fastqc_00000001	1093624.9375	2187249.875	6	1	fastqc_00000001	1093624.9375	2187249.875	6	1
fastqc_00000164	0	2916333.16666667	18	1	fastqc_00000164	0	2916333.16666667	18	1
fastqc_00000188	0	2916333.16666667	19	1	fastqc_00000188	0	2916333.16666667	19	1
fastqc_00000152	0	2916333.16666667	20	1	fastqc_00000152	0	2916333.16666667	20	1
