vertex,start_time_dyn,duration_dyn,processor_dyn,start_time_stat,duration_stat,processor_stat
trim_galore_00000984,0.0,8887618.95,31,312781478.30069,8887618.949999988,31
get_software_versions_00000994,0.0,182.8,34,628872522.184581,1462.3999999761581,2
get_software_versions_00000982,0.0,182.8,30,628873103.70127,974.9333339929581,17
get_software_versions_00000970,0.0,182.8,9,628869199.725078,974.9333330392838,15
get_software_versions_00000958,0.0,182.8,6,628870178.901271,974.9333330392838,17
get_software_versions_00000934,0.0,487.466666666667,18,637650674.38019,1462.3999999761581,0
get_software_versions_00000922,0.0,487.466666666667,20,628873103.436746,974.9333339929581,16
get_software_versions_00000910,0.0,487.466666666667,22,628873984.475336,1462.4000000953674,4
get_software_versions_00000886,0.0,731.2,25,628872124.369798,974.9333330392838,14
get_software_versions_00000874,0.0,731.2,27,628871149.591744,974.9333330392838,15
get_software_versions_00000862,0.0,974.933333333333,12,628870174.393887,974.9333329200745,12
get_software_versions_00000850,0.0,974.933333333333,14,647439164.319659,731.2000000476837,26
get_software_versions_00000838,0.0,974.933333333333,16,647439896.515352,974.9333330392838,15
get_software_versions_00000778,0.0,1462.4,5,642574510.558713,1462.4000000953674,1
get_software_versions_00000766,0.0,1462.4,3,647437946.959244,974.9333339929581,17
get_software_versions_00000754,0.0,1462.4,1,642568660.958713,1462.3999999761581,1
fastqc_00000992,0.0,1093624.9375,33,2916333.16666667,2916333.1666666605,20
fastqc_00000980,0.0,1093624.9375,11,2916333.16666667,2916333.1666666605,22
output_documentation_00000751,0.0,1462.4,0,647445747.318806,1462.3999999761581,4
output_documentation_00000763,0.0,1462.4,2,647445746.115352,974.9333329200745,15
get_software_versions_00000898,0.0,731.2,29,628872522.075336,1462.3999999761581,4
output_documentation_00000871,0.0,731.2,28,647444771.492577,974.9333339929581,17
output_documentation_00000931,0.0,487.466666666667,19,647445745.649513,974.9333330392838,12
output_documentation_00000895,0.0,731.2,24,647444282.719659,731.2000000476837,26
output_documentation_00000883,0.0,731.2,26,647442822.984645,1462.3999999761581,1
output_documentation_00000775,0.0,1462.4,4,647444285.539924,1462.3999999761581,0
output_documentation_00000967,0.0,182.8,7,647442820.474939,731.2000000476837,27
output_documentation_00000979,0.0,182.8,10,647442820.319659,731.2000000476837,26
output_documentation_00000919,0.0,487.466666666667,21,647447695.826739,974.9333330392838,14
output_documentation_00000907,0.0,487.466666666667,23,647446720.738126,974.9333329200745,13
output_documentation_00000991,0.0,182.8,32,647441846.537298,974.9333330392838,16
output_documentation_00000847,0.0,974.933333333333,15,647444771.026739,974.9333330392838,14
output_documentation_00000835,0.0,974.933333333333,17,647444285.229365,1462.3999999761581,2
output_documentation_00000859,0.0,974.933333333333,13,647445014.074939,731.1999999284744,27
get_software_versions_00000946,182.8,182.8,9,628869199.569798,974.9333330392838,14
