vertex start_time finish_time proc_num
output_documentation 0 58022.3625 35
get_software_versions 0 58022.3625 34
MAKE_GENOME_FILTER 0 58022.3625 33
MAKE_GENE_BED 0 58022.3625 32
BWA_INDEX 0 58022.3625 31
CHECK_DESIGN 0 58022.3625 30
TRIMGALORE 58022.3625 668136.425 30
FASTQC 668136.425 908829.55 30
BWA_MEM 908829.55 2220030.4875 30
MAKE_TSS_BED 58022.3625 116044.725 32
SORT_BAM 2220030.4875 2494927.2625 30
MERGED_LIB_BAM 2494927.2625 3416329.5875 30
MERGED_LIB_BAM_FILTER 3416329.5875 4095709.6125 30
MERGED_LIB_PRESEQ 3520877.55761696 3578899.92011696 35
MERGED_LIB_BAM_REMOVE_ORPHAN 4095709.6125 4487844.1 30
MERGED_LIB_MACS2 4487844.1 4872804.2875 30
MERGED_LIB_BIGWIG 4872855.26465896 5073354.22715896 30
MERGED_REP_BAM 4592392.07022838 4650414.43272838 35
MERGED_LIB_PICARD_METRICS 5073354.22715896 5275942.32715896 30
MERGED_LIB_PLOTFINGERPRINT 5275942.32715896 5333964.68965896 30
MERGED_REP_MACS2 4650414.43272838 4708436.79522838 35
MERGED_REP_BIGWIG 4702688.09928973 4760710.46178973 33
MERGED_REP_CONSENSUS 4708436.79522838 4766459.15772838 35
MERGED_REP_MACS2_ANNOTATE 4766459.15772838 4824481.52022838 35
MERGED_REP_CONSENSUS_COUNTS 5221316.08251981 5279338.44501981 35
MERGED_REP_CONSENSUS_ANNOTATE 4871005.85364025 4929028.21614025 34
MERGED_REP_MACS2_QC 4897092.45631379 4955114.81881379 33
MERGED_LIB_CONSENSUS 5273486.25575053 5331508.61825053 34
MERGED_LIB_ATAQV 5334020.43454058 5498967.15954058 30
MERGED_LIB_MACS2_ANNOTATE 5498967.15954058 5562937.12204058 30
MERGED_LIB_PLOTPROFILE 5325637.69520782 5612261.39520783 32
MERGED_REP_CONSENSUS_DESEQ2 5279338.44501981 5337360.80751981 35
MERGED_LIB_CONSENSUS_COUNTS 5562937.12204058 5620959.48454058 30
MERGED_LIB_CONSENSUS_ANNOTATE 5331508.61825053 5389530.98075053 34
MERGED_LIB_ATAQV_MKARV 5620959.48454058 5678981.84704058 30
MERGED_LIB_MACS2_QC 5678981.84704058 5737004.20954058 30
MERGED_LIB_CONSENSUS_DESEQ2 5737004.20954058 5795026.57204058 30
MULTIQC 5795028.91035781 5853051.27285781 30
IGV 5853064.70150105 5911087.06400105 30
