vertex startOrFinish time proc
CHECK_DESIGN_00000192 start 0 33
BWA_INDEX_00000005 start 0 22
BWA_INDEX_00000147 start 0 9
BWA_INDEX_00000186 start 0 32
MAKE_GENOME_FILTER_00000028 start 0 19
MAKE_GENOME_FILTER_00000131 start 0 7
MAKE_GENOME_FILTER_00000170 start 0 30
MAKE_GENE_BED_00000024 start 0 20
MAKE_GENE_BED_00000116 start 0 6
MAKE_GENE_BED_00000155 start 0 11
MAKE_GENE_BED_00000194 start 0 35
get_software_versions_00000023 start 0 21
get_software_versions_00000154 start 0 10
get_software_versions_00000193 start 0 34
output_documentation_00000039 start 0 18
output_documentation_00000134 start 0 8
output_documentation_00000173 start 0 31
BWA_INDEX_00000147 finish 58022.3625 9
get_software_versions_00000076 start 58022.3625 9
BWA_INDEX_00000186 finish 58022.3625 32
BWA_INDEX_00000108 start 58022.3625 32
MAKE_GENOME_FILTER_00000131 finish 58022.3625 7
output_documentation_00000056 start 58022.3625 7
MAKE_GENOME_FILTER_00000170 finish 58022.3625 30
output_documentation_00000095 start 58022.3625 30
MAKE_GENE_BED_00000116 finish 58022.3625 6
MAKE_GENOME_FILTER_00000053 start 58022.3625 6
MAKE_GENE_BED_00000155 finish 58022.3625 11
MAKE_GENOME_FILTER_00000092 start 58022.3625 11
MAKE_GENE_BED_00000194 finish 58022.3625 35
get_software_versions_00000115 start 58022.3625 35
get_software_versions_00000154 finish 58022.3625 10
MAKE_GENE_BED_00000077 start 58022.3625 10
get_software_versions_00000193 finish 58022.3625 34
output_documentation_00000134 finish 58022.3625 8
BWA_INDEX_00000069 start 58022.3625 8
output_documentation_00000173 finish 58022.3625 31
CHECK_DESIGN_00000153 start 58022.3625 31
CHECK_DESIGN_00000114 start 58025.6891210858 34
BWA_INDEX_00000069 finish 116044.725 8
BWA_INDEX_00000108 finish 116044.725 32
MAKE_GENOME_FILTER_00000053 finish 116044.725 6
MAKE_TSS_BED_00000113 start 116044.725 6
MAKE_GENOME_FILTER_00000092 finish 116044.725 11
MAKE_TSS_BED_00000152 start 116044.725 11
MAKE_GENE_BED_00000077 finish 116044.725 10
MAKE_TSS_BED_00000074 start 116044.725 10
get_software_versions_00000076 finish 116044.725 9
get_software_versions_00000115 finish 116044.725 35
output_documentation_00000056 finish 116044.725 7
output_documentation_00000095 finish 116044.725 30
MAKE_TSS_BED_00000191 start 116044.725 35
CHECK_DESIGN_00000075 start 116265.227772232 32
BWA_INDEX_00000005 finish 154726.3 22
MAKE_GENOME_FILTER_00000028 finish 154726.3 19
MAKE_GENE_BED_00000024 finish 154726.3 20
MAKE_TSS_BED_00000025 start 154726.3 20
get_software_versions_00000023 finish 154726.3 21
output_documentation_00000039 finish 154726.3 18
MAKE_TSS_BED_00000113 finish 174067.0875 6
MAKE_TSS_BED_00000152 finish 174067.0875 11
MAKE_TSS_BED_00000074 finish 174067.0875 10
MAKE_TSS_BED_00000191 finish 174067.0875 35
MAKE_TSS_BED_00000025 finish 309452.6 20
CHECK_DESIGN_00000001 start 318849.86812126 30
CHECK_DESIGN_00000192 finish 6045661.29848906 33
TRIMGALORE_00000189 start 6045661.29848906 33
CHECK_DESIGN_00000153 finish 6103683.66098906 31
TRIMGALORE_00000150 start 6103683.66098906 31
CHECK_DESIGN_00000114 finish 6103686.98761015 34
TRIMGALORE_00000111 start 6103686.98761015 34
CHECK_DESIGN_00000075 finish 6161926.52626129 32
TRIMGALORE_00000072 start 6161926.52626129 32
CHECK_DESIGN_00000001 finish 6366064.85177032 30
TRIMGALORE_00000002 start 6366064.85177032 30
TRIMGALORE_00000189 finish 6655775.36098906 33
FASTQC_00000164 start 6655775.36098906 33
TRIMGALORE_00000150 finish 6713797.72348906 31
FASTQC_00000125 start 6713797.72348906 31
TRIMGALORE_00000111 finish 6713801.05011015 34
FASTQC_00000086 start 6713801.05011015 34
TRIMGALORE_00000072 finish 6772040.58876129 32
FASTQC_00000047 start 6772040.58876129 32
FASTQC_00000164 finish 6896468.48598906 33
BWA_MEM_00000175 start 6896689.90561274 33
FASTQC_00000125 finish 6954490.84848906 31
BWA_MEM_00000136 start 6954490.84848906 31
FASTQC_00000086 finish 6954494.17511015 34
BWA_MEM_00000097 start 6954715.59473382 34
TRIMGALORE_00000002 finish 6976178.91427032 30
FASTQC_00000003 start 6976178.91427032 30
FASTQC_00000047 finish 7012733.71376129 32
BWA_MEM_00000058 start 7012733.71376129 32
BWA_MEM_00000175 finish 8207890.84311274 33
SORT_BAM_00000181 start 8207890.84311274 33
BWA_MEM_00000136 finish 8265691.78598906 31
SORT_BAM_00000142 start 8265691.78598906 31
BWA_MEM_00000097 finish 8265916.53223382 34
SORT_BAM_00000103 start 8265916.53223382 34
BWA_MEM_00000058 finish 8323934.65126129 32
SORT_BAM_00000064 start 8323934.65126129 32
SORT_BAM_00000181 finish 8482787.61811274 33
MERGED_LIB_BAM_00000185 start 8482787.61811274 33
SORT_BAM_00000142 finish 8540588.56098906 31
