vertex start_time finish_time proc_num
get_software_versions 0 20.978 5
output_documentation 0 20.978 1
kraken 20.978 41.956 5
lanemerge_hostremoval_fastq 20.978 41.956 1
indexinputbam 0 55.9413333333333 3
convertBam 41.956 62.934 5
malt 41.956 62.934 1
unzip_reference 62.934 83.912 5
kraken_parse 83.912 104.89 5
fastp 104.89 125.868 5
fastqc 125.868 1980.46625 5
maltextract 62.934 83.912 1
makeBWAIndex 1980.46625 2001.44425 5
circulargenerator 2001.44425 2022.42225 5
makeFastaIndex 2022.42225 2043.40025 5
makeSeqDict 2043.40025 2064.37825 5
mask_reference_for_pmdtools 2064.37825 2085.35625 5
kraken_merge 2085.35625 2106.33425 5
adapter_removal 2106.33425 8021.98 5
lanemerge 8021.98 8042.958 5
fastqc_after_clipping 8042.958 8797.8525 5
post_ar_fastq_trimming 8797.8525 8818.8305 5
bwa 8818.8305 32112.88825 5
circularmapper 32112.88825 32133.86625 5
bwamem 32133.86625 32154.84425 5
bowtie2 32154.84425 32175.82225 5
seqtype_merge 32175.82225 32196.80025 5
hostremoval_input_fastq 32196.8037099332 32217.7817099332 5
samtools_filter 32217.7817099332 32310.4725849332 5
samtools_flagstat 32310.4725849332 32392.7977099332 5
markduplicates 32392.7977099332 33000.4262099332 5
dedup 33000.4262099332 33021.4042099332 5
samtools_flagstat_after_filter 33021.4042099332 33042.3822099332 5
preseq 33042.3822099332 33209.9297099332 5
metagenomic_complexity_filter 33209.9297099332 33230.9077099332 5
endorSpy 33230.9077099332 33251.8857099332 5
library_merge 33251.8857099332 33272.8637099332 5
nuclear_contamination 33272.8637099332 33293.8417099332 5
damageprofiler 33293.8417099332 33861.7080849332 5
fr 33861.7080849332 33882.6860849332 5
bam_trim 33882.6860849332 33903.6640849332 5
pmdtools 33903.6640849332 33924.6420849332 5
mapdamage_rescaling 33924.6420849332 33945.6200849332 5
bedtools 33945.6200849332 33966.5980849332 5
additional_library_merge 33966.5980849332 33987.5760849332 5
print_nuclear_contamination 33987.5760849332 34008.5540849332 5
genotyping_hc 34008.5540849332 60428.1030849332 5
genotyping_pileupcaller 60428.1030849332 60449.0810849332 5
sexdeterrmine_prep 60449.0810849332 60470.0590849333 5
genotyping_ug 60470.0590849333 60491.0370849333 5
qualimap 60491.0370849333 60792.4090849333 5
genotyping_freebayes 60792.4090849333 60813.3870849333 5
genotyping_angsd 60813.3870849333 60834.3650849333 5
bcftools_stats 60834.3650849333 60916.9629599333 5
eigenstrat_snp_coverage 60916.9629599333 60937.9409599333 5
sexdeterrmine 60937.9409599333 60958.9189599333 5
multivcfanalyzer 60958.9189599333 60979.8969599333 5
vcf2genome 60979.8969599333 61000.8749599333 5
multiqc 61000.8828928553 61021.8608928553 5

