,vertex,end_time,start_time,processor,duration
0,BWA_INDEX_00000005,154726.3,0.0,22,154726.3
1,BWA_INDEX_00000069,116044.725,58022.3625,8,58022.3625
2,BWA_INDEX_00000108,116044.725,58022.3625,32,58022.3625
3,BWA_INDEX_00000147,58022.3625,0.0,9,58022.3625
4,BWA_INDEX_00000186,58022.3625,0.0,32,58022.3625
5,BWA_MEM_00000004,18024435.2633111,16713234.325811,30,1311200.9375000987
6,BWA_MEM_00000058,8323934.65126129,7012733.71376129,32,1311200.9375
7,BWA_MEM_00000097,8265916.53223382,6954715.59473382,34,1311200.9375
8,BWA_MEM_00000136,8265691.78598906,6954490.84848906,31,1311200.9375
9,BWA_MEM_00000175,8207890.84311274,6896689.90561274,33,1311200.9375
10,CHECK_DESIGN_00000001,6366064.85177032,318849.86812126,30,6047214.98364906
11,CHECK_DESIGN_00000075,6161926.52626129,116265.227772232,32,6045661.298489057
12,CHECK_DESIGN_00000114,6103686.98761015,58025.6891210858,34,6045661.298489064
13,CHECK_DESIGN_00000153,6103683.66098906,58022.3625,31,6045661.29848906
14,CHECK_DESIGN_00000192,6045661.29848906,0.0,33,6045661.29848906
15,FASTQC_00000003,16713234.325811,6976178.91427032,30,9737055.41154068
16,FASTQC_00000047,7012733.71376129,6772040.58876129,32,240693.125
17,FASTQC_00000086,6954494.17511015,6713801.05011015,34,240693.125
18,FASTQC_00000125,6954490.84848906,6713797.72348906,31,240693.125
19,FASTQC_00000164,6896468.48598906,6655775.36098906,33,240693.125
20,IGV_00000034,42967925.0697053,42909902.7072053,35,58022.36249999702
21,IGV_00000043,24680245.1171072,24622222.7546072,32,58022.362500000745
22,IGV_00000082,25550338.420059,25492316.057559,30,58022.362500000745
23,IGV_00000121,25123251.6940005,24968525.3940005,19,154726.30000000075
24,IGV_00000160,30182382.8279925,30124360.4654925,34,58022.36249999702
25,MAKE_GENE_BED_00000024,154726.3,0.0,20,154726.3
26,MAKE_GENE_BED_00000077,116044.725,58022.3625,10,58022.3625
27,MAKE_GENE_BED_00000116,58022.3625,0.0,6,58022.3625
28,MAKE_GENE_BED_00000155,58022.3625,0.0,11,58022.3625
29,MAKE_GENE_BED_00000194,58022.3625,0.0,35,58022.3625
30,MAKE_GENOME_FILTER_00000028,154726.3,0.0,19,154726.3
31,MAKE_GENOME_FILTER_00000053,116044.725,58022.3625,6,58022.3625
32,MAKE_GENOME_FILTER_00000092,116044.725,58022.3625,11,58022.3625
33,MAKE_GENOME_FILTER_00000131,58022.3625,0.0,7,58022.3625
34,MAKE_GENOME_FILTER_00000170,58022.3625,0.0,30,58022.3625
35,MAKE_TSS_BED_00000025,309452.6,154726.3,20,154726.3
