size_x,wf_name,inp_size,relation,ratio_old,algorithm,size_y,ratio_new
1000,methylseq_1000.dot,6273818718,internal,1.2812956400678939,MeDiH-BL,1000,1.2812956400678939
200,methylseq_200.dot,17027257018,internal,1.0341267040934687,MeDiH-BL,200,1.0341267040934687
100,methylseq,11897958606,internal,1.0000000001531506,MeDiH-BL,100,1.0000000001531506
100,methylseq,6273818718,internal,1.0000000003948186,MeDiH-BL,100,1.0000000003948186
100,methylseq,22500260922,internal,1.0000000000871296,MeDiH-BL,100,1.0000000000871296
100,methylseq,110641579976,internal,1.00000000000002,MeDiH-BL,100,1.00000000000002
200,atacseq_200.dot,2223941232,internal,2.268907481808477,MeDiH-BL,200,2.268907481808477
200,methylseq_200.dot,8885797810,internal,1.0002506995546,MeDiH-BL,200,1.0002506995546
100,chipseq,32978181418,internal,1.018005928771925,MeDiH-BL,100,1.018005928771925
200,methylseq_200.dot,6761426956,internal,1.0004185917544142,MeDiH-BL,200,1.0004185917544142
100,methylseq,17027257018,internal,1.000000000170914,MeDiH-BL,100,1.000000000170914
200,methylseq_200.dot,11897958606,internal,1.000290838686391,MeDiH-BL,200,1.000290838686391
200,methylseq_200.dot,22500260922,internal,1.0342544990997775,MeDiH-BL,200,1.0342544990997775
100,methylseq,6761426956,internal,1.0000000004213674,MeDiH-BL,100,1.0000000004213674
100,chipseq,41366257414,internal,1.0052891773099355,MeDiH-BL,100,1.0052891773099355
200,methylseq_200.dot,6273818718,internal,1.0002783669782727,MeDiH-BL,200,1.0002783669782727
100,methylseq,8885797810,internal,1.000000000217842,MeDiH-BL,100,1.000000000217842
1000,methylseq_1000.dot,6273818718,dyn_vs_base,0.7804600037092232,MeDiH-BL,1000,0.7804600037092232
200,methylseq_200.dot,17027257018,dyn_vs_base,0.9669994943962068,MeDiH-BL,200,0.9669994943962068
100,methylseq,11897958606,dyn_vs_base,0.9999999998468493,MeDiH-BL,100,0.9999999998468493
100,methylseq,6273818718,dyn_vs_base,0.9999999996051814,MeDiH-BL,100,0.9999999996051814
100,methylseq,22500260922,dyn_vs_base,0.9999999999128703,MeDiH-BL,100,0.9999999999128703
100,methylseq,110641579976,dyn_vs_base,0.9999999999999801,MeDiH-BL,100,0.9999999999999801
200,methylseq_200.dot,8885797810,dyn_vs_base,0.999749363279914,MeDiH-BL,200,0.999749363279914
100,chipseq,32978181418,dyn_vs_base,0.9823125501895196,MeDiH-BL,100,0.9823125501895196
200,methylseq_200.dot,6761426956,dyn_vs_base,0.9995815833913281,MeDiH-BL,200,0.9995815833913281
100,methylseq,17027257018,dyn_vs_base,0.9999999998290859,MeDiH-BL,100,0.9999999998290859
200,methylseq_200.dot,11897958606,dyn_vs_base,0.9997092458761566,MeDiH-BL,200,0.9997092458761566
200,methylseq_200.dot,22500260922,dyn_vs_base,0.9668800095821746,MeDiH-BL,200,0.9668800095821746
100,methylseq,6761426956,dyn_vs_base,0.9999999995786327,MeDiH-BL,100,0.9999999995786327
100,chipseq,41366257414,dyn_vs_base,0.9947386508983527,MeDiH-BL,100,0.9947386508983527
200,methylseq_200.dot,6273818718,dyn_vs_base,0.9997217104883377,MeDiH-BL,200,0.9997217104883377
100,methylseq,8885797810,dyn_vs_base,0.999999999782158,MeDiH-BL,100,0.999999999782158
1000,methylseq_1000.dot,6761426956,dyn_vs_base,1.259024505223002,MeDiH-BL,1000,1.259024505223002
1000,methylseq_1000.dot,6273818718,stat_vs_base,1.0,MeDiH-BL,1000,1.0
200,methylseq_200.dot,17027257018,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,methylseq,11897958606,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,methylseq,6273818718,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,methylseq,22500260922,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,methylseq,110641579976,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,atacseq_200.dot,14091675276,stat_vs_base,1.0,MeDiH-BL,200,1.0
200,atacseq_200.dot,3908761308,stat_vs_base,1.0,MeDiH-BL,200,1.0
200,methylseq_200.dot,8885797810,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,chipseq,32978181418,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,methylseq_200.dot,6761426956,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,methylseq,17027257018,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,methylseq_200.dot,11897958606,stat_vs_base,1.0,MeDiH-BL,200,1.0
200,methylseq_200.dot,22500260922,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,methylseq,6761426956,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,chipseq,41366257414,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,chipseq,5058052541,stat_vs_base,1.0,MeDiH-BL,100,1.0
100,chipseq,4807293396,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,methylseq_200.dot,6273818718,stat_vs_base,1.0,MeDiH-BL,200,1.0
100,methylseq,8885797810,stat_vs_base,1.0,MeDiH-BL,100,1.0
200,eager_200.dot,8330435694,stat_vs_base,1.0,MeDiH-BL,200,1.0
1000,methylseq_1000.dot,6273818718,internal,1.2812956400678939,MeDiH-BLC,1000,1.2812956400678939
200,methylseq_200.dot,17027257018,internal,1.0342008999262222,MeDiH-BLC,200,1.0342008999262222
100,methylseq,11897958606,internal,1.0000000001531506,MeDiH-BLC,100,1.0000000001531506
100,methylseq,6273818718,internal,1.0000000003948186,MeDiH-BLC,100,1.0000000003948186
100,methylseq,22500260922,internal,1.0000000000871296,MeDiH-BLC,100,1.0000000000871296
100,methylseq,110641579976,internal,1.00000000000002,MeDiH-BLC,100,1.00000000000002
200,methylseq_200.dot,8885797810,internal,1.0002506995546,MeDiH-BLC,200,1.0002506995546
100,chipseq,32978181418,internal,1.0230263773549413,MeDiH-BLC,100,1.0230263773549413
200,methylseq_200.dot,6761426956,internal,1.0004185917544142,MeDiH-BLC,200,1.0004185917544142
100,methylseq,17027257018,internal,1.000000000170914,MeDiH-BLC,100,1.000000000170914
200,methylseq_200.dot,11897958606,internal,1.000290838686391,MeDiH-BLC,200,1.000290838686391
200,methylseq_200.dot,22500260922,internal,1.0342844320067337,MeDiH-BLC,200,1.0342844320067337
