,vertex,end_time_dyn,start_time_dyn,processor_dyn,duration_dyn,start_time_stat,end_time_stat,processor_stat,duration_stat
0,bismark_align_00000004,525615676.908466,519427963.883466,33,6187713.024999976,577690433.091098,583878146.116098,32,6187713.025000095
1,bismark_align_00000015,524522051.970966,518334338.945966,31,6187713.024999976,573790504.7699,579978217.7949,35,6187713.024999976
2,bismark_align_00000027,524522234.770966,518334521.745966,34,6187713.024999976,564001323.336663,570189036.361663,34,6187713.024999976
3,bismark_align_00000039,518334338.945966,512146625.920966,31,6187713.024999976,555206804.298846,561394517.323846,31,6187713.024999976
4,bismark_align_00000051,522255011.463218,516067298.438218,32,6187713.024999976,541517694.544411,547705407.569411,34,6187713.025000095
5,bismark_align_00000063,522254828.663218,516067115.638218,35,6187713.025000036,532723175.506594,538910888.531594,30,6187713.025000036
6,bismark_align_00000075,519427963.883466,513240250.858466,33,6187713.024999976,528823247.185396,535010960.210396,35,6187713.024999976
7,bismark_align_00000087,516067298.438218,509879585.413218,32,6187713.024999976,519034065.752158,525221778.777158,34,6187713.025000036
8,bismark_align_00000099,518334521.745966,512146808.720966,34,6187713.025000036,510239546.714342,516427259.739342,31,6187713.024999976
9,bismark_align_00000111,516821340.670649,510633627.645649,30,6187713.024999976,501445027.676525,507632740.701525,33,6187713.024999976
10,bismark_align_00000123,516067115.638218,509879402.613218,35,6187713.024999976,496550436.959906,502738149.984906,34,6187713.025000036
11,bismark_align_00000135,510633627.645649,504445914.620649,30,6187713.025000036,487755917.922089,493943630.947089,31,6187713.025000036
12,bismark_align_00000147,513240250.858466,507052537.833466,33,6187713.025000036,481617280.090814,487804993.115814,35,6187713.024999976
13,bismark_align_00000159,509879585.413218,503691872.388218,32,6187713.025000036,474066808.167654,480254521.192654,34,6187713.025000036
14,bismark_align_00000171,512146808.720966,505959095.695966,34,6187713.024999976,645141319.467855,651329032.492855,32,6187713.024999976
15,bismark_align_00000183,512146625.920966,505958912.895966,31,6187713.025000036,622657690.675603,628845403.700603,30,6187713.024999976
16,bismark_align_00000195,509879402.613218,503691689.588218,35,6187713.025000036,613863171.637786,620050884.662786,33,6187713.024999976
17,bismark_align_00000207,504445914.620649,498258201.595649,30,6187713.024999976,600174061.883351,606361774.908351,30,6187713.024999976
18,bismark_align_00000219,507052537.833466,500864824.808466,33,6187713.024999976,586484952.128915,592672665.153915,34,6187713.025000095
19,bismark_align_00000231,503691872.388218,497504159.363218,32,6187713.024999976,591379542.845534,597567255.870534,33,6187713.024999976
20,bismark_align_00000243,505959095.695966,499771382.670966,34,6187713.024999976,622657690.675603,628845403.700603,32,6187713.024999976
21,bismark_align_00000255,505958912.895966,499771199.870966,31,6187713.024999976,641241391.146657,647429104.171657,35,6187713.024999976
22,bismark_align_00000267,503691689.588218,497503976.563218,35,6187713.024999976,415503540.740897,423103455.15242,32,7599914.4115229845
23,bismark_align_00000291,500864824.808466,494677111.783466,33,6187713.025000036,391825307.282226,399425223.300405,30,7599916.018178999
24,bismark_align_00000303,499771199.870966,493583486.845966,31,6187713.025000036,463054141.015814,469241854.040814,35,6187713.024999976
25,bismark_align_00000315,499771382.670966,493583669.645966,34,6187713.025000036,430703371.210725,438303288.915814,35,7599917.705088973
26,bismark_align_00000327,493583486.845966,487395773.820966,31,6187713.024999976,436891084.235725,443078797.260725,33,6187713.025000036
27,bismark_align_00000339,497504159.363218,491316446.338218,32,6187713.025000036,442788660.337585,448976373.362585,31,6187713.025000036
28,bismark_align_00000351,497503976.563218,491316263.538218,35,6187713.024999976,465272289.129837,471460002.154837,31,6187713.025000036
29,bismark_align_00000363,494677111.783466,488489398.758466,33,6187713.024999976,430703371.210725,436891084.235725,33,6187713.024999976
30,bismark_align_00000387,493583669.645966,487395956.620966,34,6187713.024999976,438303288.915814,444491001.940814,35,6187713.025000036
31,bismark_align_00000399,492070488.570649,485882775.545649,30,6187713.025000036,442788660.337585,448976373.362585,30,6187713.025000036
32,bismark_align_00000411,491316263.538218,485128550.513218,35,6187713.025000036,456866427.990814,463054141.015814,35,6187713.025000036
33,bismark_align_00000435,488489398.758466,482301685.733466,33,6187713.024999976,423103455.15242,430703371.210725,32,7599916.058305025
34,bismark_align_00000447,485128733.313218,478941020.288218,32,6187713.024999976,423103455.15242,430703371.210725,33,7599916.058305025
35,bismark_align_00000459,487395956.620966,481208243.595966,34,6187713.025000036,465272289.129837,471460002.154837,32,6187713.025000036
36,bismark_align_00000471,487395773.820966,481208060.795966,31,6187713.024999976,430703371.210725,438303288.915814,31,7599917.705088973
37,bismark_align_00000483,485128550.513218,478940837.488218,35,6187713.024999976,415503540.740897,423103455.15242,34,7599914.4115229845
38,bismark_align_00000495,479695062.520649,473507349.495649,30,6187713.025000036,451583179.375402,457770892.400402,34,6187713.025000036
39,bismark_align_00000507,482301685.733466,476113972.708466,33,6187713.025000036,443078797.260725,449266510.285725,33,6187713.024999976
40,bismark_align_00000519,478941020.288218,472753307.263218,32,6187713.025000036,449266510.285725,455454223.310725,33,6187713.024999976
41,bismark_align_00000531,481208243.595966,475020530.570966,34,6187713.024999976,384225392.910828,391825307.282226,30,7599914.371398032
42,bismark_align_00000543,481208060.795966,475020347.770966,31,6187713.025000036,577690433.091098,583878146.116098,30,6187713.025000095
43,bismark_align_00000555,478940837.488218,472753124.463218,35,6187713.025000036,608968580.921168,615156293.946168,34,6187713.024999976
44,bismark_align_00000567,473507349.495649,467319636.470649,30,6187713.024999976,465272289.129837,471460002.154837,30,6187713.025000036
45,bismark_align_00000579,476113972.708466,469926259.683466,33,6187713.024999976,618757762.354405,624945475.379405,35,6187713.024999976
46,bismark_align_00000591,475020347.770966,468832634.745966,31,6187713.024999976,636346800.430039,642534513.455039,33,6187713.024999976
47,bismark_align_00000603,475020530.570966,468832817.545966,34,6187713.024999976,478961398.884273,485149111.909273,33,6187713.025000036
48,bismark_align_00000615,468832634.745966,462644921.720966,31,6187713.025000036,523928656.468777,530116369.493777,33,6187713.024999976
49,bismark_align_00000627,472753307.263218,466565594.238218,32,6187713.024999976,506339618.393144,512527331.418144,35,6187713.024999976
50,bismark_align_00000639,472753124.463218,466565411.438218,35,6187713.024999976,510239546.714342,516427259.739342,30,6187713.024999976
51,bismark_align_00000651,469926259.683466,463738546.658466,33,6187713.025000036,532723175.506594,538910888.531594,31,6187713.025000036
52,bismark_align_00000663,467319636.470649,461131923.445649,30,6187713.024999976,551306875.977648,557494589.002648,35,6187713.024999976
53,bismark_align_00000675,468832817.545966,462645104.520966,34,6187713.025000036,555206804.298846,561394517.323846,30,6187713.024999976
54,bismark_align_00000687,462644921.720966,456457208.695966,31,6187713.024999976,577690433.091098,583878146.116098,31,6187713.025000095
55,bismark_align_00000699,462644921.720966,456457208.695966,35,6187713.024999976,555206804.298846,561394517.323846,32,6187713.024999976
56,bismark_align_00000711,461131923.445649,454944210.420649,30,6187713.025000036,469241854.040814,475429567.065814,35,6187713.025000036
57,bismark_align_00000723,463738546.658466,457550833.633466,33,6187713.024999976,487755917.922089,493943630.947089,32,6187713.025000036
58,bismark_align_00000735,462645104.520966,456457391.495966,32,6187713.024999976,622657690.675603,628845403.700603,31,6187713.024999976
59,bismark_align_00000747,462645104.520966,456457391.495966,34,6187713.024999976,600174061.883351,606361774.908351,32,6187713.024999976
60,bismark_align_00000759,456457208.695966,450269495.670966,31,6187713.024999976,415503540.740897,423103455.15242,31,7599914.4115229845
61,bismark_align_00000771,456457208.695966,450269495.670966,35,6187713.024999976,430703371.210725,438303288.915814,32,7599917.705088973
62,bismark_align_00000783,454944210.420649,448756497.395649,30,6187713.024999976,456477770.09202,462665483.11702,33,6187713.025000036
63,bismark_align_00000795,457550833.633466,451363120.608466,33,6187713.024999976,423103455.15242,430703371.210725,31,7599916.058305025
64,bismark_align_00000807,456457391.495966,450269678.470966,32,6187713.025000036,415503540.740897,423103455.15242,33,7599914.4115229845
65,bismark_align_00000819,456457391.495966,450269678.470966,34,6187713.025000036,442788660.337585,448976373.362585,32,6187713.025000036
66,bismark_align_00000831,450269678.470966,444081965.445966,32,6187713.024999976,423103455.15242,430703371.210725,35,7599916.058305025
67,bismark_align_00000843,451363120.608466,445175407.583466,33,6187713.025000036,450678714.965814,456866427.990814,35,6187713.024999976
68,bismark_align_00000855,448756497.395649,442568784.370649,30,6187713.025000036,444491001.940814,450678714.965814,35,6187713.024999976
69,bismark_align_00000867,450269678.470966,444081965.445966,34,6187713.024999976,415503540.740897,423103455.15242,35,7599914.4115229845
70,bismark_align_00000879,450269495.670966,444081782.645966,35,6187713.025000036,487755917.922089,493943630.947089,30,6187713.025000036
71,bismark_align_00000891,450269495.670966,444081782.645966,31,6187713.025000036,600174061.883351,606361774.908351,31,6187713.024999976
72,bismark_align_00000903,444081965.445966,437894252.420966,32,6187713.024999976,596274133.562153,602461846.587153,35,6187713.024999976
73,bismark_align_00000915,445175407.583466,438987694.558466,33,6187713.024999976,631452209.71342,637639922.73842,34,6187713.024999976
