vertex start finish processor
trim_galore_00000996 0 8887618.95 35
trim_galore_00000912 0 8887618.95 34
trim_galore_00000324 0 8887618.95 33
trim_galore_00000180 0 8887618.95 32
trim_galore_00000588 0 8887618.95 31
trim_galore_00000852 0 8887618.95 30
trim_galore_00000168 31278147.830069 40165766.780069 35
trim_galore_00000732 31278147.830069 40165766.780069 34
trim_galore_00000924 31278147.830069 40165766.780069 33
trim_galore_00000504 31278147.830069 40165766.780069 32
trim_galore_00000336 31278147.830069 40165766.780069 31
trim_galore_00000156 31278147.830069 40165766.780069 30
trim_galore_00000600 62556295.660138 71443914.610138 35
trim_galore_00000192 62556295.660138 71443914.610138 34
trim_galore_00000144 62556295.660138 71443914.610138 33
trim_galore_00000612 62556295.660138 71443914.610138 32
trim_galore_00000348 62556295.660138 71443914.610138 31
trim_galore_00000936 62556295.660138 71443914.610138 30
trim_galore_00000840 93834443.4902071 102722062.440207 35
trim_galore_00000492 93834443.4902071 102722062.440207 34
trim_galore_00000360 93834443.4902071 102722062.440207 33
trim_galore_00000120 93834443.4902071 102722062.440207 32
trim_galore_00000720 93834443.4902071 102722062.440207 31
trim_galore_00000624 93834443.4902071 102722062.440207 30
trim_galore_00000780 125112591.320276 134000210.270276 35
trim_galore_00000228 125112591.320276 134000210.270276 34
trim_galore_00000264 125112591.320276 134000210.270276 33
trim_galore_00000756 125112591.320276 134000210.270276 32
trim_galore_00000540 125112591.320276 134000210.270276 31
trim_galore_00000252 125112591.320276 134000210.270276 30
trim_galore_00000876 156390739.150345 165278358.100345 35
trim_galore_00000552 156390739.150345 165278358.100345 34
trim_galore_00000888 156390739.150345 165278358.100345 33
trim_galore_00000276 156390739.150345 165278358.100345 32
trim_galore_00000240 156390739.150345 165278358.100345 31
trim_galore_00000528 156390739.150345 165278358.100345 30
trim_galore_00000288 187668886.980414 196556505.930414 35
trim_galore_00000132 187668886.980414 196556505.930414 34
trim_galore_00000564 187668886.980414 196556505.930414 33
trim_galore_00000900 187668886.980414 196556505.930414 32
trim_galore_00000216 187668886.980414 196556505.930414 31
trim_galore_00000744 187668886.980414 196556505.930414 30
trim_galore_00000864 218947034.810483 227834653.760483 35
trim_galore_00000300 218947034.810483 227834653.760483 34
trim_galore_00000204 218947034.810483 227834653.760483 33
trim_galore_00000516 218947034.810483 227834653.760483 32
trim_galore_00000576 218947034.810483 227834653.760483 31
trim_galore_00000768 218947034.810483 227834653.760483 30
trim_galore_00000312 250225182.640552 259112801.590552 35
trim_galore_00000036 250225182.640552 259112801.590552 34
trim_galore_00000072 250225182.640552 259112801.590552 33
trim_galore_00000708 250225182.640552 259112801.590552 32
trim_galore_00000396 250225182.640552 259112801.590552 31
trim_galore_00000060 250225182.640552 259112801.590552 30
trim_galore_00000816 281503330.470621 290390949.420621 35
trim_galore_00000972 281503330.470621 290390949.420621 34
trim_galore_00000660 281503330.470621 290390949.420621 33
trim_galore_00000408 281503330.470621 290390949.420621 32
trim_galore_00000048 281503330.470621 290390949.420621 31
trim_galore_00000792 281503330.470621 290390949.420621 30
trim_galore_00000456 312781478.30069 321669097.25069 35
trim_galore_00000948 312781478.30069 321669097.25069 34
trim_galore_00000420 312781478.30069 321669097.25069 33
trim_galore_00000672 312781478.30069 321669097.25069 32
trim_galore_00000984 312781478.30069 321669097.25069 31
trim_galore_00000024 312781478.30069 321669097.25069 30
trim_galore_00000696 344059626.130759 352947245.080759 35
trim_galore_00000432 344059626.130759 352947245.080759 34
trim_galore_00000804 344059626.130759 352947245.080759 33
trim_galore_00000003 344059626.130759 352947245.080759 32
trim_galore_00000684 344059626.130759 352947245.080759 31
trim_galore_00000444 344059626.130759 352947245.080759 30
trim_galore_00000468 375337773.960828 384225392.910828 35
trim_galore_00000636 375337773.960828 384225392.910828 34
trim_galore_00000828 375337773.960828 384225392.910828 33
trim_galore_00000096 375337773.960828 384225392.910828 32
trim_galore_00000480 375337773.960828 384225392.910828 31
dfasdftrim_galore_00000384 375337773.960828 384225392.910828 30
trim_galore_00000084 406615921.790897 415503540.740897 35
trim_galore_00000960 406615921.790897 415503540.740897 34
trim_galore_00000372 406615921.790897 415503540.740897 33
trim_galore_00000108 406615921.790897 415503540.740897 32
trim_galore_00000648 406615921.790897 415503540.740897 31
bismark_align_00000531 384225392.910828 391825307.282226 30
bismark_align_00000291 391825307.282226 399425223.300405 30
dfasdfbismark_align_00000423 399425223.300405 407025140.965368 30
bismark_align_00000867 415503540.740897 423103455.15242 35
bismark_align_00000483 415503540.740897 423103455.15242 34
bismark_align_00000807 415503540.740897 423103455.15242 33
bismark_align_00000267 415503540.740897 423103455.15242 32
bismark_align_00000759 415503540.740897 423103455.15242 31
dfasdfbismark_align_00000279 420305031.545333 426492744.570333 30
bismark_align_00000831 423103455.15242 430703371.210725 35
dfasdfbismark_align_00000375 429099550.583149 436699466.641455 34
bismark_align_00000447 423103455.15242 430703371.210725 33
