algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
1 eager 19075314980 0.00022413 2350610.55732494 0.019416008 2137663.00360144 0.045220187 2137663.00360144
1 eager_1000.dot 25705994498 0.015060578 30293889.5289462 0.580691686 28418420.8300469 2.484495353 190823305.972989
1 methylseq_1000.dot 110641579976 0.015873324 265442651.695565 0.364240523 251267621.162152 1.628677974 1713884393.11095
1 chipseq_200.dot 5058052541 0.000842897 2116132.65875809 0.031810562 2455732.47640609 0.06881324 3797865.38990929
1 methylseq_1000.dot 6273818718 0.018018644 16577331.6825664 0.335439635 16588103.4160863 1.171601865 341355654.179553
1 chipseq_4000.dot 41366257414 0.066471111 654075815.135213 0.959710618 337831112.746414 11.426988437 3899166251.89885
1 atacseq_2000.dot 14091675276 0.020334108 107028631.859653 0.698093698 130019015.117426 4.118236269 826861084.689971
1 atacseq_1000.dot 11809629756 0.007500912 22470684.6290549 0.297537299 26443629.9350209 0.865868359 283284437.309014
1 methylseq_200.dot 17027257018 0.002103721 17370623.3213168 0.041811821 17379142.1238793 0.094059102 100738193.094428
1 methylseq_8000.dot 110641579976 0.386352454 2032784087.44694 14.713585297 2023257393.84747 189.939785654 13697281723.6332
1 atacseq_8000.dot 3908761308 0.226615015 137583152.222503 8.013799002 174146432.17331 40.998337844 1048919296.93901
1 methylseq_8000.dot 17027257018 0.546377262 766445329.821659 14.200908931 767374057.61572 142.778016427 5942768557.38384
1 atacseq_10000.dot 14091675276 0.385746492 572004004.473028 10.095696533 669691683.688941 205.252766434 4326010572.56367
1 eager_2000.dot 25705994498 0.068871219 68094732.9388309 1.762983649 67289955.6202806 11.360990543 384121531.017996
1 eager_1000.dot 14754556884 0.01361469 14842921.5322088 0.626041937 17027526.7893792 2.509128005 164928669.179328
1 methylseq_10000.dot 8885797810 0.893857928 496538308.086556 25.678199372 496631581.633731 379.055956965 2966964632.35559
1 atacseq_4000.dot 11809629756 0.067963584 127977239.7273 2.343191221 122676346.312031 14.946268312 1357556118.85375
1 atacseq_1000.dot 14091675276 0.00717517 52487562.7372652 0.268497993 56151549.363311 1.06441977 394157415.733603
1 methylseq_4000.dot 6273818718 0.152413296 78948366.8078428 3.268752154 79102940.8537769 29.624023326 1784038861.27483
1 chipseq_1000.dot 4605965334 0.009366356 27541387.3290752 0.316637739 29259659.487627 0.846569474 293752889.333202
1 atacseq_200.dot 11809629756 0.000917687 379865.797219594 0.036422345 205906.987308169 0.087059725 32344998.5942623
1 eager_8000.dot 19075314980 0.687714161 181052209.18911 15.619779623 247370562.845134 307.553869541 2108123999.42571
1 methylseq_10000.dot 110641579976 0.600096854 2539308691.16943 29.986598427 2531401749.70943 363.871895357 17129320073.7848
1 methylseq_2000.dot 22500260922 0.04910727 42071416.7605116 0.999044575 52504436.0061247 6.567251271 1363840309.15778
1 chipseq_200.dot 32978181418 0.001037407 31099870.9901633 0.028356818 22387306.5029804 0.074721043 200089769.496868
1 chipseq_2000.dot 4605965334 0.023195896 59186489.5750845 0.825753049 64082045.2869306 3.060811389 619596028.229606
1 atacseq_8000.dot 11809629756 0.246174649 270245459.402464 7.686740509 250566806.270002 83.295253652 2667799235.37036
1 chipseq_200.dot 4807293396 0.000847598 2009063.31010154 0.031897083 2397005.07951589 0.095653011 2334632.01926643
1 chipseq_200.dot 3793245764 0.00081439 56167.9110000001 0.032757124 627318.973785582 0.071981545 1930588.15302372
1 eager_8000.dot 19132169434 0.699008641 184509762.729663 15.327239622 249868647.646639 297.535626685 2155185273.62201
1 atacseq_10000.dot 11187378708 0.381620995 326052903.002063 12.303108712 306503335.785131 157.611954765 3239291915.48782
1 chipseq_10000.dot 5058052541 0.255887094 339938658.008251 11.776991624 415209159.638674 80.835151117 3259058759.88623
1 atacseq 3908761308 0.00016547 34791.6616963998 0.006397348 29956.8083490457 0.01436116 30633.9243907123
1 atacseq_4000.dot 11187378708 0.067183233 122509287.594047 2.41097839 122805341.259462 14.882209253 1295429544.35052
1 chipseq_4000.dot 32978181418 0.055283089 799534987.885507 1.360321658 627146066.461472 20.109703898 4843719256.41429
1 eager_4000.dot 19075314980 0.245812284 91218292.2978419 4.500640857 135366980.847017 38.907184968 1003630060.99648
1 methylseq_4000.dot 17027257018 0.144774469 381505555.592023 4.112080766 381964857.567905 27.279298536 3454728511.77526
1 chipseq_1000.dot 41366257414 0.010251259 153882731.447527 0.194384955 89090859.3060739 0.757963695 941440310.813232
1 atacseq_10000.dot 3908761308 0.365600927 172269898.124274 12.47454461 218275140.216033 71.411012342 1341236339.87298
1 eager_1000.dot 19100037384 0.014676558 23733758.984528 0.594622045 26153026.2963175 1.883015608 223725390.441081
1 atacseq 14091675276 0.000157624 3387871.75901372 0.005806411 2826331.05534501 0.012419222 3841834.02545946
1 methylseq_1000.dot 11897958606 0.016505281 65479529.1464828 0.369315255 65572119.062901 1.494437923 403983700.674324
1 atacseq_2000.dot 3908761308 0.020899111 30381720.0549962 0.843949174 41028499.8226401 2.458811495 223180834.32372
1 methylseq 11897958606 0.000105407 18430.4091406487 0.001865195 18427.5635 0.00382409 18427.5635
1 eager 14754556884 0.000229775 520276.843051282 0.019631491 494984.917214542 0.045712393 5178911.6732625
1 chipseq_2000.dot 32978181418 0.020288999 389368931.607567 0.500450054 311772969.099695 3.996582983 2381539167.05581
1 eager_2000.dot 19100037384 0.060291321 45436642.3416396 1.711838564 64319917.3249566 8.728816925 513999312.022871
1 chipseq_2000.dot 5058052541 0.020348219 66343597.7049817 0.831931632 78044244.4827588 2.764899809 744195588.150731
1 atacseq_4000.dot 14091675276 0.066215374 226197178.639397 2.013325551 267110994.686628 21.269169399 1676692094.60888
1 eager_200.dot 25705994498 0.000873414 1937742.90291848 0.069568209 3074899.45194681 0.176090064 24880527.3540225
1 methylseq_200.dot 110641579976 0.002166749 56849194.3389979 0.043978856 53971041.0416167 0.110935369 329256639.303286
1 methylseq 6273818718 0.000107973 9938.89082040022 0.001889513 9936.834125 0.003867088 9936.834125
1 eager 25705994498 0.000221199 1844254.88377606 0.019560226 3004809.41560048 0.045635393 6757950.77153154
1 methylseq_4000.dot 8885797810 0.146108932 195031730.458821 3.959929313 193959926.484774 34.307180869 1161792906.72696
1 chipseq_2000.dot 41366257414 0.025172234 320281217.401266 0.400814489 165447491.871604 2.596343696 1925576919.9262
1 chipseq_8000.dot 5058052541 0.171148512 277920678.096548 8.456956355 328912472.865016 47.642004512 2429639134.40387
1 methylseq_8000.dot 8885797810 0.560013149 395433665.694793 13.362034881 395136019.697599 204.693546348 2365240723.37207
1 chipseq_8000.dot 41366257414 0.199374579 1321949358.98253 2.299535596 678077252.615628 61.48509956 7863825332.09166
1 methylseq_8000.dot 6273818718 0.564170013 162662260.694439 12.059293512 162034059.350906 153.415639368 2987138968.44685
1 chipseq_1000.dot 32978181418 0.008181549 185042350.739356 0.208574197 153694524.277539 1.031014651 1171660915.54545
1 methylseq_10000.dot 6273818718 0.946992112 204722577.530144 20.899366566 204132683.627515 280.712807035 3587223590.33847
1 chipseq_10000.dot 4605965334 0.271069806 316577017.912796 9.214261434 355830912.762158 107.709579208 3029288076.37538
1 methylseq 22500260922 0.000104364 127443.323986769 0.001858722 127438.67936679 0.003803863 127438.67936679
1 methylseq 110641579976 0.000103695 19083288.5698605 0.001863011 19083288.5698596 0.003793451 19083288.645325
1 chipseq_8000.dot 32978181418 0.170879652 1624617430.40444 3.884968808 1258752678.84005 115.959743616 9732831282.62748
1 chipseq_4000.dot 5058052541 0.055023432 138032154.225126 2.518031016 160498900.842146 10.957078412 1384438590.9966
1 eager 8330435694 0.000224644 58447.0274013761 0.019938318 83042.216399797 0.047308524 83059.0033789637
1 eager_4000.dot 25705994498 0.130822433 150173331.110217 5.121348961 143995601.986329 64.252712881 805231005.668918
1 eager_8000.dot 19100037384 0.6908503 181941893.497571 15.378626451 247111906.24436 467.170988454 2306016966.85236
1 methylseq_4000.dot 110641579976 0.114476026 1023778819.54277 4.231025239 1011390755.97684 32.905676264 6858273087.80792
1 chipseq 3793245764 0.000111023 28349.2336104227 0.003537152 28083.9555 0.00779869 28083.9555
1 atacseq_200.dot 14091675276 0.000908474 3570251.38321266 0.037551159 6428899.63089781 0.090857627 72234535.233147
1 eager_10000.dot 19100037384 0.958244176 226985800.660199 22.533847354 316983983.939156 852.229850445 2835837614.63839
1 atacseq_2000.dot 11187378708 0.021834623 55767658.7292678 0.845178754 60802669.9002712 3.301237725 598379978.480809
1 methylseq_10000.dot 11897958606 0.872674304 671531908.512247 26.28547468 672589042.012665 304.662278742 4454380443.18358
1 chipseq_200.dot 4605965334 0.000911781 53078.1372916666 0.032554813 2009566.23759751 0.069551121 4612306.4911167
1 methylseq_2000.dot 11897958606 0.04518037 133357392.789785 1.094229587 133557999.685103 6.315027022 841879116.333111
1 atacseq_200.dot 3908761308 0.000902801 69302.4685337144 0.038135912 32098.3048907123 0.08393313 32098.3048907123
1 eager_8000.dot 8330435694 1.052558565 168667191.725226 29.476097959 224830256.236188 828.885742482 1478424955.94485
1 atacseq_200.dot 2223941232 0.000853007 246097.168226803 0.039042552 20503.6007302425 0.08675489 20503.6007302425
1 chipseq_2000.dot 4807293396 0.020108385 58163775.7455085 0.759037633 68963335.1615367 3.545044271 1023171889.54407
1 eager_10000.dot 19075314980 0.962276184 228723806.074926 24.629593892 320552532.968542 534.15113353 2663887258.72521
1 eager_10000.dot 8330435694 1.626583302 216609057.547192 54.395245097 286904220.866406 1629.162498477 1875561589.12957
1 methylseq_200.dot 8885797810 0.00198513 5454114.56660463 0.043573212 3652811.39376667 0.088160805 14527340.7305757
1 chipseq 32978181418 0.000117659 8637070.21211834 0.003082182 8583227.15022185 0.006669559 12918925.8521809
1 methylseq_2000.dot 6761426956 0.045122576 72743064.102942 1.083677262 71637077.7624322 6.096952099 424233185.697175
1 atacseq_1000.dot 11187378708 0.007834696 21677646.338375 0.293641561 27232754.9998916 0.853834291 270155055.523309
1 eager 19100037384 0.000226154 2363861.07372951 0.01943589 2120173.8305106 0.045493966 2120173.8305106
1 chipseq_10000.dot 32978181418 0.255481418 2033305847.5485 6.48279866 1574125776.20183 220.027808416 12180290453.487
1 methylseq_2000.dot 110641579976 0.039777285 517243295.690319 1.108499407 503872688.422614 6.340518829 3429169606.80601
1 chipseq_8000.dot 3793245764 0.179023072 202504924.467405 6.216834942 252155952.561279 57.74764254 2513446482.9449
