algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
2 eager 19075314980 0.003275358 2195601.35648701 0.025528438 2106937.98936573 0.051155412 2857848.36995363
2 eager_1000.dot 25705994498 0.311829001 29455963.1142791 1.231679796 50945455.8279978 3.14087088 162470562.559859
2 methylseq_1000.dot 110641579976 0.01675173 315378248.632064 0.36667193 316046323.594164 1.552136295 1761996151.40239
2 chipseq_200.dot 5058052541 0.000924766 2118669.91537127 0.032936763 3172529.16498209 0.069860778 3762184.69441465
2 methylseq_1000.dot 6273818718 0.018780278 16587654.7399808 0.330508118 16643451.1118481 1.153990464 347235728.205289
2 chipseq_4000.dot 41366257414 0.100072631 675205530.172995 1.043695928 705211014.655166 11.603724822 3849434394.62085
2 atacseq_2000.dot 14091675276 0.030742369 108092850.585975 0.566450273 145577970.985049 4.032771806 745138101.535639
2 atacseq_1000.dot 11809629756 0.010039369 23455556.5046225 0.283330646 30566171.8013937 0.841983305 277236379.779617
2 methylseq_200.dot 17027257018 0.002118055 17384542.3002618 0.041599713 17383426.7221351 0.094040138 96706439.4687732
2 methylseq_8000.dot 110641579976 0.452276119 2205766733.62334 14.851921177 2202902882.10043 210.40483485 14326289853.3717
2 atacseq_8000.dot 3908761308 0.390528378 136817749.039141 5.648298147 178161436.950162 39.902167392 897696646.541117
2 methylseq_8000.dot 17027257018 0.60781052 766627870.77355 12.518913896 767586633.031258 146.55268448 5987022538.12154
2 atacseq_10000.dot 14091675276 0.637216491 572721938.432786 6.81882205 736145585.6016 206.621245095 4249921671.62984
2 eager_2000.dot 25705994498 1.282108436 67715965.5908851 3.993197449 101151866.882304 14.052146011 406992980.908001
2 eager_1000.dot 14754556884 0.311268705 14036215.7418575 1.279045909 17167547.070729 3.174447932 143306932.259762
2 methylseq_10000.dot 8885797810 0.974732441 496551300.633616 25.18025816 496683450.449798 366.122858326 2966915430.10991
2 atacseq_4000.dot 11809629756 0.109879862 127537835.745574 1.790705205 145942195.278979 14.185249041 1304048525.29535
