algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
3 eager 19075314980 0.001161091 2288604.9255607 0.021072576 1571222.37685503 0.047111456 2143393.11544572
3 eager_1000.dot 25705994498 0.164384209 29077520.2383063 0.670245599 9348082.89947554 2.638288872 150873110.816445
3 methylseq_1000.dot 110641579976 0.173542879 259494321.762831 0.521609473 522413652.710886 1.752882788 1738607366.69168
3 chipseq_200.dot 5058052541 0.006052248 2115117.46037972 0.037995142 51154.8443364432 0.075797833 3758207.91019626
3 methylseq_1000.dot 6273818718 0.222280763 16578199.2125553 0.569960665 300745.960501461 1.420182211 342893123.083433
3 chipseq_4000.dot 41366257414 5.319076365 655292846.28674 11.494744369 288679218.321434 23.015527749 3853631321.4417
3 atacseq_2000.dot 14091675276 0.85451262 104404418.703068 2.10391135 6408023.38613691 5.557854471 756152732.186107
3 atacseq_1000.dot 11809629756 0.145226221 21894056.4531393 0.469273916 1009235.82317763 1.036717396 272422431.085263
3 methylseq_200.dot 17027257018 0.008212459 17373575.546485 0.047885303 138927.35575654 0.10201337 100685454.011772
3 methylseq_8000.dot 110641579976 44.711777594 2029567203.20443 108.519092724 3547425857.92497 325.159880574 13704026016.8563
3 atacseq_8000.dot 3908761308 41.127731221 137128875.935694 93.909958136 1235810.56112732 128.186493601 899519990.7406
3 methylseq_8000.dot 17027257018 46.661319297 766475723.822583 107.990691474 4932221.76329068 262.991716024 5940707285.63941
3 atacseq_10000.dot 14091675276 82.394198232 574649107.881685 176.860130007 30800410.2082058 381.881416728 3856665428.5698
3 eager_2000.dot 25705994498 1.012011136 62256404.0191949 2.696075637 17000343.5369143 12.601184846 372216060.178544
3 eager_1000.dot 14754556884 0.215417467 14578439.9756982 0.747475345 1129094.26132893 2.6404586 144957108.648051
3 methylseq_10000.dot 8885797810 96.81243192 496538242.257995 247.158606771 3025437.5860749 623.684783075 2966994415.41147
3 atacseq_4000.dot 11809629756 5.409573698 129715496.074565 11.702933031 3790869.74436125 24.657730614 1323711986.19656
3 atacseq_1000.dot 14091675276 0.147873495 52410632.5145513 0.467366701 3592072.86574971 1.278342317 356884227.222841
3 methylseq_4000.dot 6273818718 5.557493656 80219094.0033258 12.481905898 1191416.42895246 43.746785353 1784810565.80727
3 chipseq_1000.dot 4605965334 0.155391069 24365938.2590767 0.472981009 189583.691710007 1.015754922 274348733.343623
3 atacseq_200.dot 11809629756 0.007443595 413154.434870842 0.046644945 235145.78434866 0.098219841 31445682.8040313
3 eager_8000.dot 19075314980 50.001244261 181018293.170785 124.959838988 169058548.046837 709.485238901 1790862381.89204
3 methylseq_10000.dot 110641579976 112.239617963 2537432743.37814 248.770851409 4397175751.33183 669.872347738 17181146646.2996
3 methylseq_2000.dot 22500260922 1.136291594 43066307.2735914 2.494698445 6864058.15001796 8.449674233 1358270648.74346
