algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
3 eager 19075314980 0.001176725 2350652.50935848 0.021282697 1591132.86391477 0.047171497 2137663.00360144
3 eager_1000.dot 25705994498 0.175314512 29716984.1656794 0.694384483 8879103.33490497 2.703351084 190823305.972989
3 methylseq_1000.dot 110641579976 0.234470475 265442652.00677 0.628446965 509845770.573078 1.983480717 1713884393.11095
3 chipseq_200.dot 5058052541 0.006193245 2115115.09261854 0.038148205 50899.658 0.075962269 3797865.38990929
3 methylseq_1000.dot 6273818718 0.248690209 16577331.6827678 0.709626531 294725.542788961 1.602228558 341355654.179553
3 chipseq_4000.dot 41366257414 6.839372935 653112969.733841 18.046837271 295256305.41575 29.753461812 3899166251.89885
3 atacseq_2000.dot 14091675276 0.928285161 107353679.321851 2.322058408 6242141.84524189 6.102506732 826861084.689971
3 atacseq_1000.dot 11809629756 0.1864299 22263177.3986267 0.556971055 1050845.32820546 1.320026507 283284437.309014
3 methylseq_200.dot 17027257018 0.008305534 17370623.3213168 0.048325239 132005.481636256 0.10346625 100738193.094428
3 methylseq_8000.dot 110641579976 71.917178315 2032784089.75814 163.499739909 3522607973.9062 486.760694607 13697281723.6332
3 atacseq_8000.dot 3908761308 78.926136349 137781377.254899 154.753670136 1227795.77410076 192.411918822 1048919296.93901
3 methylseq_8000.dot 17027257018 65.970067641 766445329.821659 148.533062904 4884271.72092665 293.287257195 5942768557.38384
3 atacseq_10000.dot 14091675276 136.278840647 573373034.230803 275.253479989 29821181.2301422 621.090831117 4326010572.56367
3 eager_2000.dot 25705994498 1.120371124 68081047.3273573 2.884469848 17452461.1330651 13.548243649 384121531.017996
3 eager_1000.dot 14754556884 0.173579945 15130597.8494543 0.726689162 1119644.36701485 2.798628879 164928669.179328
3 methylseq_10000.dot 8885797810 140.171067168 496538313.743476 330.008764171 2979639.72601478 1016.20207242 2966964632.35559
3 atacseq_4000.dot 11809629756 6.716084154 127821871.234456 18.002678216 3782888.52590755 31.192333072 1357556118.85375
3 atacseq_1000.dot 14091675276 0.194403533 51571859.8336057 0.555670625 3467727.64210662 1.554234451 394157415.733603
3 methylseq_4000.dot 6273818718 8.282413171 78948366.8079313 16.965407206 1175707.00572451 48.780481573 1784038861.27483
3 chipseq_1000.dot 4605965334 0.147822505 26167994.6434904 0.45369996 187286.119270834 0.98913624 293752889.333202
3 atacseq_200.dot 11809629756 0.007194265 384491.594393503 0.045543409 210375.859224425 0.0958041 32344998.5942623
3 eager_8000.dot 19075314980 66.059068469 180830085.040323 161.278817309 167651548.001485 703.722876143 2108123999.42571
3 methylseq_10000.dot 110641579976 132.933402228 2539308695.48064 279.73697844 4356900356.7189 966.067776856 17129320073.7848
3 methylseq_2000.dot 22500260922 0.957778117 42071416.7605116 2.323573073 6837900.52363494 8.251299651 1363840309.15778
3 chipseq_200.dot 32978181418 0.006079084 23988816.5122922 0.035162329 19427530.0063895 0.081755936 200089769.496868
3 chipseq_2000.dot 4605965334 0.858639389 56840145.2976 2.111738281 374068.025624999 4.522130555 619596028.229606
3 atacseq_8000.dot 11809629756 76.514723425 269518492.366896 153.811806435 10152345.6793151 236.217400497 2667799235.37036
3 chipseq_200.dot 4807293396 0.006100278 2008343.05203088 0.048858118 41582.0902083333 0.100148365 2334632.01926643
3 chipseq_200.dot 3793245764 0.005945801 56167.911 0.038583729 56167.911 0.076383444 1930588.15302372
3 eager_8000.dot 19132169434 89.580342658 185091051.587225 182.215232015 88185124.673374 702.470109543 2155185273.62201
3 atacseq_10000.dot 11187378708 126.702371253 325143543.884886 257.476346523 8482940.91977366 475.956636193 3239291915.48782
3 chipseq_10000.dot 5058052541 120.28466307 350348558.523843 251.452263931 1711334.92412502 327.049279845 3259058759.88623
3 atacseq 3908761308 0.000633651 35782.6967751097 0.007353146 34536.204682091 0.015309109 30633.9243907123
3 atacseq_4000.dot 11187378708 7.232192778 122372186.733814 19.445569643 2432929.11263839 32.819119298 1295429544.35052
3 chipseq_4000.dot 32978181418 7.589032462 800879662.992444 14.316149216 294310296.764406 35.1131003 4843719256.41429
3 eager_4000.dot 19075314980 7.50641585 93287941.5969263 20.245797864 81411648.8167481 59.511266137 1003630060.99648
3 methylseq_4000.dot 17027257018 6.31878001 381505555.592023 14.231320595 1857942.4927856 41.753175225 3454728511.77526
3 chipseq_1000.dot 41366257414 0.15306333 153248216.482243 0.427642712 83059661.7127571 0.997007139 941440310.813232
3 atacseq_10000.dot 3908761308 140.71196932 171190028.092541 268.507815021 1508539.27751308 331.928116043 1341236339.87298
3 eager_1000.dot 19100037384 0.226684006 23054213.5931923 0.829817147 11098795.8348146 2.254862413 223725390.441081
3 atacseq 14091675276 0.000647987 1671199.3646578 0.007049084 693313.438971321 0.013654017 3841834.02545946
