algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2
1 eager 19075314980 0.000204243 876688.31110969 0.017510185 2010548.26335228
1 eager_1000.dot 25705994498 0.013861151 28241578.9606086 0.531182992 53930351.1688402
1 methylseq_1000.dot 110641579976 0.013855755 274148383.911094 0.330466765 299711777.945921
1 chipseq_200.dot 5058052541 0.000736508 2116479.07504129 0.028655782 2983752.07841238
1 methylseq_1000.dot 6273818718 0.015733466 16581740.6390202 0.304425913 25629694.1895867
1 chipseq_4000.dot 41366257414 0.058470709 638755318.893867 0.895049364 813089504.634374
1 atacseq_2000.dot 14091675276 0.017547687 104457685.095003 0.668461065 192350740.368797
1 atacseq_1000.dot 11809629756 0.006608121 22218934.5777442 0.2759329 38989160.9453281
1 methylseq_200.dot 17027257018 0.001790801 17369877.0412809 0.037667109 21825377.294857
1 methylseq_8000.dot 110641579976 0.3495335 2118833445.46555 13.791261397 2272008469.40683
1 atacseq_8000.dot 3908761308 0.199267311 142494541.35603 6.020666757 272034894.417988
1 methylseq_8000.dot 17027257018 0.505325534 766517063.722985 12.880473696 1167408605.48805
1 atacseq_10000.dot 14091675276 0.340455691 550869699.546382 8.442997209 994818882.180879
1 eager_2000.dot 25705994498 0.062151356 61182299.188481 1.563352896 111513229.261101
1 eager_1000.dot 14754556884 0.012077058 17679154.7922743 0.601510335 23989854.7826307
1 methylseq_10000.dot 8885797810 0.800590658 496543728.33291 24.814311991 762582622.211264
1 atacseq_4000.dot 11809629756 0.058754165 122342783.571249 1.869832992 211467690.843534
1 atacseq_1000.dot 14091675276 0.006230907 50388719.6692419 0.235269905 89646709.902684
1 methylseq_4000.dot 6273818718 0.136390854 80217724.3993588 3.210329125 120884321.31581
1 chipseq_1000.dot 4605965334 0.00808269 26012348.3433732 0.283599481 45143310.2219679
1 atacseq_200.dot 11809629756 0.000797017 257160.699430015 0.031667096 246456.06729584
1 eager_8000.dot 19075314980 0.633349101 175791274.717125 13.946957156 394094552.904994
1 methylseq_10000.dot 110641579976 0.555727111 2560060322.63698 28.967996325 2766599980.80168
1 methylseq_2000.dot 22500260922 0.043057798 44489272.5709779 0.880994383 73057077.7678635
1 chipseq_200.dot 32978181418 0.000890613 20632381.7555444 0.026028504 43326534.7328127
1 chipseq_2000.dot 4605965334 0.01983665 57209116.0382951 0.700862078 109738256.967636
1 atacseq_8000.dot 11809629756 0.214533516 259565667.096842 6.36020354 421493234.384665
1 chipseq_200.dot 4807293396 0.000737559 3013586.73873695 0.02862997 2316296.44211047
1 chipseq_200.dot 3793245764 0.000698963 60137.1093506434 0.028769675 676112.759239589
1 eager_8000.dot 19132169434 0.629915855 176813033.870701 13.240184862 368360966.617542
1 atacseq_10000.dot 11187378708 0.330814986 286852019.924531 9.266136318 520609540.779075
1 chipseq_10000.dot 5058052541 0.22219273 353538381.448793 11.56659782 686566329.165537
1 atacseq 3908761308 0.000130266 45632.89506396 0.005535586 28112.8238185087
1 atacseq_4000.dot 11187378708 0.058539739 114306483.496235 1.911525531 198245578.566477
1 chipseq_4000.dot 32978181418 0.049335316 766937544.588136 0.923921029 1000997939.34899
1 eager_4000.dot 19075314980 0.229578761 87620649.1536276 3.777099437 182006470.612625
1 methylseq_4000.dot 17027257018 0.15615166 381535824.213532 3.849794129 583065362.736548
1 chipseq_1000.dot 41366257414 0.008761371 162771323.32097 0.171905844 205169189.351813
1 atacseq_10000.dot 3908761308 0.30994616 177465067.48276 9.154158983 341702182.662278
1 eager_1000.dot 19100037384 0.013197903 24534515.7085766 0.713614102 34735394.2600768
1 atacseq 14091675276 0.000130191 695874.995240957 0.005072725 3537558.05314634
1 methylseq_1000.dot 11897958606 0.015260115 65486125.8925866 0.354075697 98631880.9051326
1 atacseq_2000.dot 3908761308 0.017537928 28759344.3150865 0.859464832 57048847.1790981
1 methylseq 11897958606 9.3835e-05 21157.4811131383 0.001719494 21139.7417264395
1 eager 14754556884 0.000204632 282385.513612002 0.017712365 523538.941667601
1 chipseq_2000.dot 32978181418 0.01758123 378062958.016837 0.422627096 501629660.668119
1 eager_2000.dot 19100037384 0.055440167 44948332.4518341 1.628029466 84630811.4717566
1 chipseq_2000.dot 5058052541 0.017337273 64685443.5181002 0.744085466 124901501.049001
1 atacseq_4000.dot 14091675276 0.058101695 216644847.397212 1.410492791 417545937.58834
1 eager_200.dot 25705994498 0.000781064 1942660.47541297 0.060997114 2366586.86833281
1 methylseq_200.dot 110641579976 0.001869474 46393875.3302746 0.039300475 55885685.5498863
1 methylseq 6273818718 0.000104049 13268.9058475763 0.001667502 13246.6718873083
1 eager 25705994498 0.000193287 1790677.52517478 0.017261849 2569700.36398402
1 methylseq_4000.dot 8885797810 0.132856201 195030550.144114 3.647238765 292152198.751716
1 chipseq_2000.dot 41366257414 0.048445911 325690611.675651 0.40300103 414951985.698106
1 chipseq_8000.dot 5058052541 0.158042688 273998835.489897 7.345735156 544943239.724603
1 methylseq_8000.dot 8885797810 0.503637475 395443053.784012 12.516249533 601435055.203253
1 chipseq_8000.dot 41366257414 0.202043473 1292352222.96342 2.326552011 1705305306.23575
1 methylseq_8000.dot 6273818718 0.513006439 162765744.117893 11.037733677 249092693.346993
1 chipseq_1000.dot 32978181418 0.007097107 189000441.415102 0.183564595 257557551.586381
1 methylseq_10000.dot 6273818718 0.80282123 204799024.324563 22.106388559 309899619.078135
1 chipseq_10000.dot 4605965334 0.240379696 305810295.914295 8.04112293 607580832.446747
1 methylseq 22500260922 9.6948e-05 66635.9236830591 0.001664171 66613.4140195864
1 methylseq 110641579976 9.5513e-05 23302991.8411003 0.001631968 23302954.6651316
1 chipseq_8000.dot 32978181418 0.165981134 1563663367.84102 2.394899871 2073247608.74559
1 chipseq_4000.dot 5058052541 0.048493307 134838850.593438 2.22445234 260801926.950885
1 eager 8330435694 0.000200692 81309.4562904138 0.017660577 74756.617900733
1 eager_4000.dot 25705994498 0.121155658 135005216.934704 4.552131383 240711385.985251
1 eager_8000.dot 19100037384 0.661698207 173004226.448174 14.899848288 391406013.098706
1 methylseq_4000.dot 110641579976 0.101800709 1035454194.86196 3.905787622 1120057754.3779
1 chipseq 3793245764 9.4222e-05 26393.3531643297 0.003183133 25994.9600471866
1 atacseq_200.dot 14091675276 0.000788765 1070274.96821816 0.032748043 5616378.16046908
1 eager_10000.dot 19100037384 0.876525777 214678020.545385 20.990405956 455478589.99252
1 atacseq_2000.dot 11187378708 0.01894976 52423068.8938205 0.814999329 90816825.1241613
1 methylseq_10000.dot 11897958606 0.788510019 671551982.814361 30.821156637 1013926710.7518
1 chipseq_200.dot 4605965334 0.000782095 53886.5907362972 0.02962755 1924058.3644948
1 methylseq_2000.dot 11897958606 0.039950822 133367991.717576 1.018198496 199729505.200894
1 atacseq_200.dot 3908761308 0.000752952 92702.846412331 0.032587654 36080.7528571558
1 eager_8000.dot 8330435694 1.046217817 152799087.800581 18.41373706 263463763.311725
1 atacseq_200.dot 2223941232 0.000740012 109316.214549411 0.03321495 22188.0043566752
1 chipseq_2000.dot 4807293396 0.017289794 57127280.9872978 0.699429044 105824560.666645
1 eager_10000.dot 19075314980 0.857965415 218437181.611572 20.869699626 463387837.261867
1 eager_10000.dot 8330435694 1.615422947 194839494.117098 25.870279095 331740323.716649
1 methylseq_200.dot 8885797810 0.001753704 5438160.82201361 0.036941541 5476273.05155306
1 chipseq 32978181418 9.3881e-05 9173291.29333599 0.00285841 12586713.6816088
1 methylseq_2000.dot 6761426956 0.040481838 72747842.0565837 0.98082946 110025249.089152
1 atacseq_1000.dot 11187378708 0.007006436 21428724.3207659 0.275576821 36643679.5472118
1 eager 19100037384 0.000198106 1150077.75731218 0.017377973 2402682.16532328
1 chipseq_10000.dot 32978181418 0.225561043 1977130219.91408 3.597889757 2661324933.85997
1 methylseq_2000.dot 110641579976 0.051805031 509922768.269464 1.044203843 540272218.00018
1 chipseq_8000.dot 3793245764 0.157890324 200053502.499917 5.594838042 413263543.186971
1 eager_4000.dot 19132169434 0.230629085 88084591.407746 3.750295593 176337521.280895
1 chipseq_1000.dot 4807293396 0.007066311 22940034.3265067 0.251497529 43478054.3154561
1 methylseq_200.dot 6761426956 0.001737231 4144730.84203953 0.037246117 4756208.03832437
1 methylseq 17027257018 9.9541e-05 26267.7777015248 0.001675491 26244.9913948442
1 eager_1000.dot 8330435694 0.011852861 15084073.2777877 0.627465015 20363090.5802271
1 chipseq_4000.dot 3793245764 0.051419564 99176104.9542087 1.935710916 199362742.639907
1 methylseq_200.dot 11897958606 0.001796456 12153982.6775277 0.038363048 15957865.0851047
1 atacseq_1000.dot 3908761308 0.006782611 9127304.88218168 0.282947383 20118247.9477031
1 chipseq_1000.dot 3793245764 0.007704338 22772413.4687067 0.275699759 36298191.7627478
1 atacseq_2000.dot 11809629756 0.018556999 53642605.801442 0.806411724 94878086.319708
1 eager_4000.dot 8330435694 0.226862397 71363045.4629146 5.219949546 117716609.815833
1 methylseq_200.dot 22500260922 0.001766341 3683550.56519543 0.037008594 5084336.85859437
1 eager_4000.dot 14754556884 0.194331175 65895066.3863117 4.452381261 144370050.23398
1 methylseq 6761426956 9.975e-05 3759.93898978752 0.001665535 3740.97318000507
1 eager_200.dot 19100037384 0.000736898 1037855.23113868 0.061173718 2213546.03571155
1 chipseq_1000.dot 5058052541 0.007174794 28618398.5814436 0.272460924 53250176.9991851
1 methylseq_2000.dot 8885797810 0.040691375 95732208.9912663 1.002298938 144020176.34408
1 chipseq 41366257414 9.7034e-05 12260353.8732098 0.002647214 10721227.9675173
1 eager_2000.dot 19075314980 0.054703244 43719100.8523208 1.46262622 84283364.3774613
1 eager_2000.dot 19132169434 0.05417677 44094897.8836473 1.532025868 81982578.9045447
1 atacseq_200.dot 11187378708 0.000772797 128649.084465865 0.031424293 120322.566431265
1 atacseq_8000.dot 14091675276 0.212667064 435965448.568833 3.883741887 836680833.634522
1 eager_10000.dot 19132169434 0.932314338 218259747.583185 20.975876179 492795944.395129
1 methylseq_8000.dot 11897958606 0.532330629 535797976.287017 12.366802961 806156801.225494
1 eager_1000.dot 19075314980 0.013583276 22178984.0226377 0.639963872 31949295.5195541
1 eager_10000.dot 25705994498 0.459336684 331929209.28736 22.791190023 605170959.667733
1 atacseq 11187378708 0.000132983 144856.892193448 0.005337288 131296.167451357
1 chipseq 5058052541 9.1733e-05 27528.4588168453 0.002986445 27152.775868486
1 eager_8000.dot 14754556884 0.464231358 129782774.211985 14.501548892 281801713.24921
1 eager_10000.dot 14754556884 0.624672205 165545353.44982 23.458050273 369229745.313132
1 methylseq_8000.dot 6761426956 0.506101517 300496418.545755 12.552968503 457980014.333781
1 atacseq_10000.dot 11809629756 0.33581741 302689797.918874 8.813299832 529401049.561594
1 eager_200.dot 19075314980 0.000757438 2245300.93901379 0.061315101 2600278.64605294
1 chipseq 4807293396 9.4626e-05 18282.2652573962 0.002989005 17901.4179639886
1 methylseq_10000.dot 6761426956 0.803300004 377323516.503911 24.921223693 571601598.173469
1 methylseq_1000.dot 22500260922 0.015919883 21826066.9195519 0.342591317 39638597.9969242
1 methylseq_8000.dot 22500260922 0.485956086 178106422.499179 12.076335792 308804109.072114
1 atacseq_1000.dot 2223941232 0.0068592 1304051.40761047 0.291516201 8545683.0806202
1 atacseq_4000.dot 3908761308 0.0546449 64656614.5580032 1.749817951 130218937.665087
1 chipseq_10000.dot 3793245764 0.237921839 251728362.183624 8.281913061 536109668.927147
1 eager_1000.dot 19132169434 0.01317195 21240875.7907882 0.62394535 35489311.3237481
1 eager_8000.dot 25705994498 0.312137067 267597827.357626 14.542650926 480999617.068179
1 methylseq_2000.dot 17027257018 0.041827821 190804240.528798 1.052828514 289261733.582552
1 methylseq_4000.dot 6761426956 0.131255828 148207151.185002 3.727069156 221094180.296561
1 chipseq_8000.dot 4807293396 0.164158486 259205827.470745 7.113715276 470924714.603763
1 eager_4000.dot 19100037384 0.226229426 86846961.3136712 4.441207413 179696068.938737
1 eager_2000.dot 14754556884 0.062398293 33887116.4495001 1.63513082 58656270.1067909
1 methylseq_4000.dot 22500260922 0.135445474 94321751.2864784 3.11023971 157879007.739663
1 atacseq_8000.dot 2223941232 0.212511642 89777855.8170496 6.912759099 151552000.138099
1 chipseq_200.dot 41366257414 0.000904719 19911536.8321982 0.026200208 35667537.5728725
1 eager_200.dot 19132169434 0.000731035 1008316.08623974 0.061395998 2094511.78172063
1 atacseq_4000.dot 2223941232 0.064358426 37033398.314183 1.987896335 69486242.0281544
1 chipseq_10000.dot 41366257414 0.257801126 1621056644.59273 3.223994239 2110357729.726
1 chipseq_4000.dot 4605965334 0.053497765 117576756.001799 1.866726111 234299553.076015
1 atacseq_10000.dot 2223941232 0.328147366 115202632.563435 10.261584597 191784759.797195
1 eager_2000.dot 8330435694 0.043044821 33760514.3089478 1.671236855 49396098.5496853
