algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2
3 eager 19075314980 0.001053151 912669.72927928 0.018873375 1591132.86391477
3 eager_1000.dot 25705994498 0.153214325 29806601.2938858 0.616863026 7952889.01559134
3 methylseq_1000.dot 110641579976 0.148160579 265442678.311565 0.449073076 513426653.164943
3 chipseq_200.dot 5058052541 0.005458273 2154670.2490008 0.033766141 50899.658
3 methylseq_1000.dot 6273818718 0.143671216 16577355.149982 0.448639546 294714.574788961
3 chipseq_4000.dot 41366257414 7.76763879 635637839.707527 15.982793491 295545906.527959
3 atacseq_2000.dot 14091675276 0.899786935 103802236.210432 2.052607419 6239820.95074189
3 atacseq_1000.dot 11809629756 0.143603283 24047839.1068373 0.441445137 1050586.83622629
3 methylseq_200.dot 17027257018 0.007342924 17370642.5000163 0.041947147 130560.015282089
3 methylseq_8000.dot 110641579976 57.324333243 2032784114.06294 147.272546534 3522194394.69461
3 atacseq_8000.dot 3908761308 71.700557659 136483076.3223 151.013357566 1222514.26897576
3 methylseq_8000.dot 17027257018 67.745448034 766445344.691455 145.079619694 4829343.99946832
3 atacseq_10000.dot 14091675276 148.411217229 534920103.638895 329.949511924 29813058.0993922
3 eager_2000.dot 25705994498 0.975946239 67061901.0429356 2.581641023 16680613.6951917
3 eager_1000.dot 14754556884 0.150504031 16776494.5918465 0.64444172 1119624.54454824
3 methylseq_10000.dot 8885797810 141.684106614 496538325.464714 317.263654935 3900328.86621253
3 atacseq_4000.dot 11809629756 7.057832606 119123762.081574 14.766610434 3572512.22712775
3 atacseq_1000.dot 14091675276 0.150520649 52249214.0980446 0.433926393 3466567.19485661
3 methylseq_4000.dot 6273818718 5.066868144 78948378.133151 11.891186506 1175630.22972451
3 chipseq_1000.dot 4605965334 0.131512953 25697605.7314854 0.417624164 185773.480520834
3 atacseq_200.dot 11809629756 0.006631514 224905.525953958 0.0411267 210634.351203592
3 eager_8000.dot 19075314980 87.360527587 174484159.836015 196.731613501 167651401.155484
3 methylseq_10000.dot 110641579976 150.642998908 2539308717.78543 323.859909952 4356407832.28523
3 methylseq_2000.dot 22500260922 0.834220008 42071429.5511063 1.986538575 4928639.54398062
3 chipseq_200.dot 32978181418 0.005601999 25873789.5021357 0.031369493 19427384.1489441
3 chipseq_2000.dot 4605965334 0.831787867 58175004.7842337 1.982923388 371546.961041666
3 atacseq_8000.dot 11809629756 69.959677518 241132024.888086 148.18256837 10149588.4315373
3 chipseq_200.dot 4807293396 0.005494988 3011326.9690427 0.033966599 41582.0902083333
3 chipseq_200.dot 3793245764 0.005453734 56167.9110000001 0.036159678 56167.911
3 eager_8000.dot 19132169434 87.269636032 172981565.128985 196.644593329 88184946.4803738
3 atacseq_10000.dot 11187378708 138.910271904 290965849.72435 297.929517223 8479809.28244033
3 chipseq_10000.dot 5058052541 137.265794687 338401959.703304 296.216453465 1705138.54300002
3 atacseq 3908761308 0.000581857 59068.3695826258 0.006652411 34536.204682091
3 atacseq_4000.dot 11187378708 6.850189526 116198145.516273 13.988982828 2430580.83163127
3 chipseq_4000.dot 32978181418 5.455385634 771833957.175139 11.742942859 294304782.326125
3 eager_4000.dot 19075314980 7.336777487 88622909.0604186 15.830870976 82674464.3508423
3 methylseq_4000.dot 17027257018 5.540728099 381505566.942365 12.211266588 2414691.11870597
3 chipseq_1000.dot 41366257414 0.144357519 152081692.60912 0.400219553 83379574.2205216
3 atacseq_10000.dot 3908761308 144.306288916 168192355.141293 308.121114931 1502853.39025301
3 eager_1000.dot 19100037384 0.165090005 21791153.568272 0.639655508 10862947.087901
3 atacseq 14091675276 0.000586284 762624.535912517 0.006172489 693313.438971321
3 methylseq_1000.dot 11897958606 0.14675073 65479546.9502647 0.447203195 515379.150553366
