algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
2 eager 19075314980 0.003240519 1103643.93439113 0.02411041 1772490.95603364 0.049526607 2182801.49173335
2 eager_1000.dot 25705994498 0.321155232 27976227.1711441 0.887193578 44542510.7481622 2.490809541 312729512.32288
2 methylseq_1000.dot 110641579976 0.01644307 268162250.369946 0.369670027 255795855.34232 1.505552399 1718960063.12543
2 chipseq_200.dot 5058052541 0.000927423 2182838.14685733 0.033262832 3508022.14700189 0.068014134 3676219.79645503
2 methylseq_1000.dot 6273818718 0.018457631 16635726.3464402 0.328154873 16527278.2469522 1.219148214 375384104.365839
2 chipseq_4000.dot 41366257414 0.100143399 654814812.887083 0.936435247 714180454.462179 9.040298943 4121884232.94676
2 atacseq_2000.dot 14091675276 0.030818165 107114539.1129 0.559013523 141994479.982977 2.039665131 1178166420.43176
2 atacseq_1000.dot 11809629756 0.009849165 21778967.3589903 0.270951813 31160325.5475787 0.865352463 398142842.61581
2 methylseq_200.dot 17027257018 0.002052701 17466710.876004 0.041477557 17521101.7155653 0.094168697 101257553.032891
2 methylseq_8000.dot 110641579976 0.47068262 2054341211.75111 14.963620421 2058623624.47921 201.895630618 13780878728.419
2 atacseq_8000.dot 3908761308 0.404449774 135909714.39391 5.586106385 178822552.510129 38.600696722 3183067035.85671
2 methylseq_8000.dot 17027257018 0.601402082 769562724.304316 12.57293458 772611414.938651 141.512239214 5949300893.13046
2 atacseq_10000.dot 14091675276 0.634227421 541878792.584567 6.630049819 733397243.459386 78.112496488 6259346897.77616
2 eager_2000.dot 25705994498 1.285934872 63119733.0198522 2.808496636 96830280.4355176 11.78293482 679622782.772475
2 eager_1000.dot 14754556884 0.314838073 14383444.4922149 0.954911915 16541346.6392528 2.768067016 321151583.93401
2 methylseq_10000.dot 8885797810 0.975824298 496607737.489504 24.423172065 500593312.741599 383.94251626 2968429418.0802
2 atacseq_4000.dot 11809629756 0.109711895 122470793.840369 1.731745039 144900331.319849 13.465871457 2106125971.62149
2 atacseq_1000.dot 14091675276 0.009654079 51219663.1513196 0.258926589 68162028.9133589 0.672250795 556380444.295666
2 methylseq_4000.dot 6273818718 0.166957805 79006089.2142364 3.126263393 78835515.666343 32.042692057 1814179823.43596
2 chipseq_1000.dot 4605965334 0.010445264 24845347.5469388 0.291783312 25296312.5090983 0.855480969 366035028.552097
2 atacseq_200.dot 11809629756 0.001010216 290530.340936934 0.035907297 283345.123412313 0.084175474 32510233.3222256
2 eager_8000.dot 19075314980 19.633150964 173459705.38415 32.666226039 275729942.963864 297.233912851 2181148365.56742
2 methylseq_10000.dot 110641579976 0.692500951 2566055606.19824 30.653377057 2574264363.1105 362.814355933 17234468756.834
2 methylseq_2000.dot 22500260922 0.051746378 42221320.8300664 0.95926117 53313345.1557599 6.449612522 1365326980.74778
