algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
1 eager 19075314980 0.00023213 2206378.29022098 0.019451456 2137662.62654807 0.045462439 2137662.62654807
1 eager_1000.dot 25705994498 0.015290053 29629588.7605328 0.724186586 42600699.565789 2.665591349 337134076.704506
1 methylseq_1000.dot 110641579976 0.015623851 265442678.311565 0.318367186 265240086.880358 1.519314631 1710494187.60089
1 chipseq_200.dot 5058052541 0.000856681 3155990.2975679 0.031804243 2483400.80896391 0.074512378 37928930.0033458
1 methylseq_1000.dot 6273818718 0.017975954 16577333.1343806 0.333661228 16594149.0548578 1.188554704 341355676.352632
1 chipseq_4000.dot 41366257414 0.068927128 648687274.514294 1.061210413 709435528.932386 9.448728653 4265186083.76795
1 atacseq_2000.dot 14091675276 0.020778159 107048739.541852 0.651998884 108782449.446444 2.473242406 892307888.271541
1 atacseq_1000.dot 11809629756 0.00741891 23173726.2053876 0.308481059 29799404.4781901 0.946319429 384351872.563506
1 methylseq_200.dot 17027257018 0.002064736 17370621.7702448 0.043285853 17379142.1238793 0.098215712 100738193.094428
1 methylseq_8000.dot 110641579976 0.39033049 2032784114.06294 14.082997979 2040174463.00582 202.648515318 13699494146.2891
1 atacseq_8000.dot 3908761308 0.229802911 141265089.148209 6.983288707 168126549.011218 44.641950311 1648548213.60258
1 methylseq_8000.dot 17027257018 0.563723338 766445344.691455 14.669695553 767375179.472995 152.957073147 5942768556.35793
1 atacseq_10000.dot 14091675276 0.393188403 534832899.263322 6.011299549 565930688.478307 95.060591912 4581467580.60794
1 eager_2000.dot 25705994498 0.069517178 68060624.8150077 1.744366117 108523556.017315 11.830662451 538505085.716525
1 eager_1000.dot 14754556884 0.013196918 17572870.8748505 0.657249824 20440281.3748683 2.442633442 300044752.725758
1 methylseq_10000.dot 8885797810 0.890967369 496538311.271902 25.434449344 497358993.27606 351.852050168 4308257365.52071
1 atacseq_4000.dot 11809629756 0.067366258 126205391.327902 2.287745971 135306825.465834 9.241447402 1200162468.70125
1 atacseq_1000.dot 14091675276 0.007123615 51893465.5493457 0.273417164 48935476.4263419 0.781659229 425483131.562244
1 methylseq_4000.dot 6273818718 0.153639269 78948378.133151 3.476215801 79102962.4171628 31.018629373 1784038883.21083
1 chipseq_1000.dot 4605965334 0.009380194 26946628.3617397 0.311902039 33786043.2426225 0.84375327 252183329.989659
1 atacseq_200.dot 11809629756 0.000914258 221756.461535114 0.03698873 206423.998859087 0.08378299 30171684.5262668
1 eager_8000.dot 19075314980 0.701670038 180167915.922258 22.840327266 317002932.059431 486.736803278 2409466810.82622
1 methylseq_10000.dot 110641579976 0.600233047 2539308717.78543 20.07953018 2546840767.63547 381.838790613 17139100919.1512
1 methylseq_2000.dot 22500260922 0.04855103 42071429.5511063 1.01059657 42355981.2904612 6.941948046 1363840309.15784
1 chipseq_200.dot 32978181418 0.001035472 28952136.3717041 0.030103731 33292170.684201 0.076363987 273818544.972424
1 chipseq_2000.dot 4605965334 0.022931177 57421138.1855436 0.832744859 69268669.9784485 2.890746211 553896207.057674
1 atacseq_8000.dot 11809629756 0.244570033 248804345.121814 6.60793689 277768503.19108 45.765732323 3156723386.65896
1 chipseq_200.dot 4807293396 0.000844358 2994045.72266486 0.032060917 2409277.25967098 0.070692132 36552096.769955
1 chipseq_200.dot 3793245764 0.000809718 56167.9110000001 0.033663096 749638.944232714 0.076991815 12708161.0749411
1 eager_8000.dot 19132169434 0.692022675 181997628.640266 22.508176641 319020119.61011 475.672040056 2381751236.50957
1 atacseq_10000.dot 11187378708 0.392144521 297144464.091535 9.333257234 333350831.443875 79.706463499 3866511338.20851
1 chipseq_10000.dot 5058052541 0.260125909 343602176.376593 12.462384221 476290347.946543 90.70079135 3248451034.22969
1 atacseq 3908761308 0.000159156 55562.4026291754 0.006468792 29956.8083490457 0.0144985 30633.9243907123
1 atacseq_4000.dot 11187378708 0.067730792 119102191.413987 2.338582581 131189496.674744 9.206242685 1140986759.32325
1 chipseq_4000.dot 32978181418 0.06325497 801627647.928454 1.436179245 891039557.205978 21.410125786 7501466205.96766
1 eager_4000.dot 19075314980 0.24410298 90870255.3159132 5.669460164 150494505.523617 54.70054858 1137983938.8959
1 methylseq_4000.dot 17027257018 0.147066777 381505566.942365 4.13221968 381966233.614223 28.078975903 3454728511.77526
1 chipseq_1000.dot 41366257414 0.010208751 153585445.963057 0.1961728 169223232.224839 0.670719198 1132364950.30556
1 atacseq_10000.dot 3908761308 0.354399793 175720758.816487 10.191961064 211129949.971792 71.683029653 2203734591.99115
1 eager_1000.dot 19100037384 0.014692768 24148459.2679393 0.645994562 28513403.9562514 1.938462921 229821720.475017
1 atacseq 14091675276 0.000162267 3010560.32565464 0.005902445 2801411.717984 0.012547835 3841834.02545946
1 methylseq_1000.dot 11897958606 0.016445467 65479529.8676151 0.358122461 65572121.2992906 1.474474926 403983700.40998
1 atacseq_2000.dot 3908761308 0.020512126 29375602.3534839 0.831574661 41249465.7195416 2.247413178 270028960.34945
1 methylseq 11897958606 0.000109606 18441.8166653709 0.001819996 18427.5635 0.003750057 18427.5635
1 eager 14754556884 0.000225176 561018.393167068 0.01952257 505630.98743924 0.047610255 5178880.28608649
1 chipseq_2000.dot 32978181418 0.020350552 390487320.311611 0.548240291 441669262.4484 4.15939291 3674858224.5825
1 eager_2000.dot 19100037384 0.062133122 47299322.3721778 1.858445667 72534324.4719305 6.87253859 467172903.469559
1 chipseq_2000.dot 5058052541 0.02028925 67433010.5913781 0.802845425 90056445.3768725 2.705705765 578324140.137775
1 atacseq_4000.dot 14091675276 0.066679728 224925482.69549 1.603710942 219343805.402919 9.851317604 1793154042.1408
1 eager_200.dot 25705994498 0.000882928 2010959.07383027 0.070043013 3318096.72797279 0.166971143 32375310.3150538
1 methylseq_200.dot 110641579976 0.002147892 56849220.9549982 0.041660025 55656600.0971805 0.108773478 322884461.917145
1 methylseq 6273818718 0.000105335 9950.21661322558 0.001832008 9936.834125 0.003783072 9936.834125
1 eager 25705994498 0.000217238 1980446.95413917 0.019401698 3004809.41560048 0.045102432 6757950.37401521
1 methylseq_4000.dot 8885797810 0.147104603 195031743.032696 4.370826442 195351513.355188 34.67342893 1642860923.24967
1 chipseq_2000.dot 41366257414 0.025360873 319670915.697083 0.43287949 349493956.584831 2.199500548 2141239670.1235
1 chipseq_8000.dot 5058052541 0.174095154 274859534.776403 8.371048194 380109787.475312 45.743214926 2538070337.59592
1 methylseq_8000.dot 8885797810 0.554694841 395433678.268725 15.820556127 396089352.030206 211.477481746 3403590416.79896
1 chipseq_8000.dot 41366257414 0.199620857 1313749747.99798 2.858879964 1464320274.47051 45.181479547 8687421504.02321
1 methylseq_8000.dot 6273818718 0.570088399 162662388.307131 13.245149711 163213993.479037 152.373184112 2987138990.38285
1 chipseq_1000.dot 32978181418 0.008197094 186235464.457658 0.207365813 215519720.879223 1.032271153 1791923626.14203
1 methylseq_10000.dot 6273818718 0.908161193 204722702.895916 22.342417715 205281040.725946 269.60384916 3587223612.27447
1 chipseq_10000.dot 4605965334 0.293184012 300591838.858007 9.022912051 387609964.559865 103.126000468 3059901618.40677
1 methylseq 22500260922 0.000110369 127455.682323359 0.001844119 127438.67936679 0.00378687 127438.67936679
1 methylseq 110641579976 0.000109418 19083317.1858612 0.001793293 19083288.5698596 0.003721313 19083288.645325
1 chipseq_8000.dot 32978181418 0.172921971 1625204561.04087 4.834661579 1831898029.28908 126.529773971 15196781437.041
1 chipseq_4000.dot 5058052541 0.055219595 137381899.476854 2.447627295 183968013.085325 13.007035859 1256874787.41854
1 eager 8330435694 0.000232292 75262.7831290675 0.01990022 83051.9164670149 0.047681476 83058.6312586816
1 eager_4000.dot 25705994498 0.132713829 144328015.328648 4.908792229 210758842.329393 61.724102148 899269646.153976
1 eager_8000.dot 19100037384 0.664833979 180407433.741434 21.978354432 315447628.312138 465.176757746 2379563431.09542
1 methylseq_4000.dot 110641579976 0.115463135 1023778846.15877 3.245712152 1025989495.86821 33.18960255 6847138768.47433
1 chipseq 3793245764 0.000109083 28482.0629183208 0.003576188 28083.9555 0.0078681 28083.9555
1 atacseq_200.dot 14091675276 0.000906284 4039957.92888118 0.036198274 4174383.75797253 0.083324147 81804069.9071075
1 eager_10000.dot 19100037384 0.979982777 228480944.629528 36.996959474 399279873.799533 800.460760814 2922274137.41223
1 atacseq_2000.dot 11187378708 0.021865722 54511518.0392047 0.83791249 62608150.7912935 3.509884535 789826451.394781
1 methylseq_10000.dot 11897958606 0.887926851 671531909.23338 25.662759306 672589047.141735 329.758822376 4454380442.60924
1 chipseq_200.dot 4605965334 0.000907578 53078.1372916666 0.034171852 2313552.61474857 0.075081132 13895912.964083
1 methylseq_2000.dot 11897958606 0.045680597 133357405.84729 1.155733052 133557999.711707 6.339236332 841879116.068767
1 atacseq_200.dot 3908761308 0.000892949 518545.916979286 0.039801322 441684.062592299 0.085959193 6456763.70333589
1 eager_8000.dot 8330435694 1.095244234 162350592.080405 30.726047861 232817697.573519 812.189533225 1381992532.16314
1 atacseq_200.dot 2223941232 0.00085619 372443.526656048 0.043962345 611521.720622927 0.097517909 2854203.4130216
1 chipseq_2000.dot 4807293396 0.020229657 58294809.4360875 0.780875717 82208365.0902544 2.971912741 779348412.300699
1 eager_10000.dot 19075314980 0.948149997 225106029.099919 36.220039157 397838241.895314 862.700459389 2943987715.55864
1 eager_10000.dot 8330435694 1.575898151 205438676.276217 49.983890605 295551655.589302 1484.465345963 1690298818.62939
1 methylseq_200.dot 8885797810 0.001992739 5454115.85145463 0.042095598 5454117.09502474 0.088109008 20205027.9140682
1 chipseq 32978181418 0.00010834 8637304.8344252 0.003102501 8583227.15022185 0.006729445 12906414.4182801
1 methylseq_2000.dot 6761426956 0.045195373 72743065.1017328 1.135143063 72858601.0280053 5.977549541 427758962.853762
1 atacseq_1000.dot 11187378708 0.00780673 22414214.4221742 0.312891463 27837124.5450242 0.949530335 366324641.623229
1 eager 19100037384 0.000222158 2188822.32029008 0.019414166 2120173.45345719 0.045523152 2120173.45345719
1 chipseq_10000.dot 32978181418 0.259684054 2037039764.40339 7.188521088 2299042348.26409 235.525305201 18986464157.6838
1 methylseq_2000.dot 110641579976 0.039370905 517243322.306319 0.935253305 517845154.166004 6.285778711 3409142118.71082
1 chipseq_8000.dot 3793245764 0.181192141 203170104.257937 5.802799379 262951535.774573 52.805747289 1902770686.55945
1 eager_4000.dot 19132169434 0.245202878 90869849.7868134 5.577492346 151075837.87385 56.648683671 1142489345.79432
1 chipseq_1000.dot 4807293396 0.008284037 23393362.1084535 0.299478451 34498564.8546178 0.925146999 365192284.090126
1 methylseq_200.dot 6761426956 0.001987487 4144868.18514626 0.042811461 4144867.1858325 0.089905064 11104302.2273415
1 methylseq 17027257018 0.000106851 21799.6016884726 0.001822014 21781.1225 0.003791246 21781.1225
1 eager_1000.dot 8330435694 0.013046632 16051040.8007297 0.665104341 15520554.7187692 2.106440699 89073321.1813467
1 chipseq_4000.dot 3793245764 0.059361686 101684500.245033 2.06306352 124922674.691312 11.299399836 932936265.092097
1 methylseq_200.dot 11897958606 0.00205529 12146929.974137 0.042637087 12154627.3236169 0.096479944 52360529.9673402
1 atacseq_1000.dot 3908761308 0.007889253 9351822.27726099 0.353686269 15319319.5525558 0.796477867 148863855.158057
1 chipseq_1000.dot 3793245764 0.008918152 22142779.5740201 0.328014156 27147752.107048 0.901188435 203049300.518263
1 atacseq_2000.dot 11809629756 0.021363867 56001133.5251963 0.828687075 65583976.8258452 3.508842006 824923931.079393
1 eager_4000.dot 8330435694 0.23618213 73776790.9503065 8.167681161 110644833.262278 86.616928583 672742693.15532
