algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
4 eager 19075314980 0.000228166 686634.531914303 0.019324914 1809915.0398689 0.045922204 2567047.71342339
4 eager_1000.dot 25705994498 0.01521569 30734791.6562725 0.436293978 7001550.435592 2.296734439 337812210.546701
4 methylseq_1000.dot 110641579976 0.015574299 279220177.669893 0.291962133 296475758.325537 1.482961262 1792298248.79604
4 chipseq_200.dot 5058052541 0.000874122 3209245.75015432 0.030467688 2128826.40321662 0.073980025 37931122.6025686
4 methylseq_1000.dot 6273818718 0.017928974 16580044.5661743 0.323223686 16635527.7933938 1.167442814 356991631.479392
4 chipseq_4000.dot 41366257414 0.067659937 677503292.102153 1.070524064 518329324.99677 9.269665275 4675945783.0235
4 atacseq_2000.dot 14091675276 0.020477353 105713518.403899 0.573208031 46473213.6213046 2.406746433 892317109.370196
4 atacseq_1000.dot 11809629756 0.007538721 22356345.8665905 0.292772787 8882275.718909 0.94670557 388299297.975189
4 methylseq_200.dot 17027257018 0.002053101 17365520.6673407 0.043279249 17383103.9808776 0.097231298 104456314.993495
4 methylseq_8000.dot 110641579976 0.390506301 2067677315.19395 9.943498952 2251177305.22835 197.569091502 14096777120.5312
4 atacseq_8000.dot 3908761308 0.228852464 137286971.665544 5.839679883 109280957.823214 41.350399808 1676663640.30046
4 methylseq_8000.dot 17027257018 0.54990318 766458391.141155 13.895571415 767676181.05961 156.384460833 6098009598.66004
4 atacseq_10000.dot 14091675276 0.388982125 529737394.528796 6.492974677 255849958.999912 92.117216736 4604141348.02245
4 eager_2000.dot 25705994498 0.069759714 67934212.7940814 1.14018365 18682220.7270791 11.265664593 538940184.226506
4 eager_1000.dot 14754556884 0.013249317 17856354.0052706 0.468939952 5141100.53506969 2.276415596 308314125.255124
4 methylseq_10000.dot 8885797810 0.889838407 496543082.468805 24.555679168 497496522.827651 369.044101652 4479747517.88014
4 atacseq_4000.dot 11809629756 0.068275407 127528106.969705 2.281249723 43374228.9905158 9.077294004 1203882017.08201
4 atacseq_1000.dot 14091675276 0.007169463 53331647.6744424 0.255516413 20910760.747472 0.764640133 426363968.150967
4 methylseq_4000.dot 6273818718 0.154757602 80219533.5536026 3.339546549 79275651.5341154 31.333036935 1871586992.1579
4 chipseq_1000.dot 4605965334 0.009421722 25706318.8179059 0.271131585 23140645.3444268 0.793484787 254693803.639236
4 atacseq_200.dot 11809629756 0.000914989 328141.423708729 0.035235202 324298.411439863 0.081883849 35607736.9011113
4 eager_8000.dot 19075314980 0.692020678 175442692.911198 9.053489171 90416730.5332565 469.895070357 2409515816.57088
4 methylseq_10000.dot 110641579976 0.606339769 2633514933.83378 14.339653047 2822572073.82049 367.014127387 17831050330.8168
4 methylseq_2000.dot 22500260922 0.048911848 42558070.533774 1.025924033 45273970.7150534 6.769622782 1462492038.68491
4 chipseq_200.dot 32978181418 0.001041042 24508524.5118471 0.030056541 32211248.2988122 0.075363283 277864908.884275
4 chipseq_2000.dot 4605965334 0.023382974 57843611.7202513 0.770493833 52535536.49225 2.780817925 553896355.251967
4 atacseq_8000.dot 11809629756 0.246631873 256102091.885303 8.105473293 91564841.8659849 48.761031623 3211095968.06351
4 chipseq_200.dot 4807293396 0.000845339 3041781.53858047 0.031808824 2794804.46180277 0.070620034 36666952.5775096
4 chipseq_200.dot 3793245764 0.000804892 57166.9399710878 0.032358242 61173.4921016935 0.076683591 12709305.9957722
4 eager_8000.dot 19132169434 0.691566107 174841558.475676 9.046818523 89736114.8413767 477.561550497 2381751254.92657
4 atacseq_10000.dot 11187378708 0.387036797 311196551.384849 12.953425927 106638724.129481 92.624850235 3929375724.78989
4 chipseq_10000.dot 5058052541 0.256231813 343906298.226959 11.253726833 312124101.413217 87.178123217 3261300313.05877
4 atacseq 3908761308 0.000159935 58819.1117483778 0.006251058 38473.6506977337 0.014393363 32446.3740083
4 atacseq_4000.dot 11187378708 0.067977236 121732556.351369 2.316257199 37139916.8094582 9.135315061 1143826224.94675
4 chipseq_4000.dot 32978181418 0.056796093 806205858.164333 1.087474218 847663643.81721 20.840440203 7555184665.01042
