algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 dur_alg3 ms_3
2 eager 19075314980 0.003234959 1825429.81246337 0.025964232 1776766.64671822 0.051816646 2259940.209824
2 eager_1000.dot 25705994498 0.312235853 31324854.0487321 1.247245875 45728151.1934876 3.140441945 339298442.354738
2 methylseq_1000.dot 110641579976 0.016809738 262455066.647005 0.330134446 279145664.180662 1.522618923 1717448451.72591
2 chipseq_200.dot 5058052541 0.000947037 3478912.67454323 0.033715652 3533908.43122173 0.076867091 38278792.732076
2 methylseq_1000.dot 6273818718 0.019132055 17620236.2191117 0.342633978 17846666.4563236 1.203080151 355504809.681299
2 chipseq_4000.dot 41366257414 0.100588977 651987062.523304 1.101839847 724647223.886248 9.326277608 4401688857.06412
2 atacseq_2000.dot 14091675276 0.030793801 105189284.540793 0.666987836 144526345.973347 2.514911186 892483411.862296
2 atacseq_1000.dot 11809629756 0.010006788 22113255.5503833 0.27868073 29390159.5199427 0.929154595 388909264.925182
2 methylseq_200.dot 17027257018 0.002114632 16488891.7572636 0.042997519 19009419.0384816 0.097064999 105784359.526523
2 methylseq_8000.dot 110641579976 0.457017688 2043400106.30876 14.298539672 2120827451.26881 200.991511816 13738100081.9545
2 atacseq_8000.dot 3908761308 0.392120281 140003366.36369 5.54730828 181543073.45844 42.453121092 1668888205.45863
2 methylseq_8000.dot 17027257018 0.615189384 770023668.289518 15.01295741 801033278.290812 157.433983361 6175109030.8813
2 atacseq_10000.dot 14091675276 0.638308581 554631282.484717 7.827799093 731110284.43907 97.197289196 4597863397.00028
2 eager_2000.dot 25705994498 1.282839799 70296909.0362414 4.020714092 96790784.6171279 14.153988269 539381274.463371
2 eager_1000.dot 14754556884 0.310874769 14976142.4043566 1.308887262 18525714.5783662 3.128313955 303139668.666203
2 methylseq_10000.dot 8885797810 1.009171582 499391282.678796 26.141919195 508142907.132603 384.282197096 4469913875.56384
2 atacseq_4000.dot 11809629756 0.110020948 125085890.593958 1.764024032 140424591.757027 8.689155307 1209859882.09086
2 atacseq_1000.dot 14091675276 0.009752943 51980831.5713906 0.270161795 67087201.1654503 0.783001898 426381711.795595
