algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 
4 eager 19075314980 0.025044346 58957.6910657306 0.021290839 56580.0427514548 
4 eager_1000.dot 25705994498 0.820959238 241993.811649707 0.654391339 223910.733924704 
4 methylseq_1000.dot 110641579976 0.300752891 853692.758375023 0.279225104 842747.731750007 
4 chipseq_200.dot 5058052541 0.03466293 34283.1570884841 0.039216115 33879.1750862947 
4 methylseq_1000.dot 6273818718 0.305889375 55515.8335375746 0.279173624 54833.8775358015 
4 chipseq_4000.dot 41366257414 3.81334238699999 3136241.79602258 3.477872761 4798662.25769235 
4 atacseq_2000.dot 14091675276 0.861344109 392054.367973701 0.985360136 596652.546915597 
4 atacseq_1000.dot 11809629756 0.289179712 88315.8303084241 0.334346591 79588.3403775306 
4 methylseq_200.dot 17027257018 0.039344827 34844.3660044962 0.039948709 34842.0044075224 
4 methylseq_8000.dot 110641579976 15.881445331 6369692.11487502 9.297508302 6184111.14662511 
4 atacseq_8000.dot 3908761308 11.296731687 605218.774597219 15.0671394 788448.189468583 
4 methylseq_8000.dot 17027257018 17.951200016 897277.280697539 7.977581539 883820.797370633 
4 atacseq_10000.dot 14091675276 17.318718927 2071545.36730557 19.389742333 2804507.32286887 
4 eager_2000.dot 25705994498 2.832545293 444999.054770449 1.933220863 412327.977085774 
4 eager_1000.dot 14754556884 0.789704608 210313.88190128 0.63076805 171073.525182704 
4 methylseq_10000.dot 8885797810 28.614937043 728845.773721781 12.303713055 711317.632590609 
4 atacseq_4000.dot 11809629756 2.736353225 365262.429360499 2.857237722 294897.085411693 
4 atacseq_1000.dot 14091675276 0.346605859 203302.133928568 0.344380028 316706.752012572 
4 methylseq_4000.dot 6273818718 3.134735029 212181.438872927 2.28630026 203579.940991098 
4 chipseq_1000.dot 4605965334 0.35460431 95776.23056536 0.395548872 189751.200567263 
4 atacseq_200.dot 11809629756 0.043448644 27964.198479171 0.042452857 25389.8268168846 
4 eager_8000.dot 19075314980 75.891030441 1253047.45218605 22.361972203 1182704.46151923 
4 methylseq_10000.dot 110641579976 32.899049971 7893284.46625004 13.435620946 7707860.70600008 
4 methylseq_2000.dot 22500260922 0.939546614000001 316944.204284053 0.736085 305366.143838358 
4 chipseq_200.dot 32978181418 0.039123575 133701.488023822 0.04222901 200360.464994114 
4 chipseq_2000.dot 4605965334 1.119416698 202802.827430881 1.253965291 377644.200670894 
4 atacseq_8000.dot 11809629756 10.506978974 736129.465156058 10.475656109 578910.767793588 
4 chipseq_200.dot 4807293396 0.038384134 21822.2322666446 0.039082011 27536.3836790209 
4 chipseq_200.dot 3793245764 0.038679937 25742.0094758993 0.038848702 34888.2052939564 
4 eager_8000.dot 19132169434 79.8043048020001 1247182.84719459 21.437303721 1149727.68995694 
4 atacseq_10000.dot 11187378708 15.551839344 1023371.23425408 14.089282745 812957.17714916 
4 chipseq_10000.dot 5058052541 26.131874397 1104847.39839211 29.505721804 1605681.87826486 
4 atacseq 3908761308 0.007244804 19568.9848618662 0.006786433 17530.7346485585 
4 atacseq_4000.dot 11187378708 3.054639162 400496.454999791 2.717866586 324452.760530913 
