algo_nr wf_name inp_size dur_alg1 ms_1 dur_alg2 ms_2 
3 dag_20000_wide_3.dot 1 705.542007029991 14509767544.9736 727.450235884 24973998509.4476 
3 dag_10000_general_4.dot 1 161.073849725 43313873419.3003 175.700676221 46768374693.3846 
3 dag_20000_general_3.dot 1 982.786056242991 87331845094.4126 1383.199428886 96464580520.2813 
3 dag_8000_wide_3.dot 1 76.0552735910003 5867706631.26281 82.470086843 10333737041.0737 
3 dag_200_long_3.dot 1 0.008610102 2228916328.34745 0.005242828 2066004784.35328 
3 dag_2000_wide_3.dot 1 2.447558953 1604535306.43006 1.344609473 2451830421.49641 
3 dag_10000_wide_0.dot 1 122.705377259 7308289487.33746 111.933786048 12347997603.4138 
3 dag_50_long_1.dot 1 0.008175446 550719439.510232 0.00288034 534370746.326697 
3 dag_25000_wide_2.dot 1 1136.831263958 18025230155.3536 1565.43192442 29175607652.1805 
3 dag_1000_wide_4.dot 1 0.572390356 836451950.950054 0.316342267 1569036374.63145 
3 dag_30000_general_4.dot 1 4179.35711134902 129171880222.341 4537.146579778 145694883549.823 
3 dag_1000_wide_3.dot 1 0.496384969999999 868233242.863341 0.280218154 1740125160.612 
3 dag_50_wide_4.dot 1 0.010154492 145197705.842562 0.004979001 149956887.789005 
3 dag_200_wide_1.dot 1 0.063847212 288780241.093521 0.027234357 389512246.911345 
3 dag_200_long_1.dot 1 0.008213605 2217822132.11957 0.004815413 2173735967.83364 
3 dag_50_wide_0.dot 1 0.010574258 165212556.643564 0.004815886 194893742.407599 
3 dag_30000_wide_0.dot 1 2449.71213070099 21646017845.8345 2517.242106198 35684282055.6192 
3 dag_200_wide_0.dot 1 0.057605455 351381401.890083 0.026812359 474249907.383961 
3 dag_30000_general_0.dot 1 8760.47070543498 132173939477.65 8944.592812612 141953506648.027 
3 dag_4000_general_1.dot 1 8.07897071200001 18144833315.8719 8.60914276 19647060100.6599 
3 dag_8000_long_4.dot 1 0.610197768000004 87421611226.3337 0.465162879 87368664563.1379 
3 dag_50_wide_3.dot 1 0.011953637 170901728.291284 0.005974258 169490094.253577 
3 dag_20000_long_0.dot 1 3.00461560999997 222078910519.141 2.646551901 222051515922.081 
3 dag_25000_wide_1.dot 1 1459.90777598298 18250708010.7059 1690.496828809 31352520765.1561 
3 dag_2000_wide_0.dot 1 2.018988773 1641356855.0793 1.360851755 2579897167.90967 
3 dag_2000_general_2.dot 1 1.541964308 8810734437.82915 1.497403507 9639754913.22094 
3 dag_10000_general_2.dot 1 176.084049897001 43860869502.9495 186.072553528 49097464911.1108 
3 dag_4000_long_1.dot 1 0.195645527000001 44528118690.0356 0.145057969 44448717894.9292 
3 dag_10000_long_3.dot 1 0.948651075999995 110998668433.184 0.834268358 110980679126.771 
3 dag_50_general_4.dot 1 0.006700277 593276343.080909 0.004771941 476542119.609535 
3 dag_10000_wide_1.dot 1 138.035486947 7399723466.35491 145.304420481 10351289739.766 
3 dag_15000_general_2.dot 1 491.876482586995 64410571900.3898 671.218561169 73511495197.2126 
3 dag_20000_general_1.dot 1 1205.35830680001 87613743896.5027 1510.789833361 96286203582.2122 
3 dag_50_general_2.dot 1 0.006586509 614915527.140196 0.004939908 548207001.607402 
