algo_nr wf_name inp_size chainProb hubScore bypBra maxIndSetR cpRat wSkew memToComp memToIo auto-num auto-name 
1 atacseq_30000.dot 14091675276 0.564065 160.985 1 0.538659 5189.69 1.60067 215.392 0.579934 6 Online_MeDiH-BL
1 chipseq_15000.dot 41366257414 0.559925 85.6883 1 0.60012 26251.5 1.61952 65.0417 0.190633 6 Online_MeDiH-BL
1 dag_20000_wide_3.dot 1 0.900005 2.47638 1 0.99995 149277 1.76301 31.5495 0.0768082 6 Online_MeDiH-BL
1 methylseq_15000.dot 6761426956 0.666578 329.168 1 0.583456 2305.71 2.99787 31.5447 0.176351 6 Online_MeDiH-BL
1 atacseq_15000.dot 3908761308 0.564027 80.5954 1 0.538857 3745.14 1.3805 445.59 1.59201 6 Online_MeDiH-BL
1 dag_10000_general_4.dot 1 0.453155 0.615987 0 0.9999 377756 1.02376 31.1803 0.0364845 6 Online_MeDiH-BL
1 eager 19075314980 0.557377 1.36168 1 0.721311 2.96813e+06 2.26134 106.654 0.347105 6 Online_MeDiH-BL
1 dag_20000_general_3.dot 1 0.456077 0.602849 0 0.99995 198227 1.12992 31.3589 0.0369859 6 Online_MeDiH-BL
1 eager_1000.dot 25705994498 0.575053 2.3906 1 0.429175 250091 2.19477 83.8518 0.25462 6 Online_MeDiH-BL
1 eager_20000.dot 8330435694 0.576213 25.982 1 0.423987 4959.4 2.02708 154.251 0.547754 6 Online_MeDiH-BL
1 eager_25000.dot 14754556884 0.576225 32.2107 1 0.423935 7273.33 2.13442 101.764 0.396433 6 Online_MeDiH-BL
1 methylseq_1000.dot 110641579976 0.665331 22.075 1 0.58517 483662 3 2.09187 0.0100156 6 Online_MeDiH-BL
1 chipseq_200.dot 5058052541 0.553672 1.40345 1 0.610169 310492 1.33273 452.015 1.22702 6 Online_MeDiH-BL
1 atacseq_30000.dot 11809629756 0.564065 160.985 1 0.538659 2656.84 2.13598 375.663 0.782624 6 Online_MeDiH-BL
1 dag_8000_wide_3.dot 1 0.899888 2.45451 1 0.999875 312711 1.94432 31.1672 0.0775039 6 Online_MeDiH-BL
1 dag_200_long_3.dot 1 0.965174 0.0325667 0 0.995025 1.27438e+08 0.894688 33.2193 0.0816873 6 Online_MeDiH-BL
