,size,wf_name,inp_size,relation,ratio,algorithm
0,30000,atacseq_30000.dot,14091675276,internal,0.8974132242721423,MeDiH-BL
1,15000,chipseq_15000.dot,41366257414,internal,0.43149027707743126,MeDiH-BL
2,15000,methylseq_15000.dot,6761426956,internal,0.25706578205637465,MeDiH-BL
3,15000,atacseq_15000.dot,3908761308,internal,1.2581104822810703,MeDiH-BL
4,1000,eager_1000.dot,25705994498,internal,1.8499594619885202,MeDiH-BL
5,20000,eager_20000.dot,8330435694,internal,0.9157359667115921,MeDiH-BL
6,25000,eager_25000.dot,14754556884,internal,0.5481873107766437,MeDiH-BL
7,1000,methylseq_1000.dot,110641579976,internal,0.20856444037146402,MeDiH-BL
8,200,chipseq_200.dot,5058052541,internal,1.6784375155541233,MeDiH-BL
9,30000,atacseq_30000.dot,11809629756,internal,0.9241364293504853,MeDiH-BL
10,1000,methylseq_1000.dot,6273818718,internal,1.2812956400678939,MeDiH-BL
11,4000,chipseq_4000.dot,41366257414,internal,0.4758908729017999,MeDiH-BL
12,2000,atacseq_2000.dot,14091675276,internal,1.192345704739913,MeDiH-BL
13,1000,atacseq_1000.dot,11809629756,internal,1.798693150201756,MeDiH-BL
14,200,methylseq_200.dot,17027257018,internal,1.0341267040934687,MeDiH-BL
15,30000,methylseq_30000.dot,110641579976,internal,0.19820900608708142,MeDiH-BL
16,8000,methylseq_8000.dot,110641579976,internal,0.19566339169613406,MeDiH-BL
17,20000,methylseq_20000.dot,6761426956,internal,0.24832162080040313,MeDiH-BL
18,8000,atacseq_8000.dot,3908761308,internal,1.3438704915775381,MeDiH-BL
19,8000,methylseq_8000.dot,17027257018,internal,0.21769413295243767,MeDiH-BL
20,10000,atacseq_10000.dot,14091675276,internal,0.9343271576053851,MeDiH-BL
21,20000,atacseq_20000.dot,11809629756,internal,0.9614215993916044,MeDiH-BL
22,30000,atacseq_30000.dot,3908761308,internal,1.1575998785585941,MeDiH-BL
23,2000,eager_2000.dot,25705994498,internal,0.8767818227560156,MeDiH-BL
24,1000,eager_1000.dot,14754556884,internal,1.6071867168273748,MeDiH-BL
25,30000,atacseq_30000.dot,11187378708,internal,0.9315263061695461,MeDiH-BL
26,10000,methylseq_10000.dot,8885797810,internal,0.24983589371344064,MeDiH-BL
27,4000,atacseq_4000.dot,11809629756,internal,1.1536806908936905,MeDiH-BL
28,1000,atacseq_1000.dot,14091675276,internal,1.2345571917488214,MeDiH-BL
29,4000,methylseq_4000.dot,6273818718,internal,0.6671324061500579,MeDiH-BL
30,1000,chipseq_1000.dot,4605965334,internal,1.126544662022088,MeDiH-BL
31,200,atacseq_200.dot,11809629756,internal,3.6909429232547795,MeDiH-BL
32,8000,eager_8000.dot,19075314980,internal,1.0955414653831914,MeDiH-BL
33,10000,methylseq_10000.dot,110641579976,internal,0.19631039879558393,MeDiH-BL
34,2000,methylseq_2000.dot,22500260922,internal,0.2621613111764283,MeDiH-BL
35,200,chipseq_200.dot,32978181418,internal,0.9336469068196069,MeDiH-BL
36,2000,chipseq_2000.dot,4605965334,internal,1.1600242340335902,MeDiH-BL
37,30000,methylseq_30000.dot,8885797810,internal,0.22380841055098324,MeDiH-BL
