algo_nr wf_name inp_size dur_alg1 ms_1 ms_perc dur_alg2 ms_2
3 atacseq_30000.dot 14091675276 2033.99259802798 1455773755.85007 2193418229.68856 2915.47770823301 2193488920.64894
3 chipseq_15000.dot 41366257414 338.791776187998 3283726894.90833 2665368516.34474 423.122630106012 2666050065.535
3 methylseq_15000.dot 6761426956 471.623485468002 122774389.324539 216704736.171107 539.20874085603 216705756.44338
3 atacseq_15000.dot 3908761308 376.773113608999 204520140.689544 223787426.866869 456.649604071005 223899952.499679
3 eager 19075314980 0.039307743 6272395.83824995 6162076.62050619 0.006100941 5606003.50656157
3 eager_1000.dot 25705994498 1.495165637 48178801.4092679 52431086.2461669 0.243913105000001 52430376.9103401
3 eager_20000.dot 8330435694 1231.241870654 323457258.926351 244323721.154361 1117.45401617399 244323368.137348
3 eager_25000.dot 14754556884 1675.411847648 626465620.805644 882884687.125 2151.64043643902 881539356.131198
3 methylseq_1000.dot 110641579976 0.704718307 538664621.062941 371745732.032418 0.173130909000008 371747491.205866
3 chipseq_200.dot 5058052541 0.072741476 8633679.87690411 9555621.4420023 0.010222793 9560158.36034624
3 atacseq_30000.dot 11809629756 2077.69229713 806990932.28282 802171988.289125 2766.68369935194 802136864.977407
3 methylseq_1000.dot 6273818718 0.729030065999999 7320468.13475328 14280952.9536109 0.175115281000008 14280655.5847208
3 chipseq_4000.dot 41366257414 7.48167236399998 850495229.02377 712774553.391368 5.44383108600006 712647596.512946
3 atacseq_2000.dot 14091675276 2.675598141 64576860.5407366 155830966.889576 0.933883763999993 155764124.298505
3 atacseq_1000.dot 11809629756 0.661542553 22244301.9744752 31128923.040119 0.167710239000006 31061173.7579647
3 methylseq_200.dot 17027257018 0.077751974 4660542.93169312 4793060.55762715 0.010100364 4708487.72172133
3 methylseq_30000.dot 110641579976 2449.537419368 16082042184.653 11317107988.3336 2776.41352426693 11315751155.3256
3 methylseq_8000.dot 110641579976 66.6696931919999 4296192888.37342 3071177729.70379 71.0712286930004 3071178415.20925
3 methylseq_20000.dot 6761426956 1000.211232375 167302779.39665 292510466.19783 1001.77975808603 292510479.179288
3 atacseq_8000.dot 3908761308 63.15720827 90016856.5456639 119965859.555655 59.400737036002 119982647.698506
3 methylseq_8000.dot 17027257018 74.5505343449997 248698222.01632 222986938.678309 85.1583038910035 222702168.895171
3 atacseq_10000.dot 14091675276 120.039426300999 391369503.917793 762997493.722745 143.810995648002 763062448.876113
3 atacseq_20000.dot 11809629756 726.858476371 496444901.626532 536396943.383517 932.23558404702 536380404.840711
3 atacseq_30000.dot 3908761308 2242.60812634899 434446957.197139 442890332.823249 2996.48139936788 442937645.310977
3 eager_2000.dot 25705994498 5.91184866099999 85907289.4502319 113086387.448666 1.162881844 112474548.072207
3 eager_1000.dot 14754556884 1.439419503 33403745.043261 35335491.2220216 0.242743033999999 35334091.5034444
3 atacseq_30000.dot 11187378708 2070.059282361 815825733.647564 918973627.978257 2755.97475622704 918934158.321583
3 methylseq_10000.dot 8885797810 162.69208853 121777102.576517 207881417.620796 197.359812862003 207507695.182802
3 atacseq_4000.dot 11809629756 9.70591098300001 78117912.4517436 103932170.662136 5.351825264 103576670.313509
3 atacseq_1000.dot 14091675276 0.687721853 40222963.7100301 72697319.3616416 0.169574515000005 72863123.524925
3 methylseq_4000.dot 6273818718 11.141614816 27709093.504158 49848378.065156 5.90428457800013 49847815.9947298
3 chipseq_1000.dot 4605965334 0.762329942 16773205.3792289 24886959.4564575 0.168207768000007 25047047.9891164
3 atacseq_200.dot 11809629756 0.078620499 10758070.4827796 10696871.5433483 0.012263663 10736961.2497716
3 eager_8000.dot 19075314980 99.5050676170004 256456653.705278 273363981.423177 111.426471654001 338345368.615864
3 methylseq_10000.dot 110641579976 133.447972463 5325369372.38916 3809924494.86331 160.240042328999 3807089566.37761
3 methylseq_2000.dot 22500260922 2.412774956 74138518.3432921 76406675.8145091 0.880075179999991 76145481.7216752
3 chipseq_200.dot 32978181418 0.065627216 24609123.4382346 25956482.2215723 0.010282115 25774265.5945566
