vertex,processor_dyn,duration_dyn,duration_stat,start_time_dyn,start_time_stat
CHECK_DESIGN_00000075,32,6045661.298489057,6045661.29848906,116265.227772232,0.0
SORT_BAM_00000064,32,274896.7750000013,274896.77499999944,8323934.65126129,7966976.29848906
MERGED_LIB_BAM_00000068,32,921402.3249999993,921402.3250000002,8598831.42626129,8241873.07348906
MERGED_LIB_BAM_FILTER_00000049,32,679380.0250000097,679380.0250000004,9520233.75126129,9163275.39848906
MERGED_LIB_PICARD_METRICS_00000066,32,202588.1000000015,202588.09999999776,10908801.7228514,26512128.6740522
MERGED_LIB_PLOTFINGERPRINT_00000067,32,58022.36249999888,58022.36249999702,11111389.8228514,38859786.1405232
MERGED_LIB_CONSENSUS_DESEQ2_00000118,19,154726.30000000075,154726.29999999702,24290109.0062535,35646658.7972448
IGV_00000043,32,58022.362500000745,58022.36249999702,24622222.7546072,40637286.9128452
MERGED_LIB_ATAQV_MKARV_00000124,33,58022.362500000745,58022.36249989271,25858535.4737489,44368156.9557398
MULTIQC_00000104,31,58022.362500000745,58022.36249999702,26471301.215165,44306648.6119043
MERGED_LIB_CONSENSUS_COUNTS_00000167,34,58022.362500000745,58022.36250000447,27429370.2764971,33940403.5239587
