vertex start_time finish_time proc_num
CHECK_DESIGN 0 58022.3625 35
TRIMGALORE 58022.3625 668136.425 35
BWA_INDEX 0 58022.3625 34
BWA_MEM 668136.425 1979337.3625 35
SORT_BAM 1979337.3625 2254234.1375 35
MERGED_LIB_BAM 2254234.1375 3175636.4625 35
MAKE_GENOME_FILTER 0 58022.3625 33
MERGED_LIB_BAM_FILTER 3175636.4625 3855016.4875 35
MERGED_LIB_BAM_REMOVE_ORPHAN 3855016.4875 4247150.975 35
MERGED_LIB_MACS2 4247150.975 4632111.1625 35
MERGED_LIB_BIGWIG 4632111.1625 4832610.125 35
MAKE_GENE_BED 0 58022.3625 32
MERGED_REP_BAM 4351698.94522838 4409721.30772838 34
MERGED_LIB_PLOTPROFILE 4832610.125 5119233.825 35
MERGED_REP_MACS2 4409721.30772838 4467743.67022838 34
FASTQC 5119233.825 5359926.95 35
MAKE_TSS_BED 58022.3625 116044.725 32
MERGED_LIB_PICARD_METRICS 5359926.95 5562515.05 35
MERGED_REP_CONSENSUS 4467743.67022838 4525766.03272838 34
MERGED_LIB_CONSENSUS 4736659.13268549 4794681.49518549 34
MERGED_LIB_ATAQV 5562515.05 5727461.775 35
MERGED_LIB_CONSENSUS_COUNTS 4794681.49518549 4852703.85768549 34
MERGED_REP_CONSENSUS_COUNTS 4840980.95604134 4899003.31854134 33
MERGED_LIB_MACS2_ANNOTATE 5727461.775 5791431.7375 35
MERGED_REP_MACS2_ANNOTATE 4630317.349836 4688339.712336 32
MERGED_REP_CONSENSUS_DESEQ2 4899003.31854134 4957025.68104134 33
MERGED_REP_BIGWIG 4630209.21751204 4688231.58001204 31
MERGED_LIB_CONSENSUS_DESEQ2 4852703.85768549 4910726.22018549 34
MERGED_LIB_PLOTFINGERPRINT 5791431.7375 5849454.1 35
MERGED_LIB_MACS2_QC 5795419.45260156 5853441.81510156 34
MERGED_REP_MACS2_QC 4688339.712336 4746362.074836 32
MERGED_LIB_PRESEQ 5849454.1 5907476.4625 35
get_software_versions 0 58022.3625 30
MERGED_REP_CONSENSUS_ANNOTATE 4734647.46183354 4792669.82433354 31
MERGED_LIB_ATAQV_MKARV 5897969.32962473 5955991.69212473 34
MULTIQC 5907476.4625 5965498.825 35
MERGED_LIB_CONSENSUS_ANNOTATE 5955991.69212473 6014014.05462473 34
IGV 5925207.27503108 5983229.63753108 33
output_documentation 0 58022.3625 11
