vertex start finish proc
CHECK_DESIGN_00000001 0 6045661.29848906 35
CHECK_DESIGN_00000192 0 6045661.29848906 34
CHECK_DESIGN_00000153 0 6045661.29848906 33
CHECK_DESIGN_00000075 0 6045661.29848906 32
CHECK_DESIGN_00000114 0 6045661.29848906 31
TRIMGALORE_00000111 6045661.29848906 6655775.36098906 31
TRIMGALORE_00000150 6045661.29848906 6655775.36098906 33
TRIMGALORE_00000072 6045661.29848906 6655775.36098906 32
TRIMGALORE_00000189 6045661.29848906 6655775.36098906 34
TRIMGALORE_00000002 6045661.29848906 6655775.36098906 35
BWA_INDEX_00000147 0 58022.3625 30
BWA_INDEX_00000005 0 58022.3625 11
BWA_INDEX_00000108 0 58022.3625 10
BWA_INDEX_00000186 0 58022.3625 9
BWA_INDEX_00000069 0 58022.3625 8
BWA_MEM_00000097 6655775.36098906 7966976.29848906 31
BWA_MEM_00000175 6655775.36098906 7966976.29848906 34
BWA_MEM_00000136 6655775.36098906 7966976.29848906 33
BWA_MEM_00000058 6655775.36098906 7966976.29848906 32
BWA_MEM_00000004 6655775.36098906 7966976.29848906 35
SORT_BAM_00000181 7966976.29848906 8241873.07348906 34
SORT_BAM_00000142 7966976.29848906 8241873.07348906 33
SORT_BAM_00000064 7966976.29848906 8241873.07348906 32
SORT_BAM_00000103 7966976.29848906 8241873.07348906 31
SORT_BAM_00000008 7966976.29848906 8241873.07348906 35
MERGED_LIB_BAM_00000068 8241873.07348906 9163275.39848906 32
MERGED_LIB_BAM_00000009 8241873.07348906 9163275.39848906 35
MERGED_LIB_BAM_00000107 8241873.07348906 9163275.39848906 31
MERGED_LIB_BAM_00000146 8241873.07348906 9163275.39848906 33
MERGED_LIB_BAM_00000185 8241873.07348906 9163275.39848906 34
MAKE_GENOME_FILTER_00000092 0 58022.3625 7
MAKE_GENOME_FILTER_00000053 0 58022.3625 6
MAKE_GENOME_FILTER_00000131 58022.3625 116044.725 30
MAKE_GENOME_FILTER_00000028 58022.3625 116044.725 11
MAKE_GENOME_FILTER_00000170 58022.3625 116044.725 10
MERGED_LIB_BAM_FILTER_00000088 9163275.39848906 9842655.42348906 31
MERGED_LIB_BAM_FILTER_00000030 9163275.39848906 9842655.42348906 35
MERGED_LIB_BAM_FILTER_00000166 9163275.39848906 9842655.42348906 34
MERGED_LIB_BAM_FILTER_00000127 9163275.39848906 9842655.42348906 33
MERGED_LIB_BAM_FILTER_00000049 9163275.39848906 9842655.42348906 32
MERGED_LIB_BAM_REMOVE_ORPHAN_00000078 13339480.1898963 13731614.6773963 32
MERGED_LIB_BAM_REMOVE_ORPHAN_00000117 13339480.1898963 13731614.6773963 31
MERGED_LIB_BAM_REMOVE_ORPHAN_00000011 13339480.1898963 13731614.6773963 35
MERGED_LIB_BAM_REMOVE_ORPHAN_00000195 13339480.1898963 13731614.6773963 34
MERGED_LIB_BAM_REMOVE_ORPHAN_00000156 13339480.1898963 13731614.6773963 33
MERGED_LIB_MACS2_00000051 25216717.6014969 25601677.7889969 30
MERGED_LIB_MACS2_00000090 25999740.2143736 26384700.4018736 35
MERGED_LIB_MACS2_00000129 25999740.2143736 26384700.4018736 34
MERGED_LIB_MACS2_00000014 31047047.3524852 31432007.5399852 30
MERGED_LIB_MACS2_00000168 31730377.6692413 32115337.8567413 33
MERGED_LIB_BIGWIG_00000081 13731614.6773963 13932113.6398963 31
MERGED_LIB_BIGWIG_00000120 32115337.8567413 32315836.8192413 33
MERGED_LIB_BIGWIG_00000026 26384700.4018736 26585199.3643736 35
MERGED_LIB_BIGWIG_00000159 26384700.4018736 26585199.3643736 34
MERGED_LIB_BIGWIG_00000042 13731614.6773963 13932113.6398963 32
MERGED_REP_BAM_00000133 32315836.8192413 32373859.1817413 33
MERGED_REP_BAM_00000016 26338061.5865522 26396083.9490522 32
MERGED_REP_BAM_00000055 20507731.8355639 20565754.1980639 31
MERGED_REP_BAM_00000094 20565754.1980639 20623776.5605639 31
MERGED_REP_BAM_00000172 26338061.5865522 26396083.9490522 31
MAKE_GENE_BED_00000024 58022.3625 116044.725 9
MAKE_GENE_BED_00000077 58022.3625 116044.725 8
MAKE_GENE_BED_00000194 58022.3625 116044.725 7
MAKE_GENE_BED_00000155 58022.3625 116044.725 6
MAKE_GENE_BED_00000116 0 154726.3 18
MERGED_REP_MACS2_00000045 21611232.6270334 21765958.9270335 18
MERGED_REP_MACS2_00000084 22132887.3203263 22287613.6203263 19
MERGED_REP_MACS2_00000162 26396083.9490522 26454106.3115522 31
MERGED_REP_MACS2_00000020 26396083.9490522 26454106.3115522 32
MERGED_REP_MACS2_00000123 32373859.1817413 32431881.5442413 33
MAKE_TSS_BED_00000025 116044.725 174067.0875 9
MAKE_TSS_BED_00000191 116044.725 174067.0875 7
MAKE_TSS_BED_00000113 1200204.72896952 1354931.02896952 20
MAKE_TSS_BED_00000074 116044.725 174067.0875 8
MAKE_TSS_BED_00000152 116044.725 174067.0875 6
MERGED_LIB_PLOTPROFILE_00000007 26585199.3643736 26871823.0643736 35
MERGED_LIB_PLOTPROFILE_00000171 26585199.3643736 26871823.0643736 34
MERGED_LIB_PLOTPROFILE_00000054 21328778.6106708 21615402.3106708 8
MERGED_LIB_PLOTPROFILE_00000132 32431881.5442413 32718505.2442413 33
MERGED_LIB_PLOTPROFILE_00000093 22954045.7302317 23240669.4302317 11
MERGED_LIB_CONSENSUS_00000063 26647157.492254 26801883.792254 18
MERGED_LIB_CONSENSUS_00000180 32718505.2442413 32776527.6067413 33
MERGED_LIB_CONSENSUS_00000141 26871823.0643736 26929845.4268736 34
MERGED_LIB_CONSENSUS_00000032 31432007.5399852 31490029.9024852 30
MERGED_REP_CONSENSUS_00000179 26454106.3115522 26512128.6740522 31
MERGED_REP_CONSENSUS_00000062 22811437.356003 22966163.656003 19
MERGED_REP_CONSENSUS_00000033 26454106.3115522 26512128.6740522 32
MERGED_REP_CONSENSUS_00000101 22966163.656003 23120889.956003 19
MERGED_REP_CONSENSUS_00000140 32776527.6067413 32834549.9692413 33
MERGED_LIB_CONSENSUS_00000102 26871823.0643736 26929845.4268736 35
MERGED_LIB_ATAQV_00000060 34215075.2661444 34380021.9911444 30
MERGED_LIB_ATAQV_00000027 37383103.1798036 37548049.9048036 30
MERGED_LIB_ATAQV_00000099 28451918.562527 28616865.287527 35
MERGED_LIB_ATAQV_00000138 35608650.0073101 35773596.7323101 33
MERGED_LIB_ATAQV_00000177 38776677.9209693 38941624.6459693 33
FASTQC_00000003 32541444.6068104 33882381.1614587 34
FASTQC_00000086 23670607.8278719 24954304.4945386 12
FASTQC_00000047 23670607.8278719 24954304.4945386 13
FASTQC_00000125 23670607.8278719 24954304.4945386 14
FASTQC_00000164 23670607.8278719 24954304.4945386 15
MERGED_LIB_PICARD_METRICS_00000105 26512128.6740522 26714716.7740522 31
MERGED_LIB_PICARD_METRICS_00000066 26512128.6740522 26714716.7740522 32
MERGED_LIB_PICARD_METRICS_00000144 44049514.1232123 44252102.2232123 35
MERGED_LIB_PICARD_METRICS_00000183 38657198.0405232 38859786.1405232 32
MERGED_LIB_PICARD_METRICS_00000012 38657198.0405232 38859786.1405232 31
MERGED_LIB_CONSENSUS_COUNTS_00000015 31490149.0568462 31548171.4193462 11
MERGED_REP_CONSENSUS_COUNTS_00000017 30535079.3254821 30689805.6254821 18
MERGED_REP_CONSENSUS_COUNTS_00000165 33882381.1614587 33940403.5239587 34
MERGED_LIB_CONSENSUS_COUNTS_00000167 33940403.5239587 33998425.8864587 34
MERGED_REP_CONSENSUS_COUNTS_00000126 33879983.2684343 34034709.5684343 18
MERGED_REP_CONSENSUS_COUNTS_00000048 27557561.9732452 27712288.2732452 19
MERGED_REP_CONSENSUS_COUNTS_00000087 27557561.9732452 27712288.2732452 20
MERGED_LIB_CONSENSUS_COUNTS_00000050 28079217.494531 28233943.794531 21
MERGED_LIB_CONSENSUS_COUNTS_00000089 30011374.1056792 30069396.4681792 10
MERGED_LIB_CONSENSUS_COUNTS_00000128 34401592.385613 34459614.748113 34
MERGED_REP_MACS2_ANNOTATE_00000057 27847408.433181 28002134.733181 22
MERGED_REP_MACS2_ANNOTATE_00000174 28600871.5493367 28755597.8493367 19
MERGED_REP_MACS2_ANNOTATE_00000096 24166414.59693 24321140.89693 23
MERGED_REP_MACS2_ANNOTATE_00000037 28600871.5493367 28755597.8493367 20
MERGED_REP_MACS2_ANNOTATE_00000135 34925416.1212897 34983438.4837897 34
MERGED_LIB_MACS2_ANNOTATE_00000149 34983438.4837897 35047408.4462897 34
MERGED_LIB_MACS2_ANNOTATE_00000188 38941624.6459693 39005594.6084693 33
MERGED_LIB_MACS2_ANNOTATE_00000035 37548049.9048036 37612019.8673036 30
MERGED_LIB_MACS2_ANNOTATE_00000071 37612019.8673036 37675989.8298036 30
MERGED_LIB_MACS2_ANNOTATE_00000110 43743392.3434197 43807362.3059197 34
MERGED_LIB_CONSENSUS_DESEQ2_00000019 31548171.4193462 31606193.7818462 11
MERGED_REP_CONSENSUS_DESEQ2_00000187 35125004.1039519 35279730.4039519 18
MERGED_REP_BIGWIG_00000139 34922208.6419445 35076934.9419445 19
MERGED_REP_BIGWIG_00000031 28861699.3742296 29016425.6742296 21
MERGED_REP_CONSENSUS_DESEQ2_00000070 28757766.7022148 28912493.0022148 22
MERGED_REP_BIGWIG_00000061 28599787.3467555 28754513.6467555 23
MERGED_REP_CONSENSUS_DESEQ2_00000148 35080187.9974038 35234914.2974038 20
MERGED_REP_CONSENSUS_DESEQ2_00000022 35279730.4039519 35434456.7039519 18
MERGED_LIB_CONSENSUS_DESEQ2_00000079 30069396.4681792 30127418.8306792 10
MERGED_REP_BIGWIG_00000178 29010401.1425989 29068423.5050989 9
MERGED_LIB_CONSENSUS_DESEQ2_00000118 35646658.7972448 35801385.0972448 19
MERGED_REP_CONSENSUS_DESEQ2_00000109 28757766.7022148 28989856.1522148 29
MERGED_LIB_CONSENSUS_DESEQ2_00000157 36168313.4905377 36323039.7905377 18
MERGED_REP_BIGWIG_00000100 29123611.4017038 29278337.7017038 23
MERGED_LIB_CONSENSUS_DESEQ2_00000040 29016425.6742296 29171151.9742296 21
MERGED_LIB_PLOTFINGERPRINT_00000067 38859786.1405232 38917808.5030232 32
MERGED_LIB_PLOTFINGERPRINT_00000145 39005594.6084693 39063616.9709693 33
MERGED_LIB_PLOTFINGERPRINT_00000013 44252102.2232123 44310124.5857123 35
MERGED_LIB_PLOTFINGERPRINT_00000106 38859786.1405232 38917808.5030232 31
MERGED_LIB_PLOTFINGERPRINT_00000184 43807362.3059197 43865384.6684197 34
MERGED_REP_MACS2_QC_00000176 29644181.8910934 29798908.1910934 21
MERGED_LIB_MACS2_QC_00000018 37663323.4557162 37721345.8182162 11
MERGED_LIB_MACS2_QC_00000112 43847239.4569867 43905261.8194867 33
MERGED_REP_MACS2_QC_00000021 29281590.7571631 29436317.0571631 22
MERGED_LIB_PRESEQ_00000010 38410339.6685966 38468362.0310966 30
MERGED_LIB_MACS2_QC_00000190 39045471.7595364 39103494.1220364 30
get_software_versions_00000023 174067.0875 232089.45 7
MERGED_LIB_PRESEQ_00000158 43865384.6684197 43923407.0309197 34
get_software_versions_00000193 174067.0875 232089.45 6
MERGED_REP_MACS2_QC_00000059 35079103.7948226 35233830.0948226 22
MERGED_REP_MACS2_QC_00000137 44005304.3708938 44063326.7333938 34
get_software_versions_00000076 0 232089.45 24
MERGED_LIB_PRESEQ_00000080 30165837.5393337 30320563.8393337 23
MERGED_LIB_MACS2_QC_00000073 38657499.5705667 38812225.8705667 18
MERGED_LIB_MACS2_QC_00000151 44063326.7333938 44121349.0958938 34
MERGED_LIB_PRESEQ_00000119 40331799.0264734 40389821.3889734 32
get_software_versions_00000154 0 232089.45 25
MERGED_REP_MACS2_QC_00000098 29801076.9155275 30033166.3655275 29
MERGED_LIB_PRESEQ_00000041 29644182.5280912 29876271.9780912 24
get_software_versions_00000115 0 232089.45 26
MERGED_LIB_CONSENSUS_ANNOTATE_00000169 40853453.081335 40911475.443835 31
IGV_00000121 44254480.8613297 44312503.2238297 34
MERGED_LIB_CONSENSUS_ANNOTATE_00000052 35862670.196318 36017396.496318 20
MERGED_REP_CONSENSUS_ANNOTATE_00000083 35801385.0972448 35956111.3972448 19
MULTIQC_00000143 44252112.2307398 44310134.5932398 33
output_documentation_00000173 0 232089.45 27
MULTIQC_00000006 44310124.5857123 44368146.9482123 35
MERGED_LIB_ATAQV_MKARV_00000085 44368146.9482123 44426169.3107123 35
MULTIQC_00000104 44306648.6119043 44364670.9744043 31
IGV_00000082 44426169.3107123 44484191.6732123 35
MERGED_REP_CONSENSUS_ANNOTATE_00000122 44310134.5932398 44368156.9557398 33
output_documentation_00000095 0 232089.45 28
MERGED_LIB_CONSENSUS_ANNOTATE_00000091 44484191.6732123 44542214.0357123 35
MERGED_REP_CONSENSUS_ANNOTATE_00000044 35956111.3972448 36110837.6972448 19
MULTIQC_00000065 40389821.3889734 40447843.7514734 32
output_documentation_00000039 232089.45 290111.8125 7
MERGED_REP_CONSENSUS_ANNOTATE_00000038 40447843.7514734 40505866.1139734 32
MERGED_LIB_CONSENSUS_ANNOTATE_00000036 39103494.1220364 39161516.4845364 30
MULTIQC_00000182 44312503.2238297 44370525.5863297 34
MERGED_LIB_ATAQV_MKARV_00000029 39161516.4845364 39219538.8470364 30
MERGED_REP_CONSENSUS_ANNOTATE_00000161 40153255.4167269 40211277.7792269 30
IGV_00000160 44556663.1733971 44614685.5358971 34
MERGED_LIB_ATAQV_MKARV_00000124 44368156.9557398 44426179.3182397 33
MERGED_LIB_ATAQV_MKARV_00000046 40211277.7792269 40269300.1417269 30
output_documentation_00000134 232089.45 290111.8125 6
MERGED_LIB_CONSENSUS_ANNOTATE_00000130 44614685.5358971 44672707.8983971 34
IGV_00000034 44672736.266988 44730758.629488 35
MERGED_LIB_ATAQV_MKARV_00000163 44426179.3182397 44484201.6807397 33
IGV_00000043 40637286.9128452 40695309.2753452 32
output_documentation_00000056 0 309452.6 16
