vertex start_time finish_time proc_num
convertBam 0 20.978 5
fastp 20.978 41.956 5
adapter_removal 41.956 5957.60175 5
unzip_reference 0 20.978 1
makeBWAIndex 20.978 41.956 1
lanemerge 5957.60175 5978.57975 5
bwa 5978.57975 29272.6375 5
circulargenerator 41.956 62.934 1
indexinputbam 0 55.9413333333333 3
circularmapper 29272.6375 29293.6155 5
bwamem 29293.6155 29314.5935 5
bowtie2 29314.5935 29335.5715 5
seqtype_merge 29335.5715 29356.5495 5
samtools_filter 29356.5495 29449.240375 5
markduplicates 29449.240375 30056.868875 5
dedup 30056.868875 30077.846875 5
library_merge 30077.846875 30098.824875 5
bam_trim 30098.824875 30119.802875 5
additional_library_merge 30119.802875 30140.780875 5
makeSeqDict 62.934 83.912 1
makeFastaIndex 83.912 104.89 1
genotyping_hc 30140.780875 56560.329875 5
kraken 0 83.912 4
nuclear_contamination 56560.329875 56581.307875 5
genotyping_pileupcaller 56581.307875 56602.285875 5
malt 0 111.882666666667 2
sexdeterrmine_prep 56602.285875 56623.263875 5
kraken_parse 83.912 167.824 4
samtools_flagstat 56623.263875 56705.589 5
genotyping_ug 56705.589 56726.567 5
samtools_flagstat_after_filter 56726.567 56747.545 5
fastqc 56747.545 58602.14325 5
fastqc_after_clipping 58602.14325 59357.03775 5
damageprofiler 59357.03775 59924.904125 5
qualimap 59924.904125 60226.276125 5
preseq 60226.276125 60393.823625 5
genotyping_freebayes 60393.823625 60414.801625 5
bcftools_stats 60414.801625 60497.3995 5
maltextract 111.882666666667 223.765333333333 2
sexdeterrmine 60497.3995 60518.3775 5
print_nuclear_contamination 60518.3775 60539.3555 5
eigenstrat_snp_coverage 60539.3555 60560.3335 5
endorSpy 60560.3335 60581.3115 5
metagenomic_complexity_filter 60581.3115 60602.2895 5
multivcfanalyzer 60602.2895 60623.2675 5
fr 60623.2675 60644.2455 5
get_software_versions 55.9413333333333 111.882666666667 3
lanemerge_hostremoval_fastq 104.89 125.868 1
mask_reference_for_pmdtools 125.868 146.846 1
post_ar_fastq_trimming 60644.2455 60665.2235 5
pmdtools 60665.2235 60686.2015 5
mapdamage_rescaling 60686.2015 60707.1795 5
genotyping_angsd 60707.1795 60728.1575000001 5
vcf2genome 94642.7514969276 94663.7294969276 5
multiqc 94663.7294969276 94684.7074969276 5
hostremoval_input_fastq 94684.7074969276 94705.6854969276 5
bedtools 94705.6854969276 94726.6634969276 5
kraken_merge 167.824 251.736 4
output_documentation 111.882666666667 167.824 3
