vertex start_time finish_time proc_num
trim_galore_00000516 0 17168.4614583333 35
trim_galore_00001128 0 17168.4614583333 34
trim_galore_00001656 0 17168.4614583333 33
trim_galore_00000468 0 17168.4614583333 32
trim_galore_00001116 0 17168.4614583333 31
trim_galore_00000480 0 17168.4614583333 30
trim_galore_00001848 0 17168.4614583333 11
trim_galore_00001104 0 17168.4614583333 10
trim_galore_00000492 0 17168.4614583333 9
trim_galore_00001092 0 17168.4614583333 8
trim_galore_00000504 0 17168.4614583333 7
trim_galore_00001668 0 17168.4614583333 6
trim_galore_00001080 17168.4614583333 34336.9229166667 35
trim_galore_00000456 17168.4614583333 34336.9229166667 34
trim_galore_00001836 17168.4614583333 34336.9229166667 33
trim_galore_00000528 17168.4614583333 34336.9229166667 32
trim_galore_00001068 17168.4614583333 34336.9229166667 31
trim_galore_00000540 17168.4614583333 34336.9229166667 30
trim_galore_00001056 34336.9229166667 51505.384375 35
trim_galore_00001044 34336.9229166667 51505.384375 34
trim_galore_00000552 34336.9229166667 51505.384375 33
trim_galore_00001680 34336.9229166667 51505.384375 32
trim_galore_00001824 34336.9229166667 51505.384375 31
trim_galore_00000564 34336.9229166667 51505.384375 30
trim_galore_00001032 51505.384375 68673.8458333333 35
trim_galore_00001188 51505.384375 68673.8458333333 34
trim_galore_00000336 51505.384375 68673.8458333333 33
trim_galore_00001236 51505.384375 68673.8458333333 32
trim_galore_00000348 51505.384375 68673.8458333333 31
trim_galore_00001224 51505.384375 68673.8458333333 30
trim_galore_00000360 68673.8458333333 85842.3072916667 35
trim_galore_00001884 68673.8458333333 85842.3072916667 34
trim_galore_00001212 68673.8458333333 85842.3072916667 33
trim_galore_00000372 68673.8458333333 85842.3072916667 32
trim_galore_00001632 68673.8458333333 85842.3072916667 31
trim_galore_00001200 68673.8458333333 85842.3072916667 30
trim_galore_00000384 0 91565.1277777778 12
trim_galore_00000576 0 91565.1277777778 13
trim_galore_00000396 0 91565.1277777778 14
trim_galore_00001872 0 91565.1277777778 15
trim_galore_00001176 0 91565.1277777778 16
trim_galore_00001164 0 91565.1277777778 17
trim_galore_00000420 85842.3072916667 103010.76875 35
trim_galore_00001644 85842.3072916667 103010.76875 34
trim_galore_00001152 85842.3072916667 103010.76875 33
trim_galore_00000432 85842.3072916667 103010.76875 32
trim_galore_00001860 85842.3072916667 103010.76875 31
trim_galore_00000444 85842.3072916667 103010.76875 30
trim_galore_00001140 103010.76875 120179.230208333 35
trim_galore_00000864 103010.76875 120179.230208333 34
trim_galore_00000696 103010.76875 120179.230208333 33
trim_galore_00000912 103010.76875 120179.230208333 32
trim_galore_00000708 103010.76875 120179.230208333 31
trim_galore_00000900 103010.76875 120179.230208333 30
trim_galore_00000720 120179.230208333 137347.691666667 35
trim_galore_00001776 120179.230208333 137347.691666667 34
trim_galore_00000888 120179.230208333 137347.691666667 33
trim_galore_00000732 120179.230208333 137347.691666667 32
trim_galore_00001728 120179.230208333 137347.691666667 31
trim_galore_00000744 120179.230208333 137347.691666667 30
trim_galore_00000876 91565.1277777778 183130.255555556 12
trim_galore_00000756 91565.1277777778 183130.255555556 13
trim_galore_00001716 91565.1277777778 183130.255555556 14
trim_galore_00001764 91565.1277777778 183130.255555556 15
trim_galore_00000768 91565.1277777778 183130.255555556 16
trim_galore_00000852 91565.1277777778 183130.255555556 17
trim_galore_00000780 4609841.19553553 4634183.70194899 33
trim_galore_00001740 4627009.65699386 4651352.16340732 32
trim_galore_00000840 4644178.11845219 4668520.62486565 30
trim_galore_00000792 4661346.57991053 4685689.08632399 34
trim_galore_00000828 4678515.04136886 4702857.54778232 31
trim_galore_00001752 4695683.50282719 4720026.00924065 35
trim_galore_00000804 6668852.51966739 6703844.87263674 15
trim_galore_00000816 6668852.51966739 6703844.87263674 16
trim_galore_00000636 6668852.51966739 6703844.87263674 17
trim_galore_00001020 6760417.64744517 6795410.00041451 12
trim_galore_00000588 6760417.64744517 6795410.00041451 13
trim_galore_00001008 6760417.64744517 6795410.00041451 14
trim_galore_00001692 7359256.71286999 7398317.94409159 11
trim_galore_00000600 7359256.71286999 7398317.94409159 10
trim_galore_00001812 7359256.71286999 7398317.94409159 9
trim_galore_00000996 7359256.71286999 7398317.94409159 8
trim_galore_00000612 7359256.71286999 7398317.94409159 7
trim_galore_00000624 7359256.71286999 7398317.94409159 6
trim_galore_00000984 9151008.54523772 9175351.05165118 34
trim_galore_00000972 9151008.54523772 9175351.05165118 33
trim_galore_00000408 9151008.54523772 9175351.05165118 31
trim_galore_00001800 9151008.54523772 9175351.05165118 30
trim_galore_00001704 9226856.43602618 9251198.94243964 32
trim_galore_00000648 9295530.28185951 9319872.78827297 35
trim_galore_00000960 13154574.7837792 13189567.1367486 15
trim_galore_00000660 13154574.7837792 13189567.1367486 17
trim_galore_00000948 13281132.2645263 13316124.6174957 16
trim_galore_00000672 13372697.3923041 13407689.7452735 12
trim_galore_00000936 13372697.3923041 13407689.7452735 13
trim_galore_00001788 13372697.3923041 13407689.7452735 14
trim_galore_00000684 13726512.8178566 13750855.32427 35
trim_galore_00000924 13726512.8178566 13750855.32427 34
trim_galore_00000072 13726512.8178566 13750855.32427 33
trim_galore_00000084 13726512.8178566 13750855.32427 31
trim_galore_00001368 13750855.32427 13775197.8306835 30
trim_galore_00001968 13826703.2150585 13851045.721472 32
trim_galore_00001584 14740406.1955032 14779467.4267248 11
trim_galore_00000192 14740406.1955032 14779467.4267248 10
trim_galore_00001464 14740406.1955032 14779467.4267248 9
trim_galore_00001356 14740406.1955032 14779467.4267248 8
trim_galore_00001932 14740406.1955032 14779467.4267248 7
trim_galore_00000204 14740406.1955032 14779467.4267248 6
trim_galore_00000180 18302017.0904754 18326359.5968889 35
trim_galore_00000216 18302017.0904754 18326359.5968889 34
trim_galore_00001344 18302017.0904754 18326359.5968889 33
trim_galore_00001476 18302017.0904754 18326359.5968889 31
trim_galore_00001332 18350702.1033024 18375044.6097158 30
trim_galore_00000060 18426549.9940908 18450892.5005043 32
trim_galore_00001548 19766854.5286382 19801846.8816075 15
trim_galore_00001596 19766854.5286382 19801846.8816075 17
trim_galore_00000240 19893412.0093853 19928404.3623547 16
trim_galore_00001920 19984977.1371631 20019969.4901324 12
trim_galore_00001572 19984977.1371631 20019969.4901324 13
trim_galore_00000120 19984977.1371631 20019969.4901324 14
trim_galore_00001956 22121555.6781365 22160616.9093581 11
trim_galore_00001428 22121555.6781365 22160616.9093581 10
trim_galore_00000132 22121555.6781365 22160616.9093581 9
trim_galore_00001416 22121555.6781365 22160616.9093581 8
trim_galore_00001440 22121555.6781365 22160616.9093581 7
trim_galore_00000108 22121555.6781365 22160616.9093581 6
trim_galore_00000144 22877521.3630943 22901863.8695078 35
trim_galore_00001404 22877521.3630943 22901863.8695078 34
trim_galore_00000228 22877521.3630943 22901863.8695078 32
trim_galore_00001560 22901863.8695078 22926206.3759212 33
trim_galore_00000156 22901863.8695078 22926206.3759212 31
trim_galore_00001392 22950548.8823347 22974891.3887481 30
trim_galore_00001944 26309149.5675584 26344141.9205278 14
trim_galore_00000096 26309149.5675584 26344141.9205278 16
trim_galore_00001620 26379134.2734971 26414126.6264665 15
trim_galore_00000168 26379134.2734971 26414126.6264665 17
trim_galore_00001452 26597256.882022 26632249.2349914 12
trim_galore_00001380 26597256.882022 26632249.2349914 13
trim_galore_00000300 27453025.6357132 27477368.1421266 35
trim_galore_00000276 27453025.6357132 27477368.1421266 32
trim_galore_00000036 27453025.6357132 27477368.1421266 31
trim_galore_00001284 27477368.1421266 27501710.6485401 34
trim_galore_00001908 27501710.6485401 27526053.1549535 33
trim_galore_00001320 27550395.661367 27574738.1677805 30
trim_galore_00000288 29502705.1607698 29541766.3919914 11
trim_galore_00001512 29502705.1607698 29541766.3919914 10
trim_galore_00000024 29502705.1607698 29541766.3919914 9
trim_galore_00001272 29502705.1607698 29541766.3919914 8
trim_galore_00001608 29502705.1607698 29541766.3919914 7
