,vertex,start_time,end_time,processor,duration
0,CHECK_DESIGN_00000001,0.0,6045661.29848906,35,6045661.29848906
1,CHECK_DESIGN_00000192,0.0,6045661.29848906,34,6045661.29848906
2,CHECK_DESIGN_00000153,0.0,6045661.29848906,33,6045661.29848906
3,CHECK_DESIGN_00000075,0.0,6045661.29848906,32,6045661.29848906
4,CHECK_DESIGN_00000114,0.0,6045661.29848906,31,6045661.29848906
5,TRIMGALORE_00000111,6045661.29848906,6655775.36098906,31,610114.0625
6,TRIMGALORE_00000150,6045661.29848906,6655775.36098906,33,610114.0625
7,TRIMGALORE_00000072,6045661.29848906,6655775.36098906,32,610114.0625
8,TRIMGALORE_00000189,6045661.29848906,6655775.36098906,34,610114.0625
9,TRIMGALORE_00000002,6045661.29848906,6655775.36098906,35,610114.0625
10,BWA_INDEX_00000147,0.0,58022.3625,30,58022.3625
11,BWA_INDEX_00000005,0.0,58022.3625,11,58022.3625
12,BWA_INDEX_00000108,0.0,58022.3625,10,58022.3625
13,BWA_INDEX_00000186,0.0,58022.3625,9,58022.3625
14,BWA_INDEX_00000069,0.0,58022.3625,8,58022.3625
15,BWA_MEM_00000097,6655775.36098906,7966976.29848906,31,1311200.9375
16,BWA_MEM_00000175,6655775.36098906,7966976.29848906,34,1311200.9375
17,BWA_MEM_00000136,6655775.36098906,7966976.29848906,33,1311200.9375
18,BWA_MEM_00000058,6655775.36098906,7966976.29848906,32,1311200.9375
19,BWA_MEM_00000004,6655775.36098906,7966976.29848906,35,1311200.9375
20,SORT_BAM_00000181,7966976.29848906,8241873.07348906,34,274896.77499999944
21,SORT_BAM_00000142,7966976.29848906,8241873.07348906,33,274896.77499999944
22,SORT_BAM_00000064,7966976.29848906,8241873.07348906,32,274896.77499999944
23,SORT_BAM_00000103,7966976.29848906,8241873.07348906,31,274896.77499999944
24,SORT_BAM_00000008,7966976.29848906,8241873.07348906,35,274896.77499999944
