algo_nr wf_name inp_size dur_alg1 ms_1 ms_perc dur_alg2 ms_2
1 atacseq_30000.dot 14091675276 98.8996746290001 1620586905.61122 1933346121.9291 28.7538621590001 1933369706.17198
1 chipseq_15000.dot 41366257414 21.4719772710001 3692316550.77442 4826215076.67196 5.94299715399998 4826550851.82697
1 methylseq_15000.dot 6761426956 127.693608817 122248508.289939 149226257.495195 53.5357283040005 149226408.477111
1 atacseq_15000.dot 3908761308 74.95781761 250860006.332327 236306520.835514 25.7514545620001 236346635.749528
1 eager 19075314980 0.006579397 3160544.20798404 5818609.48026987 0.005122242 5818609.48026987
1 eager_1000.dot 25705994498 0.251927216 23903221.7161363 29684391.3156076 0.295263153 29706649.9911555
1 eager_20000.dot 8330435694 56.029360691 162353214.585948 245889421.228187 119.256271322 245937906.416088
1 eager_25000.dot 14754556884 39.71885275 396348531.709345 635785938.819691 82.0564156639986 635862659.280406
1 methylseq_1000.dot 110641579976 0.514161594 529818843.599051 683073342.78191 0.148652173 683073454.713003
1 chipseq_200.dot 5058052541 0.067626488 8412851.00269753 4178546.12634445 0.008059292 5393572.40031799
1 atacseq_30000.dot 11809629756 286.013428485999 969391054.751146 1210861750.63546 45.4491566739998 1210888407.04008
1 methylseq_1000.dot 6273818718 0.540529859 7310022.80554533 6775115.41500619 0.124694747 6775262.0229336
1 chipseq_4000.dot 41366257414 3.238883299 973003087.584803 1209682099.34611 0.457216816999999 1209576173.19158
1 atacseq_2000.dot 14091675276 1.662529563 102725566.794925 85818254.175421 0.415927925000001 85931371.5527681
1 atacseq_1000.dot 11809629756 0.523626918 22511138.1467975 21245939.0643312 0.0966499719999998 21380422.3133246
1 methylseq_200.dot 17027257018 0.07459166 4774063.49156454 5323996.00014277 0.007845524 5324354.48332906
1 methylseq_30000.dot 110641579976 477.614500331 16002917419.8005 21752250055.6538 378.604536175004 21752250317.0989
1 methylseq_8000.dot 110641579976 19.707852198 4242582740.57776 5613161865.37381 10.87152064 5613161991.5562
1 methylseq_20000.dot 6761426956 234.968808914 167361952.772874 216711457.669324 103.58733712 216711563.773965
1 atacseq_8000.dot 3908761308 26.919025845 152976697.560708 116754154.881301 7.36897921600001 116781931.622408
1 methylseq_8000.dot 17027257018 31.646987862 248370820.259796 337138832.526421 8.83199147400001 337139715.30539
1 atacseq_10000.dot 14091675276 15.860821442 547866970.314981 598451834.493683 3.096388382 598515471.151154
1 atacseq_20000.dot 11809629756 300.322140169001 652958754.959355 776605085.300961 65.5670435569998 776656416.725495
1 atacseq_30000.dot 3908761308 202.791740987 554318848.350512 517283369.975542 73.2850863639999 517414613.087308
1 eager_2000.dot 25705994498 0.839432853 51007898.7439169 68570435.5797874 1.184681026 68570435.5797874
1 eager_1000.dot 14754556884 0.253025175 14756260.7752081 15618119.1059638 0.232192536 15616913.0762148
1 atacseq_30000.dot 11187378708 289.828472401001 906637634.796136 1151565080.51134 62.1660010979992 1151633591.66616
1 methylseq_10000.dot 8885797810 47.884070754 121106461.137713 154482152.005873 17.4233705429999 154482203.767133
1 atacseq_4000.dot 11809629756 4.56420558299999 115557009.406628 111998966.685237 1.727282511 112064343.190265
1 atacseq_1000.dot 14091675276 0.578309980000001 38745957.7601735 34036980.7546735 0.113273746 34065461.6046753
1 methylseq_4000.dot 6273818718 5.514245023 28030994.386542 30506716.7757809 2.21867966000001 30507094.9054542
1 chipseq_1000.dot 4605965334 0.633483006000001 17082953.7816907 18438392.2052024 0.126182682 18453530.5344967
1 atacseq_200.dot 11809629756 0.080363964 16296282.7410489 3447331.90444533 0.008624514 3451432.45374338
1 eager_8000.dot 19075314980 8.06535031199999 180995619.590984 230829875.008203 16.1001528069999 230829875.008203
1 methylseq_10000.dot 110641579976 33.4640814870001 5363854699.7659 7315005881.96247 18.8936122619999 7315006520.04449
1 methylseq_2000.dot 22500260922 1.431624075 70541601.6508518 91370097.9788395 0.462697672000002 91370236.1185128
1 chipseq_200.dot 32978181418 0.062508886 25249893.0602502 19791416.2735656 0.00729731 19775151.7287817
1 chipseq_2000.dot 4605965334 2.053776924 35578928.5389073 34066596.0526217 0.497605587999999 34116361.2499088
1 methylseq_30000.dot 8885797810 624.986552456998 385623761.964132 511691786.823558 302.049309427002 511692207.761984
1 eager_20000.dot 19075314980 30.341740152 463294904.762206 605918338.463791 55.5615119009992 605940397.547974
1 atacseq_8000.dot 11809629756 18.687620205 244446385.668328 278558741.860571 6.28049434700003 278607200.522215
1 eager_30000.dot 19100037384 74.1760420930001 716954604.289052 927683173.477307 146.140211457002 927699856.216594
1 chipseq_200.dot 4807293396 0.067762966 7212004.75627328 7326084.30801063 0.008459962 7335547.04836042
1 chipseq_200.dot 3793245764 0.067539221 8488349.20042193 3865105.10666889 0.008105394 3901912.76228343
1 eager_8000.dot 19132169434 9.12944841499999 183325306.211589 223586792.553977 15.5886308099999 223640357.927617
1 atacseq_10000.dot 11187378708 33.838271814 309726213.85497 337694051.893927 10.351382188 337709065.782575
1 chipseq_20000.dot 4807293396 118.942245981999 401970755.813157 551826422.620087 13.8536473249999 551840951.814326
1 chipseq_10000.dot 5058052541 22.030776199 232375533.208215 265327852.100559 5.69094370800002 265333579.779644
1 atacseq_4000.dot 11187378708 4.742532075 117917979.200146 110399554.4305 1.63464705 110460547.385753
1 chipseq_4000.dot 32978181418 3.830489803 894601120.97687 1031700330.94658 0.586900527 1031776351.47889
1 eager_4000.dot 19075314980 2.885201693 83806167.6960872 103592981.206747 4.15394838099999 103592981.206747
1 methylseq_4000.dot 17027257018 6.376599576 114240721.894567 158272631.334629 1.83901092600001 158274541.404646
1 chipseq_1000.dot 41366257414 0.526428017 225634957.637335 269837288.037891 0.0488629159999998 273434221.045794
1 atacseq_10000.dot 3908761308 38.6468309470001 175696223.9795 158241414.511315 11.2437767590001 158292601.254504
1 eager_1000.dot 19100037384 0.228738965 19321166.3419919 24095398.7167115 0.282411419 24095398.7167115
1 eager_25000.dot 25705994498 48.5441082490001 797816439.443192 1053151359.63176 79.0768156459993 1053206812.34524
1 chipseq_25000.dot 41366257414 58.4397663970002 6122922846.49068 8054419771.32264 17.2047486060001 8054538989.93094
1 methylseq_15000.dot 11897958606 113.611682718 251690964.206922 322007526.884836 48.2932602780002 322008152.73337
1 atacseq_30000.dot 2223941232 319.244215485999 313757016.37421 290246376.345858 130.813590309001 290315148.327643
1 methylseq_1000.dot 11897958606 0.517468691 16064361.3470289 16319829.1829426 0.121640305 16319998.9951019
1 atacseq_2000.dot 3908761308 1.736223292 24396102.8953972 23325814.4799547 0.418166084999999 23435969.1147282
1 methylseq 11897958606 0.003596573 1833690.18850281 1839399.0625 0.000277376 1832537.34175629
1 chipseq_25000.dot 5058052541 179.539997911 582366479.660758 768969329.998963 18.7742341400001 769007812.474546
1 methylseq_15000.dot 110641579976 88.046456545 8057991172.79808 10927036233.0947 56.2347388509997 10927036841.4593
1 methylseq_15000.dot 17027257018 125.579990599 472524189.173132 681432820.112621 41.6634870219996 681433813.902944
1 eager 14754556884 0.006727177 2639216.01918805 5756320.59298568 0.00526394 5756320.59298568
1 chipseq_2000.dot 32978181418 1.559963098 436801109.319419 457803947.114565 0.186978723999999 457797046.334919
1 eager_2000.dot 19100037384 0.799621102 31858030.4409209 45196543.91938 1.107529697 45196543.91938
1 atacseq_20000.dot 14091675276 46.382008557 1095540392.78116 1232282899.70191 12.1948333350001 1232288864.24297
1 atacseq_20000.dot 2223941232 150.032814183 219495035.808065 195071797.628888 48.6740113800002 195100811.673159
1 chipseq_2000.dot 5058052541 1.958108303 37436566.5844605 34365149.381645 0.53826688 34402956.7505607
1 methylseq_20000.dot 11897958606 268.464518147002 343376942.812838 439566283.475014 88.6870945620002 439566309.414154
1 atacseq_25000.dot 14091675276 63.7457488430001 1347776914.00621 1570071957.13741 20.2586172039999 1570319820.20648
1 atacseq_4000.dot 14091675276 4.803282223 201618829.024263 209876219.520907 0.649720238000001 209915703.810309
1 eager_200.dot 25705994498 0.027414317 12207229.4621194 8653663.4016492 0.02049657 8666986.97583132
1 chipseq_15000.dot 4605965334 57.247563422 350833212.778042 399480771.709813 12.721477693 399521454.974323
1 atacseq_15000.dot 14091675276 27.1485739230001 835587589.810085 913918455.973087 7.383627744 914075041.220118
1 methylseq_200.dot 110641579976 0.075870085 108433579.027307 107675738.468879 0.0098021 107676115.884798
1 methylseq 6273818718 0.003502825 924788.41946584 990742.8375 0.000281215 925135.589353448
1 atacseq_15000.dot 11187378708 78.4369237749997 476638334.721198 557978606.215938 14.809108739 558039894.778571
1 eager 25705994498 0.006582605 4353222.74315648 8111217.37988209 0.005147873 8111217.37988209
1 methylseq_4000.dot 8885797810 6.01653343099999 43499892.7475253 48537564.8782876 2.235430859 48537789.0847533
1 methylseq_20000.dot 110641579976 178.602139448 10727754501.0249 14639746668.3825 113.170778423 14639747395.8997
1 chipseq_2000.dot 41366257414 1.282700406 489214647.123295 580675993.540011 0.124889037 580791935.090246
1 chipseq_15000.dot 32978181418 31.621111655 3302406485.851 4069337451.93409 5.61050064600001 4069379022.82133
1 chipseq_8000.dot 5058052541 16.6941542910001 210009768.257063 213155327.674117 3.85641531600001 213179247.197069
1 methylseq_8000.dot 8885797810 36.823563058 94503411.4584679 115249085.352469 9.99594584499999 115249345.539429
1 chipseq_8000.dot 41366257414 8.18786371399998 1933674969.69455 2513477841.54814 1.593774374 2514493354.61484
1 methylseq_8000.dot 6273818718 29.772819404 55769176.1206251 67000860.705152 11.500702613 67001633.1905462
1 eager_15000.dot 19100037384 18.294712924 361885405.426828 461519315.118921 45.7644281929999 461535275.214649
1 chipseq_30000.dot 4807293396 254.816081765001 710035827.704484 838539970.447432 30.6907246079999 838629333.805119
1 methylseq_30000.dot 6761426956 642.466298925999 256243779.801684 320521239.237159 464.979598142993 320521251.910905
1 chipseq_1000.dot 32978181418 0.574588114000001 186959141.694637 218965880.079359 0.059553255 219058995.026956
1 chipseq_30000.dot 4605965334 193.533163287 640533088.275379 828153942.058016 42.7949241190001 828243677.053491
1 methylseq_10000.dot 6273818718 44.3414890119999 70758511.0897982 86392811.0657491 21.6544994609999 86392872.3664668
